DLiP-ID,C100JX
DLiP-Mol-ID,36296
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H27N3O/c1-19-7-5-11-21(17-19)23-22(26)18-25-15-13-24(14-16-25)12-6-10-20-8-3-2-4-9-20/h2-11,17H,12-16,18H2,1H3,(H,23,26)/b10-6+"
Standard Inchi Key(RDKit),PGGBXYXHLCOLCP-UXBLZVDNSA-N
Canonical SMILES(RDKit),Cc1cccc(NC(=O)CN2CCN(C/C=C/c3ccccc3)CC2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),349.478
MW Monoisotopic(RDKit),349.215412484
MolLogP(RDKit),3.26452
XLogP(SDF),
XLogP(CDK),3.193
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),35.58
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.869396821509372
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Annexin A2/S100-A10
Common Target Pref Name,Annexin A2/S100-A10
RDKit Descriptors
Ipc,952427.6034167475
qed,0.8693968215093723
Chi0,18.192023676495612
Chi1,12.68667318580106
TPSA,35.580000000000005
Chi0n,15.396169129668953
Chi0v,15.396169129668953
Chi1n,9.217351697887118
Chi1v,9.217351697887118
Chi2n,6.8074646386168025
Chi2v,6.8074646386168025
