DLiP-ID,C100MS
DLiP-Mol-ID,27563
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H14ClNO5S2/c19-11-5-7-12(8-6-11)27(24,25)20-15-9-16(26-10-17(21)22)18(23)14-4-2-1-3-13(14)15/h1-9,20,23H,10H2,(H,21,22)"
Standard Inchi Key(RDKit),NLRVCTAQYTWYQX-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CSc1cc(NS(=O)(=O)c2ccc(Cl)cc2)c2ccccc2c1O
SMILES(SDF),
MW(SDF),
MW(RDKit),423.899
MW Monoisotopic(RDKit),423.000192228
MolLogP(RDKit),4.1763
XLogP(SDF),
XLogP(CDK),4.056
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),103.7
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.405659515474544
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,967410.0351908861
qed,0.40565951547454404
Chi0,19.604083527755577
Chi1,12.775694130382421
TPSA,103.7
Chi0n,13.71689232022164
Chi0v,16.10581442809555
Chi1n,7.654322014878887
Chi1v,10.501048295135998
Chi2n,5.558286740494956
Chi2v,8.694301437193532
Chi3n,3.7005876922823524
Chi3v,6.347466588613437
Chi4n,2.4858007213802233
Chi4v,4.409261880097879
MolMR,106.23310000000002
MolWt,423.8990000000001
fr_SH,0
Kappa1,19.344589883260557
Kappa2,7.674323392079699
Kappa3,4.292289752043556
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1114.5501930691114
MolLogP,4.176300000000002
NOCount,6
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.0806074284342277
SMR_VSA1,23.425388958082173
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,9.79096695103555
SMR_VSA6,10.474948471198877
SMR_VSA7,59.619936929895815
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
