DLiP-ID,C101OZ
DLiP-Mol-ID,40281
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H27ClN6O2/c1-14-10-15(2)30(27-14)21-12-18(17(24)13-25-21)26-16-6-7-19-20(11-16)29(22(31)28(19)5)9-8-23(3,4)32/h6-7,10-13,32H,8-9H2,1-5H3,(H,25,26)"
Standard Inchi Key(RDKit),QTOOSAJCYGOOEA-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cc(C)n(-c2cc(Nc3ccc4c(c3)n(CCC(C)(C)O)c(=O)n4C)c(Cl)cn2)n1
SMILES(SDF),
MW(SDF),
MW(RDKit),454.962
MW Monoisotopic(RDKit),454.188401784
MolLogP(RDKit),4.09554
XLogP(SDF),
XLogP(CDK),3.138
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),89.9
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.4575505092821
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BCL-6/NCOR2
Common Target Pref Name,Uncategorized
RDKit Descriptors
Ipc,12769457.478237657
qed,0.45755050928210017
Chi0,23.206377823327532
Chi1,15.030695760166019
TPSA,89.9
Chi0n,18.847809513983687
Chi0v,19.60373846000214
