DLiP-ID,C101S9
DLiP-Mol-ID,37225
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C28H30N4O2/c1-32(2)23-15-13-22(14-16-23)30-28(34)26(18-21-19-29-25-11-7-6-10-24(21)25)31-27(33)17-12-20-8-4-3-5-9-20/h3-11,13-16,19,26,29H,12,17-18H2,1-2H3,(H,30,34)(H,31,33)"
Standard Inchi Key(RDKit),SJEDCBCUEIBPNB-UHFFFAOYSA-N
Canonical SMILES(RDKit),CN(C)c1ccc(NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)CCc2ccccc2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),454.574
MW Monoisotopic(RDKit),454.2368762
MolLogP(RDKit),4.5327
XLogP(SDF),
XLogP(CDK),4.434
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),77.23
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.347689561980174
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tumor necrosis factor ligand superfamily member 11/11A
Common Target Pref Name,Uncategorized
RDKit Descriptors
Ipc,63717722.72228316
qed,0.3476895619801736
Chi0,23.915638315627202
Chi1,16.49120363844137
TPSA,77.23
Chi0n,19.545284557831717
Chi0v,19.545284557831717
Chi1n,11.459292356595201
Chi1v,11.459292356595201
Chi2n,8.599871775010627
Chi2v,8.599871775010627
Chi3n,5.885467072998597
Chi3v,5.885467072998597
Chi4n,3.9710104287989214
Chi4v,3.9710104287989214
MolMR,138.0950999999999
MolWt,454.5740000000002
fr_SH,0
Kappa1,23.110091229513735
Kappa2,10.70457301065974
Kappa3,5.837156287490031
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1246.4023263023519
MolLogP,4.532700000000004
NOCount,6
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.4852567142072586
SMR_VSA1,9.589074368143644
SMR_VSA2,0.0
SMR_VSA3,10.30076712495354
SMR_VSA4,0.0
SMR_VSA5,25.30430569792599
SMR_VSA6,24.31204230021119
SMR_VSA7,96.18651844500803
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,199.53855563705432
NHOHCount,3
PEOE_VSA1,20.517465459810346
PEOE_VSA2,9.589074368143644
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,48.53093654769288
PEOE_VSA7,47.87955994862805
PEOE_VSA8,55.41152826426766
PEOE_VSA9,0.0
RingCount,4
SMR_VSA10,34.092056940151195
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,454.2368762
NumHDonors,3
PEOE_VSA10,6.041840829147961
PEOE_VSA11,0.0
PEOE_VSA12,11.814359458703011
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,15.533486938863138
SlogP_VSA2,36.93552277415256
SlogP_VSA3,22.43071761399566
SlogP_VSA4,0.0
SlogP_VSA5,17.54772460632
SlogP_VSA6,85.05961546161403
SlogP_VSA7,0.0
SlogP_VSA8,10.902924932081056
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,2
fr_benzene,3
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,6.041840829147961
EState_VSA2,11.814359458703011
EState_VSA3,24.94985114346159
EState_VSA4,27.71721419015861
EState_VSA5,0.0
EState_VSA6,0.0
EState_VSA7,104.0548691578189
EState_VSA8,15.617555728959871
EState_VSA9,0.0
SlogP_VSA10,11.374772549367124
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,74.66666666666667
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,9.589074368143644
EState_VSA11,0.0
FractionCSP3,0.21428571428571427
VSA_EState10,0.0
fr_C_O_noCOO,2
fr_Nhpyrrole,1
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-4.06
NumHAcceptors,3
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,34
HeavyAtomMolWt,424.33400000000023
MaxEStateIndex,13.257037702056643
MinEStateIndex,-0.698143738977073
NumHeteroatoms,6
fr_aryl_methyl,1
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,0.9117647058823529
FpDensityMorgan2,1.6176470588235294
FpDensityMorgan3,2.3529411764705883
MaxPartialCharge,0.24679477107599004
MinPartialCharge,-0.37765943066673774
NumAromaticRings,4
fr_unbrch_alkane,0
MaxAbsEStateIndex,13.257037702056643
MinAbsEStateIndex,0.14648144417444553
NumAliphaticRings,0
NumRotatableBonds,9
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.37765943066673774
MinAbsPartialCharge,0.24679477107599004
NumRadicalElectrons,0
NumValenceElectrons,174
fr_para_hydroxylation,1
NumAromaticCarbocycles,3
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,454.23687620000084
MZ,0.6302083333333335
Mi,1.1220479666394323
Mm,0.5913511572725001
Mp,0.680836358532934
Mv,0.6342010864034197
SZ,40.33333333333334
Si,71.81106986492367
Sm,37.846474065440006
Sp,43.573526946107776
Sv,40.58886952981886
nB,0
nC,28
nF,0
nH,30
nI,0
nN,4
nO,2
nP,0
nS,0
nX,0
ABC,26.43874964478744
AMW,7.097451190625013
