DLiP-ID,C1023O
DLiP-Mol-ID,40810
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H13F3N6S3/c1-24-9-6-8-10(18-7-19-11(8)25-9)22-2-4-23(5-3-22)13-21-20-12(26-13)14(15,16)17/h6-7H,2-5H2,1H3"
Standard Inchi Key(RDKit),CFAJGMOCVYVAED-UHFFFAOYSA-N
Canonical SMILES(RDKit),CSc1cc2c(N3CCN(c4nnc(C(F)(F)F)s4)CC3)ncnc2s1
SMILES(SDF),
MW(SDF),
MW(RDKit),418.495
MW Monoisotopic(RDKit),418.031592076
MolLogP(RDKit),3.6101
XLogP(SDF),
XLogP(CDK),4.157
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),9
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),58.04
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.602428822325954
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,1296284.0498034842
qed,0.6024288223259535
Chi0,18.311190308942127
Chi1,12.452839606072642
TPSA,58.040000000000006
Chi0n,13.525047526544462
Chi0v,15.97453726932764
Chi1n,7.6461156253885365
Chi1v,10.503853658635578
Chi2n,5.5473070296482
Chi2v,8.640419831837711
Chi3n,3.9935185077863466
Chi3v,7.13032236470569
Chi4n,2.740894089055671
Chi4v,5.037725985564061
MolMR,98.53300000000003
MolWt,418.4950000000001
fr_SH,0
Kappa1,17.738841647807636
Kappa2,6.815947626781487
Kappa3,3.321954573553846
fr_ArN,0
