DLiP-ID,I0002R
DLiP-Mol-ID,27782
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H16ClF2N5O2S/c23-22(24,25)18-9-14(16-6-4-8-32-16)27-19-10-15(29-30(18)19)20(31)28-21-13(11-26)12-5-2-1-3-7-17(12)33-21/h4,6,8-10H,1-3,5,7H2,(H,28,31)"
Standard Inchi Key(RDKit),BAMXBFLPNULUET-UHFFFAOYSA-N
Canonical SMILES(RDKit),N#Cc1c(NC(=O)c2cc3nc(-c4ccco4)cc(C(F)(F)Cl)n3n2)sc2c1CCCCC2
SMILES(SDF),
MW(SDF),
MW(RDKit),487.919
MW Monoisotopic(RDKit),487.068129872
MolLogP(RDKit),5.73178
XLogP(SDF),
XLogP(CDK),3.552
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),96.22
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.292626139484973
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Myc_Max
Common Target Pref Name,MYC/MAX
RDKit Descriptors
Ipc,41146564.25729679
qed,0.292626139484973
Chi0,23.16456146007064
Chi1,15.846686456189994
TPSA,96.22
Chi0n,17.06977792429997
Chi0v,18.642203451246147
Chi1n,10.227935458164234
Chi1v,11.422396512101189
Chi2n,7.635766204003826
Chi2v,9.215634441745262
Chi3n,5.484057281368347
Chi3v,6.884915440097697
Chi4n,3.954064432737797
Chi4v,5.32343048866355
MolMR,118.68220000000002
MolWt,487.9190000000002
fr_SH,0
Kappa1,21.55021124919381
Kappa2,8.244364195303824
Kappa3,3.9831028757989015
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,4
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1399.0252403920138
MolLogP,5.731780000000002
NOCount,7
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.532201260032246
SMR_VSA1,17.992518216474807
SMR_VSA2,5.261891554738487
SMR_VSA3,14.59805822286387
SMR_VSA4,0.0
SMR_VSA5,37.48581910476895
SMR_VSA6,5.316788604006331
SMR_VSA7,57.920537436277705
SMR_VSA8,0.0
SMR_VSA9,17.523396726515177
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,1
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,195.15820075112185
