DLiP-ID,I0005S
DLiP-Mol-ID,27918
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H22FN3O3/c28-21-12-7-13-22-24(21)20(16-29-22)25(32)27(34)30-14-15-31(26(33)19-10-5-2-6-11-19)23(17-30)18-8-3-1-4-9-18/h1-13,16,23,29H,14-15,17H2/t23-/m1/s1"
Standard Inchi Key(RDKit),CEVMEMFIXKVVAH-HSZRJFAPSA-N
Canonical SMILES(RDKit),O=C(C(=O)N1CCN(C(=O)c2ccccc2)[C@@H](c2ccccc2)C1)c1c[nH]c2cccc(F)c12
SMILES(SDF),
MW(SDF),
MW(RDKit),455.489
MW Monoisotopic(RDKit),455.164519784
MolLogP(RDKit),4.2156
XLogP(SDF),
XLogP(CDK),4.806
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),73.48
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.370039913336461
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CD4_gp120
Common Target Pref Name,CD4/gp120
RDKit Descriptors
Ipc,94698943.79258731
qed,0.37003991333646097
Chi0,23.656125291633362
Chi1,16.54171389565819
TPSA,73.48
Chi0n,18.27871091680477
Chi0v,18.27871091680477
Chi1n,11.045108290648555
Chi1v,11.045108290648555
Chi2n,8.236092372631107
Chi2v,8.236092372631107
Chi3n,6.227351493799296
Chi3v,6.227351493799296
Chi4n,4.495650389544832
Chi4v,4.495650389544832
MolMR,125.82870000000004
MolWt,455.4890000000002
fr_SH,0
Kappa1,21.57865319685492
Kappa2,8.938983083566514
Kappa3,3.853953921981845
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1367.9213761771412
MolLogP,4.215600000000003
NOCount,6
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.432251026488063
SMR_VSA1,18.774026599890284
SMR_VSA2,0.0
SMR_VSA3,14.783797982648164
SMR_VSA4,0.0
SMR_VSA5,6.041840829147961
SMR_VSA6,19.634269217737724
SMR_VSA7,107.56719077775091
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,195.15494917508582
