DLiP-ID,I000O0
DLiP-Mol-ID,28691
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H19ClN4/c22-16-1-6-20-15(14-25-21(20)13-16)7-12-24-17-2-4-18(5-3-17)26-19-8-10-23-11-9-19/h1-6,8-11,13-14,24-25H,7,12H2,(H,23,26)"
Standard Inchi Key(RDKit),LFDAKAYNDGVZQG-UHFFFAOYSA-N
Canonical SMILES(RDKit),Clc1ccc2c(CCNc3ccc(Nc4ccncc4)cc3)c[nH]c2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),362.864
MW Monoisotopic(RDKit),362.129824288
MolLogP(RDKit),5.6145
XLogP(SDF),
XLogP(CDK),4.226
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),52.74
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.417277726894874
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MDM2-Like_P53
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,1653416.749436694
qed,0.4172777268948735
Chi0,17.769373945685242
Chi1,12.775989583278102
TPSA,52.74
Chi0n,14.167594861157793
Chi0v,14.923523807176249
Chi1n,8.543255078989906
Chi1v,8.921219551999133
Chi2n,6.118834963724849
Chi2v,6.555270744196835
Chi3n,4.306827266307221
Chi3v,4.54192436909496
Chi4n,2.9801934942773336
Chi4v,3.152296518230201
MolMR,109.4641
MolWt,362.86400000000003
fr_SH,0
Kappa1,16.486382212937364
Kappa2,7.49886130260781
Kappa3,3.8106197006405225
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,993.642724163584
MolLogP,5.614500000000003
NOCount,4
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.3415732059820016
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,6.4208216229260096
SMR_VSA6,17.178333613925236
SMR_VSA7,83.77391913643204
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,156.78893928821196
NHOHCount,3
PEOE_VSA1,15.617555728959871
PEOE_VSA2,4.9839785209472085
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,17.667306958694127
PEOE_VSA7,60.51520966231588
PEOE_VSA8,58.12300419062487
PEOE_VSA9,0.0
RingCount,4
SMR_VSA10,39.56602364636426
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,362.129824288
NumHDonors,3
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,10.633577208012662
SlogP_VSA2,16.51271344780699
SlogP_VSA3,6.4208216229260096
SlogP_VSA4,0.0
SlogP_VSA5,5.563451491696996
SlogP_VSA6,73.18783433099372
SlogP_VSA7,5.022633313741326
SlogP_VSA8,10.902924932081056
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,3
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,0.0
EState_VSA3,0.0
EState_VSA4,40.56707088424686
EState_VSA5,10.949675706161791
EState_VSA6,12.393687143226153
EState_VSA7,24.26546827384644
EState_VSA8,57.13021316382821
EState_VSA9,11.600939890232516
SlogP_VSA10,17.062158824050687
SlogP_VSA11,0.0
SlogP_VSA12,11.600939890232516
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,47.242214917733094
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,1
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,0.0
EState_VSA11,0.0
FractionCSP3,0.09523809523809523
VSA_EState10,6.035562860044688
fr_C_O_noCOO,0
fr_Nhpyrrole,1
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.9799999999999995
NumHAcceptors,3
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,26
HeavyAtomMolWt,343.7120000000001
MaxEStateIndex,6.035562860044688
MinEStateIndex,0.7541573272367545
NumHeteroatoms,5
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,0.8846153846153846
FpDensityMorgan2,1.6153846153846154
FpDensityMorgan3,2.423076923076923
MaxPartialCharge,0.04712446920146328
MinPartialCharge,-0.384709621027209
NumAromaticRings,4
fr_unbrch_alkane,0
MaxAbsEStateIndex,6.035562860044688
MinAbsEStateIndex,0.7541573272367545
NumAliphaticRings,0
NumRotatableBonds,6
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.384709621027209
MinAbsPartialCharge,0.04712446920146328
NumRadicalElectrons,0
NumValenceElectrons,130
fr_para_hydroxylation,0
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,2
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,362.1298242880005
MZ,0.7037037037037037
Mi,1.1168850780569295
Mm,0.6713494111878925
Mp,0.7228086094477713
