DLiP-ID,I000SU
DLiP-Mol-ID,28898
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H22N4O/c1-27-20-6-7-21-16(15-25-22(21)14-20)8-13-24-17-2-4-18(5-3-17)26-19-9-11-23-12-10-19/h2-7,9-12,14-15,24-25H,8,13H2,1H3,(H,23,26)"
Standard Inchi Key(RDKit),NBSJNXSEVPNASI-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc2c(CCNc3ccc(Nc4ccncc4)cc3)c[nH]c2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),358.445
MW Monoisotopic(RDKit),358.179361324
MolLogP(RDKit),4.9697
XLogP(SDF),
XLogP(CDK),3.519
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),61.97
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.436423159747761
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MDM2-Like_P53
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,2889376.236078397
qed,0.4364231597477609
Chi0,18.476480726871788
Chi1,13.313994385738889
TPSA,61.97
Chi0n,15.19787867861243
Chi0v,15.19787867861243
Chi1n,8.966645278181087
Chi1v,8.966645278181087
Chi2n,6.3404434791163045
Chi2v,6.3404434791163045
Chi3n,4.551947922151723
Chi3v,4.551947922151723
Chi4n,3.1140551851146236
Chi4v,3.1140551851146236
MolMR,111.0061
MolWt,358.44500000000005
fr_SH,0
Kappa1,16.96952987102625
Kappa2,7.826181344561608
Kappa3,4.031981287138386
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1009.6144322071854
MolLogP,4.969700000000002
NOCount,5
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.3380453507152743
SMR_VSA1,4.736862953800049
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,6.4208216229260096
SMR_VSA6,24.28813115520277
SMR_VSA7,78.75128582269072
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,157.96416040523383
NHOHCount,3
PEOE_VSA1,20.354418682759917
PEOE_VSA2,4.9839785209472085
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,60.51520966231588
PEOE_VSA8,59.166737945345155
PEOE_VSA9,7.109797541277533
RingCount,4
SMR_VSA10,27.96508375613174
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,358.179361324
NumHDonors,3
PEOE_VSA10,5.749511833283905
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,15.37044016181271
SlogP_VSA2,23.622510989084525
SlogP_VSA3,6.4208216229260096
SlogP_VSA4,0.0
SlogP_VSA5,5.563451491696996
SlogP_VSA6,73.18783433099372
SlogP_VSA7,0.0
SlogP_VSA8,10.902924932081056
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,3
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,0.0
EState_VSA3,0.0
EState_VSA4,41.29394940378943
EState_VSA5,10.949675706161791
EState_VSA6,19.503484684503686
EState_VSA7,24.26546827384644
EState_VSA8,57.13021316382821
EState_VSA9,4.736862953800049
SlogP_VSA10,17.062158824050687
SlogP_VSA11,5.749511833283905
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,54.66666666666668
fr_aldehyde,0
fr_barbitur,0
