DLiP-ID,I000T2
DLiP-Mol-ID,28910
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H16N4O/c1-7-6-8(2)15-12-10(7)4-5-11(16-12)17-13(18)9(3)14/h4-6,9H,14H2,1-3H3,(H,15,16,17,18)/t9-/m0/s1"
Standard Inchi Key(RDKit),NEVIWLQURZYMJU-VIFPVBQESA-N
Canonical SMILES(RDKit),Cc1cc(C)c2ccc(NC(=O)[C@H](C)N)nc2n1
SMILES(SDF),
MW(SDF),
MW(RDKit),244.298
MW Monoisotopic(RDKit),244.132411132
MolLogP(RDKit),1.53234
XLogP(SDF),
XLogP(CDK),1.24
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),80.9
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.839103790546822
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP_Smac
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,9995.300869836903
qed,0.839103790546822
Chi0,13.284092571446669
Chi1,8.46923425058676
TPSA,80.9
Chi0n,10.68942682741191
Chi0v,10.68942682741191
Chi1n,5.785943945062206
Chi1v,5.785943945062206
Chi2n,4.426120025588022
Chi2v,4.426120025588022
Chi3n,2.672446758968059
Chi3v,2.672446758968059
Chi4n,1.7414948006392246
Chi4v,1.7414948006392246
MolMR,71.29110000000003
MolWt,244.29799999999997
fr_SH,0
Kappa1,12.447008086673568
Kappa2,4.697908453497446
Kappa3,2.45806217663194
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,607.2078878656698
MolLogP,1.5323399999999998
NOCount,5
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,2.4107461318584025
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,5.733667477162185
SMR_VSA5,26.813052428219834
SMR_VSA6,5.316788604006331
SMR_VSA7,29.456480691930285
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,105.42834916577276
NHOHCount,3
PEOE_VSA1,11.050456081168516
PEOE_VSA2,4.794537184071822
PEOE_VSA3,9.967957041894417
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,44.53376429615369
PEOE_VSA8,11.080152209313257
PEOE_VSA9,6.041840829147961
RingCount,2
SMR_VSA10,22.758443942419056
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,244.132411132
NumHDonors,2
PEOE_VSA10,5.817862777835028
PEOE_VSA11,5.647177220767728
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,11.050456081168516
SlogP_VSA2,21.91697760039388
SlogP_VSA3,4.794537184071822
SlogP_VSA4,13.847474399381248
SlogP_VSA5,18.18111668623608
SlogP_VSA6,18.19910120538483
SlogP_VSA7,0.0
SlogP_VSA8,11.033401435232523
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,0
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,6.041840829147961
EState_VSA2,5.907179729351506
EState_VSA3,11.465039998602755
EState_VSA4,16.643603701010253
EState_VSA5,0.0
EState_VSA6,12.990104268152233
EState_VSA7,25.980208536304467
EState_VSA8,15.284745645900749
EState_VSA9,5.733667477162185
SlogP_VSA10,5.817862777835028
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
