DLiP-ID,I0017J
DLiP-Mol-ID,29536
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C28H32N4O3/c1-3-35-27-15-19(32-23-12-14-30-28-22(23)5-4-6-26(28)33)7-10-24(27)29-13-11-18-17-31-25-16-20(34-2)8-9-21(18)25/h7-10,12,14-17,26,29,31,33H,3-6,11,13H2,1-2H3,(H,30,32)/t26-/m1/s1"
Standard Inchi Key(RDKit),UQZCXLZZFZIPMT-AREMUKBSSA-N
Canonical SMILES(RDKit),CCOc1cc(Nc2ccnc3c2CCC[C@H]3O)ccc1NCCc1c[nH]c2cc(OC)ccc12
SMILES(SDF),
MW(SDF),
MW(RDKit),472.589
MW Monoisotopic(RDKit),472.247440884
MolLogP(RDKit),5.7381
XLogP(SDF),
XLogP(CDK),3.8
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),91.43
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.248385522580387
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MDM2-Like_P53
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,148372869.32649365
qed,0.24838552258038674
Chi0,24.20009536600338
Chi1,17.15652964083998
TPSA,91.42999999999999
Chi0n,20.227067150943192
Chi0v,20.227067150943192
Chi1n,12.23529315133483
Chi1v,12.23529315133483
Chi2n,8.801488335725239
Chi2v,8.801488335725239
Chi3n,6.553941588172146
Chi3v,6.553941588172146
Chi4n,4.7921222734297215
