DLiP-ID,I001BW
DLiP-Mol-ID,29722
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H14ClN3/c1-18(2)14-9-7-13(8-10-14)17-16-12-5-3-11(15)4-6-12/h3-10H,1-2H3"
Standard Inchi Key(RDKit),WQWHNMIYCHFRJK-UHFFFAOYSA-N
Canonical SMILES(RDKit),CN(C)c1ccc(N=Nc2ccc(Cl)cc2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),259.74
MW Monoisotopic(RDKit),259.087625128
MolLogP(RDKit),4.8214
XLogP(SDF),
XLogP(CDK),4.971
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),27.96
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.726351828861285
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,LEDGF_IN
Common Target Pref Name,LEDGF/IN
RDKit Descriptors
Ipc,13694.753371775361
qed,0.7263518288612854
Chi0,12.957819157813608
Chi1,8.647867045540842
TPSA,27.96
Chi0n,10.338407413026111
Chi0v,11.094336359044565
Chi1n,5.596964230846304
Chi1v,5.974928703855531
Chi2n,4.087241750477392
Chi2v,4.523677530949377
Chi3n,2.4736733325927074
Chi3v,2.725649647932192
Chi4n,1.4406690624380536
Chi4v,1.5666572201077962
MolMR,76.39700000000003
MolWt,259.74
fr_SH,0
Kappa1,12.583385378594173
Kappa2,5.646404487577406
Kappa3,3.309573469754031
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,1
BertzCT,529.9704916140216
MolLogP,4.821400000000003
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.1096551630526696
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,10.228500251258795
SMR_VSA5,0.0
SMR_VSA6,18.99525369620486
SMR_VSA7,53.553569861434205
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,111.72825929592835
NHOHCount,0
PEOE_VSA1,4.899909730850478
PEOE_VSA2,0.0
PEOE_VSA3,0.0
