DLiP-ID,J0001F
DLiP-Mol-ID,26736
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H24F3N3O2/c1-2-21(30)28-13-11-20(12-14-28)29(16-17-7-4-3-5-8-17)22(31)27-19-10-6-9-18(15-19)23(24,25)26/h2-10,15,20H,1,11-14,16H2,(H,27,31)"
Standard Inchi Key(RDKit),YGJDFQWSGOBKQW-UHFFFAOYSA-N
Canonical SMILES(RDKit),C=CC(=O)N1CCC(N(Cc2ccccc2)C(=O)Nc2cccc(C(F)(F)F)c2)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),431.458
MW Monoisotopic(RDKit),431.182061668
MolLogP(RDKit),4.9165
XLogP(SDF),
XLogP(CDK),4.17
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),52.65
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.683820217204686
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,DCN1/UBE2M
Common Target Pref Name,DCN1/UBE2M
RDKit Descriptors
Ipc,7504009.362997872
qed,0.683820217204686
Chi0,22.43251065250177
Chi1,14.774206811118558
TPSA,52.650000000000006
Chi0n,16.938310839160494
Chi0v,16.938310839160494
Chi1n,9.97831498742389
Chi1v,9.97831498742389
Chi2n,7.382799930655779
Chi2v,7.382799930655779
Chi3n,5.2893198811356195
Chi3v,5.2893198811356195
Chi4n,3.642416569661649
Chi4v,3.642416569661649
MolMR,112.24670000000005
MolWt,431.45800000000014
fr_SH,0
Kappa1,22.396440369776688
Kappa2,9.678741669038098
Kappa3,5.86993573294251
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,923.1639817573259
MolLogP,4.9165000000000045
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,1
BalabanJ,1.770339062659917
SMR_VSA1,22.760319511168106
SMR_VSA2,0.0
SMR_VSA3,9.799819461700956
SMR_VSA4,0.0
SMR_VSA5,31.60453899835603
SMR_VSA6,18.406301415831482
SMR_VSA7,78.37916238998086
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,178.6966063310913
NHOHCount,1
PEOE_VSA1,15.116608065707286
PEOE_VSA2,4.794537184071822
PEOE_VSA3,4.794537184071822
PEOE_VSA4,13.171245143024459
PEOE_VSA5,0.0
PEOE_VSA6,42.97713809436816
PEOE_VSA7,42.68021604976772
PEOE_VSA8,31.363496321569247
PEOE_VSA9,5.563451491696996
RingCount,3
SMR_VSA10,17.62568051637314
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,431.18206166799996
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,12.207413029781547
SlogP_VSA1,5.316788604006331
SlogP_VSA2,40.86946734436364
SlogP_VSA3,17.51559210742787
SlogP_VSA4,0.0
SlogP_VSA5,23.96854622924601
SlogP_VSA6,67.25225940658687
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,3
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,17.770864521478543
EState_VSA2,17.636406833183027
EState_VSA3,32.475912463589744
EState_VSA4,17.696185628620217
EState_VSA5,18.208754243757102
EState_VSA6,9.799819461700956
EState_VSA7,30.33183534230805
EState_VSA8,11.895724287604828
EState_VSA9,0.0
SlogP_VSA10,23.653168601779846
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
