DLiP-ID,J0004S
DLiP-Mol-ID,26886
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H35N3O3/c1-4-8-20(2)28-17-15-24(16-18-28)29(19-21-9-6-5-7-10-21)26(31)27-23-13-11-22(12-14-23)25(30)32-3/h5-7,9-14,20,24H,4,8,15-19H2,1-3H3,(H,27,31)"
Standard Inchi Key(RDKit),QOMWRBSYVJRNTB-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(C(=O)OC)cc2)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),437.584
MW Monoisotopic(RDKit),437.26784198
MolLogP(RDKit),5.1603
XLogP(SDF),
XLogP(CDK),4.91
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),61.88
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.579611395468355
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,DCN1/UBE2M
Common Target Pref Name,DCN1/UBE2M
RDKit Descriptors
Ipc,16169427.234989315
qed,0.579611395468355
Chi0,22.924074484064487
Chi1,15.511570350697117
TPSA,61.879999999999995
Chi0n,19.419772491783224
Chi0v,19.419772491783224
