DLiP-ID,J0006N
DLiP-Mol-ID,26953
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H34N4O2/c1-3-7-19(2)28-16-14-23(15-17-28)29(18-20-8-5-4-6-9-20)25(31)27-22-12-10-21(11-13-22)24(26)30/h4-6,8-13,19,23H,3,7,14-18H2,1-2H3,(H2,26,30)(H,27,31)"
Standard Inchi Key(RDKit),IZNQPCBCGSKEGI-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(C(N)=O)cc2)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),422.573
MW Monoisotopic(RDKit),422.268176328
MolLogP(RDKit),4.4726
XLogP(SDF),
XLogP(CDK),3.861
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),78.67
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.658610530873335
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,DCN1/UBE2M
Common Target Pref Name,DCN1/UBE2M
RDKit Descriptors
Ipc,9315121.954381647
qed,0.6586105308733348
Chi0,22.21696770287794
Chi1,14.973565548236332
TPSA,78.66999999999999
Chi0n,18.588874470508987
Chi0v,18.588874470508987
Chi1n,11.230417420283404
Chi1v,11.230417420283404
Chi2n,8.390092601103692
Chi2v,8.390092601103692
Chi3n,6.146934952533483
Chi3v,6.146934952533483
Chi4n,4.2985739525135
Chi4v,4.2985739525135
MolMR,124.92860000000007
MolWt,422.5730000000002
fr_SH,0
Kappa1,22.816933875050694
Kappa2,10.95701951362352
Kappa3,6.309549274922832
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,845.5855301311125
MolLogP,4.4726000000000035
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,1
BalabanJ,1.701345954869338
SMR_VSA1,9.589074368143644
SMR_VSA2,0.0
SMR_VSA3,9.799819461700956
SMR_VSA4,5.733667477162185
SMR_VSA5,58.159198955293775
SMR_VSA6,18.406301415831482
SMR_VSA7,65.72420659954848
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,184.9593780803027
NHOHCount,3
PEOE_VSA1,20.850275542869472
PEOE_VSA2,4.794537184071822
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,43.67639416492468
PEOE_VSA7,56.01512183401209
PEOE_VSA8,42.968788642414204
PEOE_VSA9,0.0
RingCount,3
SMR_VSA10,17.62568051637314
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,422.268176328
NumHDonors,2
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,6.031114512338072
SlogP_VSA1,11.050456081168516
SlogP_VSA2,46.91130817351161
SlogP_VSA3,6.544756405912575
SlogP_VSA4,0.0
SlogP_VSA5,55.4522010585511
SlogP_VSA6,54.59730361615449
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,5.907179729351506
EState_VSA2,12.072955341486033
EState_VSA3,23.837435001441094
EState_VSA4,31.494607549374166
EState_VSA5,12.841643245852019
EState_VSA6,24.26546827384644
EState_VSA7,23.099010936235306
EState_VSA8,36.196906871161275
EState_VSA9,5.733667477162185
SlogP_VSA10,10.481923458755384
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,67.99999999999999
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,1
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,9.589074368143644
EState_VSA11,0.0
FractionCSP3,0.44
VSA_EState10,0.0
fr_C_O_noCOO,2
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,1
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.8599999999999994
NumHAcceptors,3
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,31
HeavyAtomMolWt,388.3010000000002
MaxEStateIndex,13.262538300444145
MinEStateIndex,-0.47903533082578
NumHeteroatoms,6
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.096774193548387
FpDensityMorgan2,1.7419354838709677
FpDensityMorgan3,2.3225806451612905
MaxPartialCharge,0.3218963631681897
MinPartialCharge,-0.36559949413973264
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,13.262538300444145
MinAbsEStateIndex,0.11506044238683089
NumAliphaticRings,1
NumRotatableBonds,8
NumSaturatedRings,1
fr_Ndealkylation1,0
fr_Ndealkylation2,1
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.36559949413973264
MinAbsPartialCharge,0.3218963631681897
NumRadicalElectrons,0
NumValenceElectrons,166
fr_para_hydroxylation,0
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,1
Mordred Descriptors
MW,422.26817632800095
MZ,0.5846153846153848
Mi,1.1329484485657233
Mm,0.5412640976540735
Mp,0.648779014279134
Mv,0.5949619251906247
SZ,38.00000000000001
Si,73.64164915677202
Sm,35.18216634751477
Sp,42.17063592814371
Sv,38.67252513739061
nB,0
nC,25
nF,0
nH,34
nI,0
nN,4
nO,2
nP,0
nS,0
nX,0
ABC,23.610322520041255
AMW,6.4964334819692455
IC0,1.4212887153841522
IC1,3.3158903801339066
IC2,4.625537235805821
IC3,5.3721422360055255
IC4,5.445294351423424
IC5,5.445294351423424
MID,62.597609970396206
Mpe,0.9507692307692309
Mse,0.9908790408426241
NdO,2
NdS,0
NsF,0
NsI,0
NtN,0
SMR,124.92860000000007
SdO,24.552961641721947
SdS,0
Spe,61.80000000000001
SsF,0
SsI,0
Sse,64.40713765477057
StN,0
fMF,0.3384615384615385
nBr,0
nCl,0
AMID,2.019277740980523
BIC0,0.22817949694904388
BIC1,0.5323465884780676
BIC2,0.7426026451634569
BIC3,0.8624656621009859
BIC4,0.8742098015683164
BIC5,0.8742098015683164
CIC0,4.601079097644302
CIC1,2.706477432894548
CIC2,1.3968305772226337
CIC3,0.6502255770229288
CIC4,0.5770734616050301
CIC5,0.5770734616050301
GGI1,6.0
GGI2,3.555555555555557
GGI3,1.8125
GGI4,1.5955555555555558
GGI5,1.0555555555555554
GGI6,0.6089795918367347
GGI7,0.4965277777777778
GGI8,0.33610481229528844
GGI9,0.3350000000000001
JGI1,0.18181818181818182
JGI2,0.08080808080808084
JGI3,0.03940217391304348
JGI4,0.03710594315245479
JGI5,0.024547803617571057
JGI6,0.014162316089226388
JGI7,0.011822089947089946
JGI8,0.008402620307382211
JGI9,0.009571428571428571
MIC0,12.8006859996144
MIC1,28.76353029744299
MIC2,36.26214872690679
MIC3,37.819619293051254
MIC4,37.893356625392485
MIC5,37.893356625392485
MPC2,44
MPC3,55
MPC4,66
MPC5,81
MPC6,84
MPC7,96
MPC8,104
MPC9,108
Mare,0.9635692307692307
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.1430978565785027
RPCG,0.12599218639011034
SIC0,0.23600164578281246
SIC1,0.5505957927313065
SIC2,0.768059570489732
SIC3,0.8920315734259426
SIC4,0.9041783100068014
SIC5,0.9041783100068014
SaaN,0
SaaO,0
SaaS,0
Sare,62.632
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,92.3837664999699
TIC1,215.53287470870393
TIC2,300.65992032737836
TIC3,349.18924534035915
TIC4,353.94413284252255
TIC5,353.94413284252255
Vabc,422.5625374128752
WPol,46
apol,70.42496199999998
bpol,39.26503800000002
nRot,8
ABCGG,18.14531249717124
ATS0Z,1258.0
ATS0d,188.0
ATS0i,10672.921893919467
ATS0m,4937.869399000001
ATS0p,90.96574676486601
ATS0s,239.44444444444446
ATS0v,13050.808101200319
ATS1Z,1473.0
ATS1d,238.0
ATS1i,9908.8097971988
ATS1m,5489.958229
ATS1p,117.28777051
ATS1s,187.86111111111111
ATS1v,16629.657905013337
ATS2Z,2123.0
ATS2d,384.0
ATS2i,18710.575029736487
ATS2m,7707.6543919999995
ATS2p,176.66779180788598
ATS2s,320.83333333333337
ATS2v,24053.190541419754
ATS3Z,2377.0
ATS3d,461.0
ATS3i,26830.06607916457
ATS3m,8330.51539
ATS3p,213.513544008017
ATS3s,397.8611111111111
ATS3v,28125.345500149924
ATS4Z,2393.0
ATS4d,462.0
ATS4i,30755.43202019841
ATS4m,8186.222522999999
ATS4p,221.895433653356
ATS4s,460.77777777777777
ATS4v,28520.81815469921
ATS5Z,2357.0
ATS5d,465.0
ATS5i,33360.565137605336
ATS5m,8077.677974999999
ATS5p,221.685905828034
ATS5s,477.22222222222223
ATS5v,28234.869559929903
ATS6Z,2300.0
ATS6d,454.0
ATS6i,31054.867792283443
ATS6m,7935.090447
ATS6p,217.479793049242
ATS6s,451.6666666666667
ATS6v,27789.952291826903
ATS7Z,2212.0
ATS7d,440.0
ATS7i,28784.519142077854
ATS7m,7614.06849
ATS7p,218.91903334590302
ATS7s,398.3611111111111
ATS7v,27868.09575803602
ATS8Z,2176.0
ATS8d,427.0
ATS8i,28905.1055105913
ATS8m,7494.8404439999995
ATS8p,211.684756719299
ATS8s,456.05555555555554
ATS8v,26656.133421650993
C1SP1,0
C1SP2,1
C1SP3,5
C2SP1,0
C2SP2,10
C2SP3,6
C3SP2,2
C3SP3,0
C4SP3,0
FCSP3,0.44
GGI10,0.21885521885521886
JGI10,0.006839225589225589
JGT10,0.4144798638136846
Kier1,25.619834710743802
Kier2,13.03202479338843
Kier3,7.775206611570248
MAXdO,13.262538300444145
MID_C,50.878171249161504
MID_N,8.217674456750428
MID_O,3.5017642644842724
MID_X,0.0
MID_h,11.7194387212347
MINdO,11.290423341277801
MPC10,112
MWC01,33.0
MWC02,5.043425116919247
MWC03,5.8664680569332965
MWC04,6.715383386334681
MWC05,7.556427969440253
MWC06,8.410720946905721
MWC07,9.259416209622776
MWC08,10.117025113705102
MWC09,10.970006997656974
MWC10,11.829901741553766
NaaCH,9
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,3
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,2
NdssS,0
NsCH3,2
NsNH2,1
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,2
NsssP,0
SLogP,4.4726000000000035
SRW02,4.204692619390966
SRW03,0.0
SRW04,5.493061443340548
SRW05,0.0
SRW06,6.974478911025045
SRW07,0.0
SRW08,8.536799721055155
SRW09,0.0
SRW10,10.139231385826076
SaaCH,16.801799815930718
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,2.192855843814296
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.5940957732126109
SdssS,0
SsCH3,4.526956220015556
SsNH2,5.309570223180067
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,3.0012538300444143
SssPH,0
SssSe,0
SsssB,0
SsssN,4.5003105938758825
SsssP,0
VE1_A,4.753556803602068
VE1_D,5.460430991888778
VE2_A,0.15334054205167963
VE2_D,0.17614293522221863
VE3_A,2.690295250084566
VE3_D,2.828929834375979
VR1_A,281.6133183798767
VR1_D,200.04578719374126
VR2_A,9.084300592899249
VR2_D,6.4530899094755245
VR3_A,6.771937030039681
VR3_D,6.429948387806004
WPath,2934
Xc-3d,1.8490689080761824
Xc-4d,0.0
Xc-5d,0.44878422347333935
Xc-6d,0.0
Xp-0d,22.21696770287794
Xp-1d,14.973565548236332
Xp-2d,13.082220261602835
Xp-3d,10.571234680055595
Xp-4d,8.321504282012537
Xp-5d,6.427475766175402
Xp-6d,4.250410225595418
Xp-7d,3.14688593360617
ZMIC0,105.5598415331244
ZMIC1,57.04058373392216
ZMIC2,31.922586385591877
ZMIC3,25.35324756946342
ZMIC4,25.016793040668336
ZMIC5,25.016793040668336
nAcid,0
nAtom,65
nBase,1
nRing,3
piPC1,3.7376696182833684
piPC2,4.204692619390966
piPC3,4.624972813284271
piPC4,5.0401940963378005
piPC5,5.486869473092628
piPC6,5.4866106404265
piPC7,5.714763627165435
piPC8,5.89595122167098
piPC9,5.9752398862489615
AATS0Z,19.353846153846153
AATS0d,2.8923076923076922
AATS0i,164.1987983679918
AATS0m,75.96722152307694
AATS0p,1.3994730271517848
AATS0s,3.683760683760684
AATS0v,200.78166309538952
AATS1Z,21.98507462686567
AATS1d,3.5522388059701493
AATS1i,147.89268354028061
AATS1m,81.93967505970149
AATS1p,1.750563738955224
AATS1s,2.8038971807628523
AATS1v,248.20384932855725
AATS2Z,17.691666666666666
AATS2d,3.2
AATS2i,155.9214585811374
AATS2m,64.23045326666666
AATS2p,1.4722315983990497
AATS2s,2.6736111111111116
AATS2v,200.44325451183127
AATS3Z,14.233532934131736
AATS3d,2.7604790419161676
AATS3i,160.65907831835074
AATS3m,49.883325688622755
AATS3p,1.2785242156168681
AATS3s,2.382401862940785
AATS3v,168.41524251586782
AATS4Z,12.661375661375661
AATS4d,2.4444444444444446
AATS4i,162.72715354602332
AATS4m,43.313346682539674
AATS4p,1.1740499135098201
AATS4s,2.4379776601998824
AATS4v,150.90379976031326
AATS5Z,11.668316831683168
AATS5d,2.301980198019802
AATS5i,165.15131256240267
AATS5m,39.988504826732665
AATS5p,1.097454979346703
AATS5s,2.3624862486248626
AATS5v,139.77658197985102
AATS6Z,12.16931216931217
AATS6d,2.4021164021164023
AATS6i,164.3114698004415
AATS6m,41.98460553968254
AATS6p,1.1506867357102752
AATS6s,2.3897707231040566
AATS6v,147.03678461284076
AATS7Z,12.35754189944134
AATS7d,2.458100558659218
AATS7i,160.80736950881482
AATS7m,42.53669547486033
AATS7p,1.2230113594743186
AATS7s,2.2254810676598384
