DLiP-ID,J000E2
DLiP-Mol-ID,27255
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H23N3O2/c1-15-9-18(12-19(10-15)27-2)22(26)23-13-16-5-3-6-17(11-16)20-14-25-8-4-7-21(25)24-20/h3,5-6,9-12,14H,4,7-8,13H2,1-2H3,(H,23,26)"
Standard Inchi Key(RDKit),BOBQZWKOBBWGCV-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cc(C)cc(C(=O)NCc2cccc(-c3cn4c(n3)CCC4)c2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),361.445
MW Monoisotopic(RDKit),361.179026976
MolLogP(RDKit),3.74332
XLogP(SDF),
XLogP(CDK),4.211
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),56.15
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.753056389822624
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,WDR5/Mixed-lineage leukemia 1 (MLL1)
Common Target Pref Name,WDR5/Mixed-lineage leukemia 1 (MLL1)
RDKit Descriptors
Ipc,2388563.1363874744
qed,0.7530563898226245
Chi0,18.802754140504845
Chi1,13.118524838379198
TPSA,56.15
Chi0n,15.658153050190842
Chi0v,15.658153050190842
Chi1n,9.214496948931092
Chi1v,9.214496948931092
Chi2n,6.961238518753627
Chi2v,6.961238518753627
Chi3n,4.883139036342657
Chi3v,4.883139036342657
Chi4n,3.515868009295089
Chi4v,3.515868009295089
MolMR,104.88520000000003
MolWt,361.44500000000016
fr_SH,0
Kappa1,17.339648554188408
Kappa2,7.270261796142297
Kappa3,3.7210765643956223
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,969.4730124192431
MolLogP,3.7433200000000024
NOCount,5
