DLiP-ID,J100F7
DLiP-Mol-ID,37249
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H22ClN5O4S/c1-28(34(32,33)18-4-3-9-25-13-18)14-17-10-15(5-7-20(17)24)19(12-23(30)31)16-6-8-22-21(11-16)26-27-29(22)2/h3-11,13,19H,12,14H2,1-2H3,(H,30,31)"
Standard Inchi Key(RDKit),MFYPHSBKCCZZFC-UHFFFAOYSA-N
Canonical SMILES(RDKit),CN(Cc1cc(C(CC(=O)O)c2ccc3c(c2)nnn3C)ccc1Cl)S(=O)(=O)c1cccnc1
SMILES(SDF),
MW(SDF),
MW(RDKit),499.98
MW Monoisotopic(RDKit),499.108102864
MolLogP(RDKit),3.444
XLogP(SDF),
XLogP(CDK),2.258
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),118.28
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.3941253616263
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,KEAP1/NRF2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,42728039.00015615
qed,0.39412536162629985
Chi0,24.457454678884094
Chi1,16.16274092922623
TPSA,118.27999999999999
Chi0n,18.459305731323408
Chi0v,20.03173125826959
Chi1n,10.32380119601938
Chi1v,12.141828997829249
Chi2n,7.91230586980797
Chi2v,10.36439045841319
Chi3n,5.623568760085499
Chi3v,7.7792411760540725
Chi4n,3.814239420548637
Chi4v,5.105084814844101
MolMR,126.94660000000003
MolWt,499.98000000000013
fr_SH,0
Kappa1,23.805988563415422
Kappa2,9.492774140134278
Kappa3,4.789790857575946
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,5
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1457.009301845931
MolLogP,3.4440000000000026
NOCount,9
fr_Ar_N,4
fr_COO2,1
fr_urea,0
BalabanJ,1.6916426903976105
SMR_VSA1,18.318861563241466
SMR_VSA2,0.0
SMR_VSA3,24.28306435134453
SMR_VSA4,7.04767198267719
SMR_VSA5,23.778967550517752
SMR_VSA6,7.04767198267719
SMR_VSA7,82.63761147975134
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,201.2115233787384
NHOHCount,1
PEOE_VSA1,5.106527394840706
PEOE_VSA2,9.77851570501903
PEOE_VSA3,13.099599919474123
PEOE_VSA4,4.305215991296234
PEOE_VSA5,5.098681808301038
PEOE_VSA6,35.01342619127222
PEOE_VSA7,47.02218981739904
PEOE_VSA8,43.97432687439583
PEOE_VSA9,11.937522340542271
RingCount,4
SMR_VSA10,38.626937766824476
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,499.108102864
