DLiP-ID,P0001F
DLiP-Mol-ID,22478
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H15N3S/c1-10(18-13-4-3-6-16-11(13)2)12-8-15-14(17-9-12)5-7-19-15/h3-10,18H,1-2H3/t10-/m0/s1"
Standard Inchi Key(RDKit),BHXCHKMTMFQWLX-JTQLQIEISA-N
Canonical SMILES(RDKit),Cc1ncccc1N[C@@H](C)c1cnc2ccsc2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),269.373
MW Monoisotopic(RDKit),269.09866848
MolLogP(RDKit),4.17282
XLogP(SDF),
XLogP(CDK),2.579
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),37.81
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.77502490978619
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BAZ2B/H4
Common Target Pref Name,BAZ2B/H4
RDKit Descriptors
Ipc,39753.54435026379
qed,0.7750249097861897
Chi0,13.242276208189782
Chi1,9.237183443017884
TPSA,37.81
Chi0n,10.921477634980787
Chi0v,11.737974215908514
Chi1n,6.251513991975044
Chi1v,7.13116680322994
Chi2n,4.575026333328384
Chi2v,5.522720526327255
Chi3n,3.2027783000539065
Chi3v,4.05586707402857
Chi4n,2.0518018960742275
Chi4v,2.840967687441847
MolMR,80.63170000000004
MolWt,269.373
fr_SH,0
Kappa1,12.112235773924281
Kappa2,4.974390784706072
Kappa3,2.441545024638481
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,705.1869980973682
MolLogP,4.172820000000002
NOCount,3
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.8682119481582524
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,19.88931522852921
SMR_VSA6,5.316788604006331
SMR_VSA7,53.296597674083955
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,115.89450961639857
NHOHCount,1
PEOE_VSA1,5.316788604006331
PEOE_VSA2,9.967957041894417
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,11.336785877934737
PEOE_VSA6,0.0
PEOE_VSA7,49.05645693539059
PEOE_VSA8,12.393687143226153
PEOE_VSA9,27.639775732765344
RingCount,3
SMR_VSA10,27.240792786703665
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,269.09866848
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,5.316788604006331
SlogP_VSA2,9.967957041894417
SlogP_VSA3,0.0
SlogP_VSA4,6.923737199690624
SlogP_VSA5,24.22295751538404
SlogP_VSA6,42.0392181875385
SlogP_VSA7,0.0
SlogP_VSA8,10.216620634085363
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,0
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,6.041840829147961
EState_VSA3,0.0
EState_VSA4,16.898014987148287
EState_VSA5,10.263371408166098
EState_VSA6,11.336785877934737
EState_VSA7,31.450158479839995
EState_VSA8,39.72127975298051
EState_VSA9,0.0
SlogP_VSA10,5.687386274683562
SlogP_VSA11,0.0
SlogP_VSA12,11.336785877934737
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,36.274283824640975
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,2
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,0.0
EState_VSA11,0.0
FractionCSP3,0.2
VSA_EState10,1.7257161753590322
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,1
HallKierAlpha,-1.94
NumHAcceptors,4
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,19
HeavyAtomMolWt,254.25299999999996
MaxEStateIndex,4.481075837742504
MinEStateIndex,0.2100925925925925
NumHeteroatoms,4
fr_aryl_methyl,1
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.263157894736842
FpDensityMorgan2,2.1578947368421053
FpDensityMorgan3,3.0
MaxPartialCharge,0.08093739347143902
MinPartialCharge,-0.37699718324415177
NumAromaticRings,3
fr_unbrch_alkane,0
MaxAbsEStateIndex,4.481075837742504
MinAbsEStateIndex,0.2100925925925925
NumAliphaticRings,0
NumRotatableBonds,3
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
