DLiP-ID,P0003Y
DLiP-Mol-ID,23016
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H23N3O3/c1-5-15-16(12(3)23)11(2)21-17(15)19(25)22(4)10-13-7-6-8-14(9-13)18(20)24/h6-9,21H,5,10H2,1-4H3,(H2,20,24)"
Standard Inchi Key(RDKit),FETDKYPMSNKFSJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCc1c(C(=O)N(C)Cc2cccc(C(N)=O)c2)[nH]c(C)c1C(C)=O
SMILES(SDF),
MW(SDF),
MW(RDKit),341.411
MW Monoisotopic(RDKit),341.173941596
MolLogP(RDKit),2.45922
XLogP(SDF),
XLogP(CDK),2.081
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),96.26
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.789941239332351
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4-1/H4
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,313223.7662339552
qed,0.7899412393323515
Chi0,18.723250160202095
Chi1,11.756126613022031
TPSA,96.25999999999999
Chi0n,14.972923375212773
Chi0v,14.972923375212773
Chi1n,8.123676496976396
Chi1v,8.123676496976396
Chi2n,6.114136412090338
Chi2v,6.114136412090338
Chi3n,4.188476454161272
Chi3v,4.188476454161272
Chi4n,3.048884657142525
Chi4v,3.048884657142525
MolMR,95.66960000000005
MolWt,341.4110000000001
fr_SH,0
Kappa1,18.448680863501387
Kappa2,7.3375138782635485
Kappa3,3.7884708784227086
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,836.4350179502962
MolLogP,2.45922
NOCount,6
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.289169910320295
SMR_VSA1,14.383611552215466
SMR_VSA2,0.0
SMR_VSA3,9.883888251797686
SMR_VSA4,5.733667477162185
SMR_VSA5,33.736789627910454
SMR_VSA6,7.04767198267719
SMR_VSA7,57.90713023033134
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,146.5664274434922
NHOHCount,3
PEOE_VSA1,15.617555728959871
PEOE_VSA2,14.383611552215466
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,19.056471336613843
PEOE_VSA7,43.52793314262446
PEOE_VSA8,30.413259366832218
PEOE_VSA9,0.0
RingCount,2
SMR_VSA10,17.59760440506795
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,0
ExactMolWt,341.17394159599996
NumHDonors,2
PEOE_VSA10,5.693927994848461
PEOE_VSA11,5.783244946364939
PEOE_VSA12,5.907179729351506
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,5.733667477162185
SlogP_VSA2,34.52916463954283
SlogP_VSA3,12.965578028838586
SlogP_VSA4,6.923737199690624
SlogP_VSA5,61.872747908081614
SlogP_VSA6,24.26546827384644
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,5.907179729351506
EState_VSA2,11.690424675716445
EState_VSA3,35.4803370019295
EState_VSA4,11.126902983393991
EState_VSA5,6.923737199690624
EState_VSA6,37.070420118603124
EState_VSA7,12.990104268152233
EState_VSA8,4.9839785209472085
EState_VSA9,5.733667477162185
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,63.50000000000001
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,1
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,14.383611552215466
EState_VSA11,0.0
FractionCSP3,0.3157894736842105
VSA_EState10,0.0
fr_C_O_noCOO,3
fr_Nhpyrrole,1
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.8899999999999997
NumHAcceptors,3
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,25
HeavyAtomMolWt,318.2270000000001
MaxEStateIndex,12.827439058956916
MinEStateIndex,-0.5044522806571867
NumHeteroatoms,6
fr_aryl_methyl,1
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.24
FpDensityMorgan2,1.92
FpDensityMorgan3,2.48
MaxPartialCharge,0.27012404752561786
MinPartialCharge,-0.3655993575397595
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.827439058956916
MinAbsEStateIndex,0.054201448970568444
NumAliphaticRings,0
NumRotatableBonds,6
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,1
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.3655993575397595
MinAbsPartialCharge,0.27012404752561786
NumRadicalElectrons,0
NumValenceElectrons,132
fr_para_hydroxylation,0
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,341.1739415960006
MZ,0.6319444444444443
Mi,1.1307542483326376
Mm,0.5921845946771015
Mp,0.6583363148702596
Mv,0.6176939115611644
SZ,30.33333333333333
Si,54.276203919966605
Sm,28.424860544500874
Sp,31.600143113772457
Sv,29.64930775493589
nB,0
nC,19
nF,0
nH,23
nI,0
nN,3
nO,3
nP,0
nS,0
nX,0
ABC,18.86742410739932
AMW,7.107790449916679
IC0,1.5378307767822736
IC1,3.553508854797678
IC2,4.730388542207534
IC3,5.063721875540868
IC4,5.063721875540868
