DLiP-ID,P000AB
DLiP-Mol-ID,24569
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H15N3O3S/c1-18-10-11-9-13(7-8-14(11)16-15(18)19)22(20,21)17-12-5-3-2-4-6-12/h2-9,17H,10H2,1H3,(H,16,19)"
Standard Inchi Key(RDKit),MUQCGKPYCUDNMX-UHFFFAOYSA-N
Canonical SMILES(RDKit),CN1Cc2cc(S(=O)(=O)Nc3ccccc3)ccc2NC1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),317.37
MW Monoisotopic(RDKit),317.08341234
MolLogP(RDKit),2.4647
XLogP(SDF),
XLogP(CDK),1.439
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),78.51
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.912520462317068
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4-1/H4
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,100064.86135512192
qed,0.9125204623170676
Chi0,15.742276208189782
Chi1,10.4543269253365
TPSA,78.51
Chi0n,11.906115692058966
Chi0v,12.722612272986693
Chi1n,6.685024793124722
Chi1v,8.168188040719112
Chi2n,5.076692528399529
Chi2v,6.759094769809045
Chi3n,3.408828040729528
Chi3v,4.787795373948656
Chi4n,2.2482262182611663
Chi4v,3.357064714869607
MolMR,84.17820000000003
MolWt,317.37000000000006
fr_SH,0
Kappa1,14.399479505858015
Kappa2,5.341006966629197
Kappa3,2.7519802044479262
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,819.1812460589543
MolLogP,2.4647000000000006
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,1
BalabanJ,1.9208869086996885
SMR_VSA1,13.212334168400758
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,11.440239881430351
SMR_VSA6,17.08655545113561
SMR_VSA7,54.09438803938988
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,128.35934854509992
NHOHCount,2
PEOE_VSA1,10.216698334856808
PEOE_VSA2,4.722094864452088
PEOE_VSA3,13.212334168400758
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,35.89528683400505
PEOE_VSA8,24.96720093795689
PEOE_VSA9,4.895483475517775
RingCount,3
SMR_VSA10,27.429178215112778
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,317.08341234000005
NumHDonors,2
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,10.023291153407584
PEOE_VSA14,6.031114512338072
SlogP_VSA1,10.038883468458419
SlogP_VSA2,26.396493210194677
SlogP_VSA3,16.56804755932016
SlogP_VSA4,0.0
SlogP_VSA5,5.563451491696996
SlogP_VSA6,53.42642002321065
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,2
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,10.023291153407584
EState_VSA2,10.926597987855846
EState_VSA3,17.9195289552797
EState_VSA4,5.563451491696996
EState_VSA5,10.966276799312087
EState_VSA6,43.44587439344685
EState_VSA7,6.06636706846161
EState_VSA8,10.038883468458419
EState_VSA9,0.0
SlogP_VSA10,16.169309733438947
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,24.84234599395314
VSA_EState9,35.56669512944066
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,13.212334168400758
EState_VSA11,0.0
FractionCSP3,0.13333333333333333
VSA_EState10,-3.6590411233938007
fr_C_O_noCOO,1
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,1
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.5399999999999996
NumHAcceptors,3
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,22
HeavyAtomMolWt,302.25
MaxEStateIndex,12.42117299697657
MinEStateIndex,-3.6590411233938007
NumHeteroatoms,7
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.1363636363636365
FpDensityMorgan2,1.8636363636363635
FpDensityMorgan3,2.590909090909091
MaxPartialCharge,0.3213931910858664
MinPartialCharge,-0.32318509320493344
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.42117299697657
MinAbsEStateIndex,0.16634448223733944
NumAliphaticRings,1
NumRotatableBonds,3
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.32318509320493344
MinAbsPartialCharge,0.3213931910858664
NumRadicalElectrons,0
NumValenceElectrons,114
fr_para_hydroxylation,1
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,317.08341234000045
MZ,0.7477477477477479
Mi,1.1225700745815663
Mm,0.714126915192605
Mp,0.7065527593461728
Mv,0.6667311160132247
SZ,27.66666666666667
Si,41.53509275951795
Sm,26.422695862126382
Sp,26.142452095808395
Sv,24.66905129248931
nB,0
nC,15
nF,0
nH,15
nI,0
nN,3
nO,3
nP,0
nS,1
nX,0
ABC,17.364689807296877
AMW,8.569821955135147
IC0,1.7846832879915853
IC1,3.43621983929282
IC2,4.1416216087552495
IC3,4.7902702574039
IC4,4.972834784489398
IC5,4.972834784489398
MID,44.7055566024557
