DLiP-ID,P000AP
DLiP-Mol-ID,24611
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H42N4O4/c1-6-21(28-5)24(33)30-23-18(16-32)9-12-20-13-14-22(31(20)26(23)35)25(34)29-15-17-7-10-19(11-8-17)27(2,3)4/h7-8,10-11,18,20-23,28,32H,6,9,12-16H2,1-5H3,(H,29,34)(H,30,33)/t18-,20+,21+,22+,23+/m1/s1"
Standard Inchi Key(RDKit),NJWOUDIHXORURQ-PMAMDCHESA-N
Canonical SMILES(RDKit),CC[C@H](NC)C(=O)N[C@@H]1C(=O)N2[C@@H](CC[C@@H]1CO)CC[C@H]2C(=O)NCc1ccc(C(C)(C)C)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),486.657
MW Monoisotopic(RDKit),486.320605824
MolLogP(RDKit),1.845
XLogP(SDF),
XLogP(CDK),3.529
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),110.77
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.44824478914995
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP-BIR3/SMAC
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,46123338.7402719
qed,0.44824478914995036
Chi0,25.750347897697544
Chi1,16.59910397601461
TPSA,110.77000000000001
Chi0n,21.765071953403975
Chi0v,21.765071953403975
Chi1n,12.880384295466525
Chi1v,12.880384295466525
Chi2n,10.912979524663958
Chi2v,10.912979524663958
Chi3n,7.55994370272013
Chi3v,7.55994370272013
Chi4n,5.272991707045093
Chi4v,5.272991707045093
MolMR,135.52389999999994
MolWt,486.65700000000027
fr_SH,0
Kappa1,27.142735627176787
Kappa2,11.523369102092607
Kappa3,6.220398591976228
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,891.43748365667
MolLogP,1.8450000000000015
NOCount,8
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.7055688468643257
SMR_VSA1,19.49013894705617
SMR_VSA2,0.0
SMR_VSA3,20.850275542869472
SMR_VSA4,5.917906046161393
SMR_VSA5,95.92616710529374
SMR_VSA6,13.654553947190108
SMR_VSA7,35.392371257240434
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,208.7717454881221
NHOHCount,4
PEOE_VSA1,25.956802937710176
PEOE_VSA2,14.383611552215466
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,51.960417072608934
PEOE_VSA7,55.693673550098005
PEOE_VSA8,25.111385245734848
PEOE_VSA9,6.041840829147961
RingCount,3
SMR_VSA10,17.721539188054518
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,486.320605824
NumHDonors,4
PEOE_VSA10,12.083681658295921
PEOE_VSA11,0.0
PEOE_VSA12,17.721539188054518
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,15.950365812018994
SlogP_VSA2,65.54989357752764
SlogP_VSA3,26.343358427524823
SlogP_VSA4,5.917906046161393
SlogP_VSA5,70.92595989678652
SlogP_VSA6,24.26546827384644
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,18.12552248744388
EState_VSA2,41.70315849727357
EState_VSA3,32.22804289761661
EState_VSA4,11.984273114623004
EState_VSA5,5.563451491696996
EState_VSA6,11.947581713527669
EState_VSA7,19.056471336613843
EState_VSA8,48.85431154801409
EState_VSA9,0.0
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,81.25
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,19.49013894705617
EState_VSA11,0.0
FractionCSP3,0.6666666666666666
VSA_EState10,0.0
fr_C_O_noCOO,3
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.4499999999999993
NumHAcceptors,5
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,35
HeavyAtomMolWt,444.3210000000003
MaxEStateIndex,13.65125211143089
MinEStateIndex,-0.8349606656165391
NumHeteroatoms,8
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,1
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.1142857142857143
FpDensityMorgan2,1.7714285714285714
FpDensityMorgan3,2.342857142857143
MaxPartialCharge,0.2459598972885038
MinPartialCharge,-0.3959900332036032
NumAromaticRings,1
fr_unbrch_alkane,0
MaxAbsEStateIndex,13.65125211143089
MinAbsEStateIndex,0.04949689987208017
NumAliphaticRings,2
NumRotatableBonds,8
NumSaturatedRings,2
fr_Ndealkylation1,1
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.3959900332036032
MinAbsPartialCharge,0.2459598972885038
NumRadicalElectrons,0
NumValenceElectrons,194
fr_para_hydroxylation,0
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,2
NumSaturatedHeterocycles,2
Mordred Descriptors
MW,486.3206058240012
MZ,0.5714285714285713
Mi,1.1392412972319372
Mm,0.5262027124486537
Mp,0.6276017264172953
Mv,0.5749277215762055
SZ,43.99999999999999
Si,87.72157988685916
Sm,40.51760885854633
Sp,48.32533293413174
Sv,44.269434561367824
nB,0
nC,27
nF,0
nH,42
nI,0
nN,4
nO,4
nP,0
nS,0
nX,0
ABC,26.62318581246165
AMW,6.315852023688327
IC0,1.450432069069946
IC1,3.2589563188039627
IC2,4.743950424250989
IC3,5.399332157325147
IC4,5.529202287195275
IC5,5.529202287195275
MID,69.95498683056516
Mpe,0.9532467532467533
Mse,0.9950624757616747
NdO,3
NdS,0
NsF,0
NsI,0
NtN,0
SMR,135.52389999999994
SdO,39.57819877850283
SdS,0
Spe,73.4
SsF,0
SsI,0
Sse,76.61981063364895
StN,0
fMF,0.24675324675324675
nBr,0
nCl,0
AMID,1.9987139094447188
BIC0,0.2262979561586824
BIC1,0.5084658357207041
BIC2,0.7401561976042754
BIC3,0.8424095535946172
BIC4,0.8626720295715293
BIC5,0.8626720295715293
CIC0,4.816354471624955
CIC1,3.0078302218909383
CIC2,1.5228361164439121
CIC3,0.8674543833697541
CIC4,0.7375842534996258
CIC5,0.7375842534996258
GGI1,8.5
GGI2,5.333333333333336
GGI3,2.875
GGI4,2.4572222222222226
GGI5,1.601111111111111
GGI6,0.9870294784580498
GGI7,0.7561649659863945
GGI8,0.5369583018392542
GGI9,0.33094907407407415
JGI1,0.22972972972972971
JGI2,0.10062893081761011
JGI3,0.04713114754098361
JGI4,0.04164783427495293
JGI5,0.03139433551198257
JGI6,0.01898133612419326
JGI7,0.01512329931972789
JGI8,0.012203597769073959
JGI9,0.008709186159844055
MIC0,13.49925499785832
MIC1,29.722212207466256
MIC2,35.32411095830923
MIC3,37.66424897310424
MIC4,38.184534687389956
MIC5,38.184534687389956
MPC2,53
MPC3,69
MPC4,85
MPC5,101
MPC6,121
MPC7,132
MPC8,141
MPC9,158
Mare,0.9671688311688309
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,1
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.12134758568685654
RPCG,0.07537219932098929
SIC0,0.2314474985945688
SIC1,0.5200362733980387
SIC2,0.7569988850657341
SIC3,0.8615790760165951
SIC4,0.8823026364932102
SIC5,0.8823026364932102
SaaN,0
