DLiP-ID,P000C4
DLiP-Mol-ID,24941
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H22N2O2/c1-4-17-19(14(3)24)13(2)23-20(17)21(25)22-12-16-10-7-9-15-8-5-6-11-18(15)16/h5-11,23H,4,12H2,1-3H3,(H,22,25)"
Standard Inchi Key(RDKit),PDRFAPMZSRHWMA-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCc1c(C(=O)NCc2cccc3ccccc23)[nH]c(C)c1C(C)=O
SMILES(SDF),
MW(SDF),
MW(RDKit),334.419
MW Monoisotopic(RDKit),334.168127944
MolLogP(RDKit),4.17132
XLogP(SDF),
XLogP(CDK),4.318
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),61.96
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.687917512453389
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CREBBP/H4
Common Target Pref Name,CREBBP/H4
RDKit Descriptors
Ipc,555930.2215671905
qed,0.6879175124533888
Chi0,17.97432701575866
Chi1,12.024075805453155
TPSA,61.96
Chi0n,14.772162027628205
Chi0v,14.772162027628205
Chi1n,8.49738244847615
Chi1v,8.49738244847615
Chi2n,6.209242814398211
Chi2v,6.209242814398211
Chi3n,4.543062774003659
Chi3v,4.543062774003659
Chi4n,3.411207798354593
Chi4v,3.411207798354593
MolMR,100.03040000000006
MolWt,334.41900000000015
fr_SH,0
