DLiP-ID,P000E4
DLiP-Mol-ID,25422
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H26N2O5/c1-13(2)9-14(11-24-21(25)15-3-6-17(23)7-4-15)10-16-5-8-18-20(29-12-28-18)19(16)22(26)27/h3-8,13-14H,9-12,23H2,1-2H3,(H,24,25)(H,26,27)/t14-/m0/s1"
Standard Inchi Key(RDKit),RIYOWUZQAXSMBW-AWEZNQCLSA-N
Canonical SMILES(RDKit),CC(C)C[C@H](CNC(=O)c1ccc(N)cc1)Cc1ccc2c(c1C(=O)O)OCO2
SMILES(SDF),
MW(SDF),
MW(RDKit),398.459
MW Monoisotopic(RDKit),398.184171932
MolLogP(RDKit),3.3305
XLogP(SDF),
XLogP(CDK),3.883
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),110.88
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.588375133406496
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,INTEGRASE/LEDGF
Common Target Pref Name,INTEGRASE/LEDGF
RDKit Descriptors
Ipc,3364136.79061511
qed,0.5883751334064964
Chi0,20.965890847321376
Chi1,13.846244348298509
TPSA,110.88000000000001
Chi0n,16.604786304808236
Chi0v,16.604786304808236
Chi1n,9.632980071452273
Chi1v,9.632980071452273
Chi2n,7.670357598921311
Chi2v,7.670357598921311
Chi3n,4.876910014900956
Chi3v,4.876910014900956
Chi4n,3.60782901398638
Chi4v,3.60782901398638
MolMR,109.36090000000007
MolWt,398.4590000000002
fr_SH,0
Kappa1,20.512615256870166
Kappa2,8.855140269976577
Kappa3,4.986816048532225
fr_ArN,1
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,892.8207910179356
MolLogP,3.3305000000000016
NOCount,7
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.7502230511754726
SMR_VSA1,24.169327670584448
SMR_VSA2,0.0
SMR_VSA3,5.316788604006331
SMR_VSA4,11.835812092322787
SMR_VSA5,26.689117645233267
SMR_VSA6,19.071366189174586
SMR_VSA7,53.08855688586065
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,169.36620860791595
NHOHCount,4
PEOE_VSA1,25.63070938360932
PEOE_VSA2,4.794537184071822
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,19.913841467842857
PEOE_VSA7,60.57274217217985
PEOE_VSA8,17.795594172293132
PEOE_VSA9,0.0
RingCount,3
SMR_VSA10,17.563871291986917
fr_Al_COO,0
fr_Ar_COO,1
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,398.18417193199986
NumHDonors,3
PEOE_VSA10,5.563451491696996
PEOE_VSA11,11.49902366656781
PEOE_VSA12,6.792942306099827
PEOE_VSA13,5.907179729351506
PEOE_VSA14,5.969305287951849
SlogP_VSA1,20.524181988768614
SlogP_VSA2,30.320711124156464
SlogP_VSA3,6.4208216229260096
SlogP_VSA4,11.835812092322787
SlogP_VSA5,46.54772486554189
SlogP_VSA6,36.39820241076966
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,5.969305287951849
EState_VSA2,29.930991406593627
EState_VSA3,41.44728516636143
EState_VSA4,6.4208216229260096
EState_VSA5,0.0
EState_VSA6,36.39820241076966
EState_VSA7,0.0
EState_VSA8,19.16426300338758
EState_VSA9,15.207393384762284
SlogP_VSA10,5.687386274683562
SlogP_VSA11,11.49902366656781
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,71.50000000000003
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,14.69560176298435
EState_VSA11,0.0
FractionCSP3,0.36363636363636365
VSA_EState10,0.0
