DLiP-ID,P000ER
DLiP-Mol-ID,25580
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H9NO/c15-13-11-7-2-1-5-9(11)10-6-3-4-8-12(10)14-13/h1-8H,(H,14,15)"
Standard Inchi Key(RDKit),RZFVLEJOHSLEFR-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=c1[nH]c2ccccc2c2ccccc12
SMILES(SDF),
MW(SDF),
MW(RDKit),195.221
MW Monoisotopic(RDKit),195.068413908
MolLogP(RDKit),2.6813
XLogP(SDF),
XLogP(CDK),3.437
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),1
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),32.86
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),15
QED Weighted(RDKit),0.549464254506814
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD2-2/H4
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,4943.626537671159
qed,0.5494642545068136
Chi0,10.25071237662706
Chi1,7.360173345306136
TPSA,32.86
Chi0n,8.02705044398087
Chi0v,8.02705044398087
Chi1n,4.858824683611184
Chi1v,4.858824683611184
Chi2n,3.5452917091973517
Chi2v,3.5452917091973517
Chi3n,2.6371269752531106
Chi3v,2.6371269752531106
Chi4n,1.932616629817116
Chi4v,1.932616629817116
MolMR,62.07470000000002
MolWt,195.22099999999998
fr_SH,0
Kappa1,8.237481994583195
Kappa2,2.953088807142451
Kappa3,1.1486969344700964
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,697.2898406010066
MolLogP,2.681300000000001
NOCount,2
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.702246345245809
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,58.88474062681671
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,86.17590226395765
NHOHCount,1
PEOE_VSA1,4.9839785209472085
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,36.39820241076966
PEOE_VSA7,17.518958351388015
PEOE_VSA8,16.289149146545853
PEOE_VSA9,0.0
RingCount,3
SMR_VSA10,21.67537336101065
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,195.068413908
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.559266895052008
PEOE_VSA14,0.0
SlogP_VSA1,5.559266895052008
SlogP_VSA2,4.9839785209472085
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,0.0
SlogP_VSA6,53.3254737317647
SlogP_VSA7,0.0
SlogP_VSA8,21.67537336101065
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,5.559266895052008
EState_VSA3,0.0
EState_VSA4,21.67537336101065
EState_VSA5,0.0
EState_VSA6,0.0
EState_VSA7,48.53093654769288
EState_VSA8,4.9839785209472085
EState_VSA9,0.0
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,33.83333333333333
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,3
fr_priamide,0
fr_pyridine,1
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,4.794537184071822
EState_VSA11,0.0
FractionCSP3,0.0
VSA_EState10,0.0
fr_C_O_noCOO,0
fr_Nhpyrrole,1
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.0899999999999994
NumHAcceptors,1
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,15
HeavyAtomMolWt,186.14899999999994
MaxEStateIndex,11.737133408919124
MinEStateIndex,-0.023796296296296093
NumHeteroatoms,2
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,0.7333333333333333
FpDensityMorgan2,1.3333333333333333
FpDensityMorgan3,2.1333333333333333
MaxPartialCharge,0.2558085586910717
MinPartialCharge,-0.32139368750763886
NumAromaticRings,3
fr_unbrch_alkane,0
MaxAbsEStateIndex,11.737133408919124
MinAbsEStateIndex,0.023796296296296093
NumAliphaticRings,0
NumRotatableBonds,0
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.32139368750763886
MinAbsPartialCharge,0.2558085586910717
NumRadicalElectrons,0
NumValenceElectrons,72
fr_para_hydroxylation,1
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,195.068413908
MZ,0.7083333333333334
Mi,1.098705322386319
Mm,0.6772299003691061
Mp,0.7388507235528943
Mv,0.7046244911459395
SZ,17.0
Si,26.368927737271655
Sm,16.253517608858548
Sp,17.732417365269463
Sv,16.91098778750255
nB,0
nC,13
nF,0
nH,9
nI,0
nN,1
nO,1
nP,0
nS,0
nX,0
ABC,11.968444621832964
AMW,8.1278505795
IC0,1.3918357778538644
IC1,2.3868421881310113
IC2,3.0535088547976783
IC3,3.855388542207533
IC4,4.386842188131011
IC5,4.584962500721156
MID,31.348365830435668
Mpe,0.971078431372549
Mse,0.999544792425346
NdO,1
NdS,0
NsF,0
NsI,0
NtN,0
SMR,62.07470000000002
SdO,11.737133408919124
SdS,0
Spe,23.305882352941175
SsF,0
SsI,0
Sse,23.989075018208304
StN,0
fMF,0.5833333333333334
nBr,0
nCl,0
AMID,2.089891055362378
BIC0,0.27591733415764075
BIC1,0.47316726878481297
