DLiP-ID,P000KO
DLiP-Mol-ID,24259
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C10H10N2O/c1-7-9(10(11)13-12-7)8-5-3-2-4-6-8/h2-6H,11H2,1H3"
Standard Inchi Key(RDKit),ZCTBUBMRXYVEHX-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1noc(N)c1-c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),174.203
MW Monoisotopic(RDKit),174.07931294
MolLogP(RDKit),2.23222
XLogP(SDF),
XLogP(CDK),2.458
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),52.05
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),13
QED Weighted(RDKit),0.720789460247692
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4-1/H4
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,1496.7499174490085
qed,0.7207894602476923
Chi0,9.259148545064338
Chi1,6.287693700234704
TPSA,52.05
Chi0n,7.319563501101578
Chi0v,7.319563501101578
Chi1n,4.059663865934739
Chi1v,4.059663865934739
Chi2n,2.8732605563555937
Chi2v,2.8732605563555937
Chi3n,1.951589601695107
Chi3v,1.951589601695107
Chi4n,1.3431886614600048
Chi4v,1.3431886614600048
MolMR,51.08840000000002
MolWt,174.20300000000003
fr_SH,0
Kappa1,7.857386378147379
