DLiP-ID,P000L7
DLiP-Mol-ID,26645
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H25N3O4/c1-23-9-11-24(12-10-23)19-8-7-16(21(26)28-3)14-18(19)22-20(25)15-5-4-6-17(13-15)27-2/h4-8,13-14H,9-12H2,1-3H3,(H,22,25)"
Standard Inchi Key(RDKit),ZPLBXOVTSNRBFB-UHFFFAOYSA-N
Canonical SMILES(RDKit),COC(=O)c1ccc(N2CCN(C)CC2)c(NC(=O)c2cccc(OC)c2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),383.448
MW Monoisotopic(RDKit),383.18450628
MolLogP(RDKit),2.4859
XLogP(SDF),
XLogP(CDK),2.816
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),71.11
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.800226813301089
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,WDR5/MLL1
Common Target Pref Name,WDR5/MLL1
RDKit Descriptors
Ipc,2219203.408695385
qed,0.8002268133010889
Chi0,20.0956473593183
Chi1,13.511570350697117
TPSA,71.11
Chi0n,16.39729936192894
Chi0v,16.39729936192894
Chi1n,9.128125695931244
Chi1v,9.128125695931244
Chi2n,6.699913965028735
Chi2v,6.699913965028735
Chi3n,4.841742215521275
Chi3v,4.841742215521275
Chi4n,3.162882894290674
Chi4v,3.162882894290674
MolMR,108.43870000000003
MolWt,383.4480000000001
fr_SH,0
Kappa1,19.694708557993263
Kappa2,8.752181595722128
Kappa3,4.427612287327895
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,860.4792417934001
MolLogP,2.485900000000001
NOCount,7
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.9092568412484785
SMR_VSA1,19.06280027574374
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,57.662991023739366
SMR_VSA7,53.59147246262526
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,164.38680938471734
NHOHCount,1
PEOE_VSA1,24.590333973307384
PEOE_VSA2,4.794537184071822
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,6.06636706846161
PEOE_VSA7,43.44587439344685
PEOE_VSA8,31.742477115347295
PEOE_VSA9,31.157819123619184
RingCount,3
SMR_VSA10,23.25125756667048
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,383.18450628
NumHDonors,1
PEOE_VSA10,5.749511833283905
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,5.969305287951849
