DLiP-ID,T0003D
DLiP-Mol-ID,15403
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H28N4O2/c20-18(21)15-1-3-16(4-2-15)23-13-8-19(9-14-23)6-11-22(12-7-19)10-5-17(24)25/h1-4H,5-14H2,(H3,20,21)(H,24,25)"
Standard Inchi Key(RDKit),AGKRCMBLMYQQBU-UHFFFAOYSA-N
Canonical SMILES(RDKit),N=C(N)c1ccc(N2CCC3(CCN(CCC(=O)O)CC3)CC2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),344.459
MW Monoisotopic(RDKit),344.221226136
MolLogP(RDKit),2.12777
XLogP(SDF),
XLogP(CDK),2.57
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),93.65
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.5618718574348
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,470579.7498161543
qed,0.5618718574347998
Chi0,17.86359655174942
Chi1,11.972764210436896
TPSA,93.65000000000002
Chi0n,14.707708234777346
Chi0v,14.707708234777346
Chi1n,9.11028586342318
Chi1v,9.11028586342318
Chi2n,7.432976647926789
Chi2v,7.432976647926789
Chi3n,5.926177988170126
Chi3v,5.926177988170126
