DLiP-ID,T0009R
DLiP-Mol-ID,15666
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C29H40N2O4/c1-6-18-17-31-10-8-20-14-27(33-3)29(35-5)16-23(20)25(31)12-21(18)11-24-22-15-28(34-4)26(32-2)13-19(22)7-9-30-24/h13-16,18,21,24-25,30H,6-12,17H2,1-5H3/t18-,21-,24+,25-/m0/s1"
Standard Inchi Key(RDKit),AUVVAXYIELKVAI-CKBKHPSWSA-N
Canonical SMILES(RDKit),CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21
SMILES(SDF),
MW(SDF),
MW(RDKit),480.649
MW Monoisotopic(RDKit),480.29880776
MolLogP(RDKit),4.9434
XLogP(SDF),
XLogP(CDK),4.349
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),52.19
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.605683813241055
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,HIF-1a/p300
Common Target Pref Name,HIF-1a/p300
RDKit Descriptors
Ipc,115094405.72543794
qed,0.6056838132410555
Chi0,24.526368779636442
Chi1,17.091911253268254
TPSA,52.19000000000001
Chi0n,21.8558631603648
Chi0v,21.8558631603648
Chi1n,13.06616067418984
Chi1v,13.06616067418984
Chi2n,10.229266402702253
Chi2v,10.229266402702253
Chi3n,8.64391899369592
Chi3v,8.64391899369592
Chi4n,6.7370513009671775
Chi4v,6.7370513009671775
MolMR,138.06269999999995
MolWt,480.64900000000034
fr_SH,0
Kappa1,24.26308452518327
Kappa2,10.274544031778312
Kappa3,4.468305973925776
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1053.4626672680454
MolLogP,4.943400000000005
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.4288276402620035
SMR_VSA1,18.947451815200196
SMR_VSA2,0.0
SMR_VSA3,10.216698334856808
SMR_VSA4,11.835812092322787
SMR_VSA5,51.1115269726166
SMR_VSA6,48.07345938284786
SMR_VSA7,46.519274240634424
SMR_VSA8,0.0
SMR_VSA9,22.99804733313562
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,4
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,209.43889658155464
NHOHCount,1
PEOE_VSA1,24.264240419206526
PEOE_VSA2,4.899909730850478
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,13.344558822616634
PEOE_VSA7,90.58312923057383
PEOE_VSA8,25.17319447012107
PEOE_VSA9,28.439190165110134
RingCount,5
SMR_VSA10,0.0
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,480.29880776
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,22.99804733313562
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,24.264240419206526
SlogP_VSA2,52.97336911369834
SlogP_VSA3,12.841643245852019
SlogP_VSA4,11.835812092322787
SlogP_VSA5,60.523689693552555
SlogP_VSA6,24.26546827384644
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,4
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,0.0
EState_VSA3,23.91949375061871
EState_VSA4,55.3500250137388
EState_VSA5,41.64020561855258
EState_VSA6,28.439190165110134
EState_VSA7,0.0
EState_VSA8,41.40590380839387
EState_VSA9,18.947451815200196
SlogP_VSA10,0.0
SlogP_VSA11,22.99804733313562
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,67.16666666666667
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,4
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,0.0
EState_VSA11,0.0
FractionCSP3,0.5862068965517241
VSA_EState10,0.0
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,1
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.44
NumHAcceptors,6
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,35
HeavyAtomMolWt,440.3290000000003
MaxEStateIndex,5.676825010316136
MinEStateIndex,0.34501906497983326
NumHeteroatoms,6
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,0.8
FpDensityMorgan2,1.4
FpDensityMorgan3,2.0285714285714285
MaxPartialCharge,0.16056747415769082
MinPartialCharge,-0.4928592208645374
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,5.676825010316136
MinAbsEStateIndex,0.34501906497983326
NumAliphaticRings,3
NumRotatableBonds,7
NumSaturatedRings,1
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.4928592208645374
MinAbsPartialCharge,0.16056747415769082
NumRadicalElectrons,0
NumValenceElectrons,190
fr_para_hydroxylation,0
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,3
NumSaturatedHeterocycles,1
Mordred Descriptors
MW,480.2988077600011
MZ,0.5777777777777778
Mi,1.1296641830146625
Mm,0.5335653428801376
Mp,0.6427921756487026
Mv,0.5894890616731123
SZ,43.333333333333336
Si,84.72481372609968
Sm,40.017400716010314
Sp,48.20941317365269
Sv,44.21167962548343
nB,0
nC,29
nF,0
nH,40
nI,0
nN,2
nO,4
nP,0
nS,0
nX,0
ABC,27.253643550116305
AMW,6.403984103466682
IC0,1.3787043884399597
IC1,2.988356282530537
IC2,4.378232190236265
IC3,4.765159523684984
IC4,5.03182619035165
IC5,5.165159523684983
MID,72.5441928136226
Mpe,0.9505359477124183
Mse,0.9920757465404224
NdO,0
NdS,0
NsF,0
NsI,0
NtN,0
SMR,138.06269999999995
SdO,0
SdS,0
Spe,71.29019607843138
SsF,0
SsI,0
Sse,74.40568099053168
StN,0
fMF,0.3333333333333333
nBr,0
nCl,0
AMID,2.07269122324636
BIC0,0.21510692703521792
BIC1,0.4662465298662716
BIC2,0.6830964492352509
BIC3,0.7434652638861297
BIC4,0.7850708812253895
BIC5,0.8058736898950196
CIC0,4.850114302055921
CIC1,3.2404624079653432
CIC2,1.8505865002596158
CIC3,1.4636591668108965
CIC4,1.1969925001442308
CIC5,1.063659166810897
GGI1,7.0
GGI2,4.444444444444446
GGI3,2.3125
GGI4,3.231111111111112
GGI5,1.4305555555555558
GGI6,1.009795918367347
GGI7,0.7552083333333333
GGI8,0.5170068027210883
GGI9,0.38062500000000005
JGI1,0.17948717948717952
JGI2,0.07936507936507939
JGI3,0.035037878787878785
JGI4,0.05211469534050181
JGI5,0.024664750957854406
JGI6,0.018359925788497218
JGI7,0.014808006535947715
JGI8,0.01100014473874656
JGI9,0.008650568181818183
MIC0,12.41549668987274
MIC1,28.082912831378202
MIC2,31.759295137980367
MIC3,33.61638455676334
MIC4,35.058837890096676
MIC5,36.57958455676334
MPC2,56
MPC3,81
MPC4,111
MPC5,155
MPC6,184
MPC7,221
MPC8,265
MPC9,320
Mare,0.9634133333333331
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,4
NssS,0
NtCH,0
NtsC,0
RNCG,0.16354306588121567
RPCG,0.05328032000393297
SIC0,0.22134283512596514
SIC1,0.4797629263298772
SIC2,0.7028992827992736
SIC3,0.7650181776772228
SIC4,0.8078299337929618
SIC5,0.8292358118508313
SaaN,0
SaaO,0
SaaS,0
Sare,72.25599999999999
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,22.50539135875391
SssS,0
StCH,0
StsC,0
TIC0,103.40282913299697
TIC1,224.1267211897903
TIC2,328.3674142677198
TIC3,357.3869642763738
TIC4,377.3869642763737
TIC5,387.38696427637376
Vabc,467.89341101584586
WPol,66
apol,80.50971999999997
bpol,49.35228000000005
nRot,7
ABCGG,20.01715568779899
ATS0Z,1438.0
ATS0d,230.0
ATS0i,12238.027676409964
ATS0m,5640.566171000001
ATS0p,103.65543219396
ATS0s,182.58333333333334
ATS0v,14877.531382268568
ATS1Z,1771.0
ATS1d,301.0
ATS1i,11511.112008019407
ATS1m,6615.664931000003
ATS1p,136.57282039000003
ATS1s,205.41666666666666
ATS1v,19600.021581100253
ATS2Z,2623.0
ATS2d,522.0
ATS2i,23130.37470871404
ATS2m,9552.900548000001
ATS2p,214.99338223352697
ATS2s,340.69444444444446
ATS2v,30050.01494703088
ATS3Z,3223.0
ATS3d,647.0
ATS3i,30498.00197084896
ATS3m,11583.341518
ATS3p,281.58683706946994
ATS3s,435.97222222222206
ATS3v,37994.10309431784
ATS4Z,3325.0
ATS4d,688.0
ATS4i,38042.010879206486
ATS4m,11487.875022000006
ATS4p,318.54521945280896
ATS4s,499.111111111111
ATS4v,41143.32878554982
ATS5Z,3255.0
ATS5d,717.0
ATS5i,45763.47261840869
ATS5m,10982.304209999998
ATS5p,323.0045705010712
ATS5s,548.6666666666669
ATS5v,40820.231068412955
ATS6Z,3112.0
ATS6d,667.0
ATS6i,42387.893120617926
ATS6m,10483.130383000007
ATS6p,311.378922535185
ATS6s,517.7777777777777
ATS6v,39252.11323963932
ATS7Z,2931.0
ATS7d,646.0
ATS7i,44377.86407318431
ATS7m,9746.339918999995
ATS7p,306.17036069076886
ATS7s,510.11111111111126
ATS7v,37926.341004326925
ATS8Z,2708.0
ATS8d,604.0
ATS8i,43057.20673644322
ATS8m,9024.530650999995
ATS8p,281.1804328264099
ATS8s,486.3611111111112
ATS8v,34682.307551462574
C1SP1,0
C1SP2,0
C1SP3,4
C2SP1,0
C2SP2,8
C2SP3,7
C3SP2,4
C3SP3,2
C4SP3,0
FCSP3,0.5862068965517241
GGI10,0.2723191511070299
JGI10,0.007166293450184998
JGT10,0.43065452263368853
Kier1,26.600920447074294
Kier2,11.806760204081632
Kier3,5.30650815424478
MID_C,60.568831545646155
MID_N,4.352739899820142
MID_O,7.62262136815632
MID_X,0.0
MID_h,11.975361267976464
MPC10,344
MWC01,39.0
MWC02,5.25227342804663
MWC03,6.142037405587356
MWC04,7.048386408721883
MWC05,7.9561263512135
MWC06,8.868835492826895
MWC07,9.781602364546004
MWC08,10.696774142468731
MWC09,11.61163893790626
MWC10,12.528065560886553
NaaCH,4
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,8
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,0
NdssS,0
NsCH3,5
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,4.943400000000005
SRW02,4.3694478524670215
SRW03,0.0
SRW04,5.713732805509369
SRW05,0.0
SRW06,7.2813856635702825
SRW07,0.0
SRW08,8.952475967933584
SRW09,0.0
SRW10,10.676577435769277
SaaCH,8.817199059822755
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,8.932171759484172
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0
SdssS,0
SsCH3,9.259541055870994
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,3.8340264410146263
SssPH,0
SssSe,0
SsssB,0
SsssN,2.7173152661865685
SsssP,0
VE1_A,4.991274997093447
VE1_D,5.82667652112479
VE2_A,0.14260785705981277
VE2_D,0.16647647203213686
VE3_A,2.8604543560611306
VE3_D,3.015209741321774
VR1_A,381.8754238273456
VR1_D,248.76270768803187
VR2_A,10.910726395067018
VR2_D,7.107505933943767
VR3_A,7.197857408279455
VR3_D,6.769262429412258
WPath,3690
Xc-3d,2.07491495713053
Xc-4d,0.0
Xc-5d,0.5777210825314643
Xc-6d,0.0
Xp-0d,24.526368779636442
Xp-1d,17.091911253268254
Xp-2d,14.791771589481629
Xp-3d,13.79864423829577
Xp-4d,11.848320307894907
Xp-5d,10.359755729550038
Xp-6d,7.9349822686480085
Xp-7d,6.106131738002211
ZMIC0,120.7462357269263
ZMIC1,61.18085433857976
ZMIC2,47.37285399329673
ZMIC3,41.570567428876075
ZMIC4,37.117679505041345
ZMIC5,32.89643040977962
nAcid,0
nAtom,75
nBase,2
nRing,5
piPC1,3.828641396489095
piPC2,4.382026634673881
piPC3,4.959341999708705
piPC4,5.483759050678235
piPC5,6.023750210605951
piPC6,6.270042805310292
piPC7,6.502415163062124
piPC8,6.698961401857067
piPC9,6.963337798975616
AATS0Z,19.173333333333332
AATS0d,3.066666666666667
AATS0i,163.17370235213284
AATS0m,75.20754894666669
AATS0p,1.3820724292528
AATS0s,2.4344444444444444
AATS0v,198.36708509691422
AATS1Z,22.417721518987342
AATS1d,3.810126582278481
AATS1i,145.71027858252413
AATS1m,83.74259406329118
AATS1p,1.7287698783544307
AATS1s,2.600210970464135
AATS1v,248.10153900126903
AATS2Z,17.722972972972972
AATS2d,3.527027027027027
AATS2i,156.2863155994192
AATS2m,64.54662532432434
AATS2p,1.4526579880643715
AATS2s,2.3019894894894897
AATS2v,203.0406415339924
AATS3Z,16.360406091370557
AATS3d,3.284263959390863
AATS3i,154.8121927454262
AATS3m,58.79868790862944
AATS3p,1.4293748074592383
AATS3s,2.213056965595036
AATS3v,192.8634674838469
AATS4Z,13.62704918032787
AATS4d,2.819672131147541
AATS4i,155.90988065248558
AATS4m,47.08145500819674
AATS4p,1.3055131944787253
AATS4s,2.0455373406193074
AATS4v,168.62019994077795
AATS5Z,11.542553191489361
AATS5d,2.5425531914893615
AATS5i,162.2818177957755
AATS5m,38.94434117021276
AATS5p,1.145406278372593
AATS5s,1.9456264775413719
