DLiP-ID,T000IW
DLiP-Mol-ID,16071
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H24N4O7/c20-6-5-12-1-3-13(4-2-12)18(29)21-10-15(24)23-8-7-22(11-17(27)28)19(30)14(23)9-16(25)26/h1-4,14H,5-11,20H2,(H,21,29)(H,25,26)(H,27,28)/t14-/m0/s1"
Standard Inchi Key(RDKit),BLYNAXCUGJLQAA-AWEZNQCLSA-N
Canonical SMILES(RDKit),NCCc1ccc(C(=O)NCC(=O)N2CCN(CC(=O)O)C(=O)[C@@H]2CC(=O)O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),420.422
MW Monoisotopic(RDKit),420.164499108
MolLogP(RDKit),-1.48369999999999
XLogP(SDF),
XLogP(CDK),-4.016
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),11
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),170.34
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.374459753959046
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,2966871.061175127
qed,0.3744597539590458
Chi0,22.25878406613483
Chi1,14.222453108210818
TPSA,170.33999999999997
Chi0n,16.24394491776274
Chi0v,16.24394491776274
Chi1n,9.316235978492077
Chi1v,9.316235978492077
Chi2n,6.772600870302367
Chi2v,6.772600870302367
Chi3n,4.6475207416173525
Chi3v,4.6475207416173525
Chi4n,3.169159097793269
Chi4v,3.169159097793269
MolMR,103.50320000000005
MolWt,420.42200000000014
fr_SH,0
Kappa1,22.815314346506252
Kappa2,10.34779683137283
Kappa3,6.011817301741592
fr_ArN,0
fr_COO,2
fr_C_O,5
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,824.6767561646565
MolLogP,-1.483699999999995
NOCount,11
fr_Ar_N,0
fr_COO2,2
fr_urea,0
BalabanJ,2.008782101584427
SMR_VSA1,34.18574071004052
SMR_VSA2,0.0
SMR_VSA3,15.116608065707286
SMR_VSA4,5.733667477162185
SMR_VSA5,18.88348407499998
SMR_VSA6,32.72378202956288
SMR_VSA7,35.392371257240434
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,171.975317678762
NHOHCount,5
PEOE_VSA1,31.063330332550883
PEOE_VSA2,23.97268592035911
