DLiP-ID,T000OW
DLiP-Mol-ID,16320
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H20N4O3S/c1-14-12-17(13-15(2)20(14)25)23-22-16-7-9-18(10-8-16)28(26,27)24(3)19-6-4-5-11-21-19/h4-13,25H,1-3H3"
Standard Inchi Key(RDKit),BZNOQPWEFIWTQI-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cc(N=Nc2ccc(S(=O)(=O)N(C)c3ccccn3)cc2)cc(C)c1O
SMILES(SDF),
MW(SDF),
MW(RDKit),396.472
MW Monoisotopic(RDKit),396.1256115
MolLogP(RDKit),4.64454
XLogP(SDF),
XLogP(CDK),4.918
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),95.22
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.635362860415396
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4/NUT
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,1768023.3604789905
qed,0.6353628604153962
Chi0,20.311190308942127
Chi1,13.285730831514488
TPSA,95.22000000000001
Chi0n,15.734315540787641
Chi0v,16.550812121715364
Chi1n,8.508221016417316
Chi1v,9.948284345217957
Chi2n,6.2825448382636
Chi2v,8.251804596216115
Chi3n,4.223789099405544
Chi3v,5.9998071042033505
Chi4n,2.6122776823579894
Chi4v,3.7627874919640742
MolMR,108.02460000000004
MolWt,396.4720000000001
fr_SH,0
Kappa1,19.500166460707252
Kappa2,7.773308604570879
Kappa3,4.014733215301927
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,4
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,1
BertzCT,1088.9426757768235
MolLogP,4.644540000000004
NOCount,7
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.8147948681138963
SMR_VSA1,13.524324379169643
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,10.228500251258795
SMR_VSA5,18.742957874899023
SMR_VSA6,11.352887973973424
SMR_VSA7,71.92105017116157
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,163.6216870150649
NHOHCount,1
PEOE_VSA1,5.106527394840706
PEOE_VSA2,4.305215991296234
PEOE_VSA3,13.401775505276145
PEOE_VSA4,10.228500251258795
PEOE_VSA5,0.0
PEOE_VSA6,6.06636706846161
PEOE_VSA7,73.50531393046812
PEOE_VSA8,13.244515554290267
PEOE_VSA9,16.2702560248849
RingCount,3
SMR_VSA10,27.215926480609735
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,1
ExactMolWt,396.1256115
NumHDonors,1
PEOE_VSA10,11.567374611118932
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,10.023291153407584
PEOE_VSA14,0.0
SlogP_VSA1,4.305215991296234
SlogP_VSA2,25.55597488279404
SlogP_VSA3,10.023291153407584
SlogP_VSA4,13.847474399381248
SlogP_VSA5,11.126902983393991
SlogP_VSA6,75.91813091454414
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,10.023291153407584
EState_VSA2,10.644995308801679
EState_VSA3,28.319538310596144
EState_VSA4,4.305215991296234
