DLiP-ID,T000S9
DLiP-Mol-ID,16470
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H12N4O2/c1-2-18-11(17)8-9-16-14-12(13-15-16)10-6-4-3-5-7-10/h3-9H,2H2,1H3/b9-8+"
Standard Inchi Key(RDKit),CFTIEVZHOMMXRG-CMDGGOBGSA-N
Canonical SMILES(RDKit),CCOC(=O)/C=C/n1nnc(-c2ccccc2)n1
SMILES(SDF),
MW(SDF),
MW(RDKit),244.254
MW Monoisotopic(RDKit),244.096025624
MolLogP(RDKit),1.3739
XLogP(SDF),
XLogP(CDK),2.847
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),69.9
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.599819771990978
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CRM1/Rev
Common Target Pref Name,CRM1/Rev
RDKit Descriptors
Ipc,19990.760781877394
qed,0.5998197719909778
Chi0,12.794682450997078
Chi1,8.792024997884274
TPSA,69.9
Chi0n,9.853909628441489
Chi0v,9.853909628441489
Chi1n,5.492134761943449
Chi1v,5.492134761943449
Chi2n,3.3672439081979735
Chi2v,3.3672439081979735
Chi3n,2.090796362965079
Chi3v,2.090796362965079
Chi4n,1.3089664783591914
Chi4v,1.3089664783591914
MolMR,65.21600000000002
MolWt,244.25400000000002
fr_SH,0
Kappa1,11.970156106519743
Kappa2,5.716873985938345
Kappa3,3.0037379850480597
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,4
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,548.2148705587362
MolLogP,1.3739000000000001
NOCount,6
fr_Ar_N,4
fr_COO2,0
fr_urea,0
BalabanJ,2.094149014670213
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,20.20725493475596
SMR_VSA4,0.0
SMR_VSA5,6.923737199690624
SMR_VSA6,6.606881964512918
