DLiP-ID,T000UO
DLiP-Mol-ID,16581
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H16BrNO3/c21-17-8-4-3-7-16(17)19(23)22-18(20(24)25)12-13-9-10-14-5-1-2-6-15(14)11-13/h1-11,18H,12H2,(H,22,23)(H,24,25)/t18-/m0/s1"
Standard Inchi Key(RDKit),CKTMVJJCJZZQTH-SFHVURJKSA-N
Canonical SMILES(RDKit),O=C(N[C@@H](Cc1ccc2ccccc2c1)C(=O)O)c1ccccc1Br
SMILES(SDF),
MW(SDF),
MW(RDKit),398.256
MW Monoisotopic(RDKit),397.031355472
MolLogP(RDKit),4.028
XLogP(SDF),
XLogP(CDK),4.844
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),66.4
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.682264538523431
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,500102.6452641984
qed,0.6822645385234307
Chi0,17.81119030894213
Chi1,12.041713895658196
TPSA,66.4
Chi0n,13.276984660898972
Chi0v,14.862981200013676
Chi1n,7.802723685057056
Chi1v,8.595721954614408
Chi2n,5.729758634644325
Chi2v,6.584095533818846
Chi3n,3.9756068379213376
Chi3v,4.667108044027716
Chi4n,2.682885746802368
Chi4v,3.1477245438604426
MolMR,100.68400000000004
MolWt,398.25600000000003
fr_SH,0
Kappa1,17.172394272052525
Kappa2,7.486791362133231
Kappa3,4.059905987460247
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,938.8824008093732
MolLogP,4.028000000000003
NOCount,4
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.7972608192101716
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,5.316788604006331
SMR_VSA4,0.0
SMR_VSA5,12.462662452073971
SMR_VSA6,0.0
SMR_VSA7,82.32966025230412
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,153.1646180564156
NHOHCount,2
PEOE_VSA1,10.423315998847038
PEOE_VSA2,4.794537184071822
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,54.59730361615449
PEOE_VSA7,44.39857795549916
PEOE_VSA8,10.893541138758422
PEOE_VSA9,5.563451491696996
RingCount,3
SMR_VSA10,38.578877344182295
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,397.031355472
NumHDonors,2
PEOE_VSA10,6.041840829147961
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,5.969305287951849
SlogP_VSA1,5.316788604006331
SlogP_VSA2,23.02485324129202
