DLiP-ID,T000W3
DLiP-Mol-ID,16636
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H22ClNO3/c1-10-5-14(6-11(2)16(10)17)20-9-15(19)18-7-12(3)21-13(4)8-18/h5-6,12-13H,7-9H2,1-4H3"
Standard Inchi Key(RDKit),COHLZOQRXJFCBF-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cc(OCC(=O)N2CC(C)OC(C)C2)cc(C)c1Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),311.809
MW Monoisotopic(RDKit),311.128821244
MolLogP(RDKit),2.97144
XLogP(SDF),
XLogP(CDK),2.845
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),38.77
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.861196154884032
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,40077.02250653047
qed,0.861196154884032
Chi0,15.568549621822843
Chi1,9.863081100704115
TPSA,38.769999999999996
Chi0n,12.980644360218921
Chi0v,13.736573306237377
Chi1n,7.19282356041748
Chi1v,7.570788033426708
Chi2n,5.7157655137411885
Chi2v,6.093729986750415
Chi3n,3.544584490609357
Chi3v,4.1407668538545765
Chi4n,2.607391360576024
Chi4v,2.7165003056940202
MolMR,83.01000000000005
MolWt,311.80899999999997
fr_SH,0
Kappa1,16.116428928116772
Kappa2,6.667989221990722
Kappa3,4.111226438285085
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,499.2485282988568
MolLogP,2.971440000000001
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.947581666673654
SMR_VSA1,14.268263091671919
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,39.9028815742591
SMR_VSA6,19.696394776338067
SMR_VSA7,28.28227043405854
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,130.5267055660764
NHOHCount,0
PEOE_VSA1,14.373635638450576
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,11.600939890232516
PEOE_VSA7,50.954585919079705
PEOE_VSA8,18.112146125566476
PEOE_VSA9,12.207932775496605
RingCount,2
SMR_VSA10,17.508119619584022
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,311.128821244
NumHDonors,0
PEOE_VSA10,5.749511833283905
PEOE_VSA11,6.606881964512918
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,4.736862953800049
SlogP_VSA2,42.711417012036655
SlogP_VSA3,9.53140013787187
SlogP_VSA4,13.847474399381248
