DLiP-ID,T0010K
DLiP-Mol-ID,16826
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H19N5O4/c22-18(27)14-9-15(19(23)28)11-16(10-14)25-21(29)26-20-17(7-4-8-24-20)30-12-13-5-2-1-3-6-13/h1-11H,12H2,(H2,22,27)(H2,23,28)(H2,24,25,26,29)"
Standard Inchi Key(RDKit),CXHFJXDBNWSCJH-UHFFFAOYSA-N
Canonical SMILES(RDKit),NC(=O)c1cc(NC(=O)Nc2ncccc2OCc2ccccc2)cc(C(N)=O)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),405.414
MW Monoisotopic(RDKit),405.143704088
MolLogP(RDKit),2.5024
XLogP(SDF),
XLogP(CDK),1.357
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),6
PSA(SDF),
PSA(RDKit),149.43
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.476266885772591
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Cyclophilins
Common Target Pref Name,Cyclophilins
RDKit Descriptors
Ipc,5123531.085298518
qed,0.47626688577259074
Chi0,21.509860921691395
Chi1,14.41872399336994
TPSA,149.43
Chi0n,15.792867038007097
Chi0v,15.792867038007097
Chi1n,8.865957274155894
Chi1v,8.865957274155894
Chi2n,6.231082453010371
Chi2v,6.231082453010371
Chi3n,3.9997060538472806
Chi3v,3.9997060538472806
Chi4n,2.590379075752393
Chi4v,2.590379075752393
MolMR,111.1302
MolWt,405.4140000000001
fr_SH,0
Kappa1,20.337240075614368
Kappa2,9.195693844130044
Kappa3,5.3200409575594945
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,2
fr_N_O,0
fr_azo,0
BertzCT,1053.5146500377869
MolLogP,2.5023999999999997
NOCount,9
fr_Ar_N,1
fr_COO2,0
fr_urea,1
BalabanJ,1.723173061988989
SMR_VSA1,19.120474506015515
SMR_VSA2,0.0
