DLiP-ID,T001EG
DLiP-Mol-ID,17050
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C28H28N4O3/c1-2-35-25-15-9-8-14-24(25)32-26(29-23-13-7-6-12-22(23)28(32)34)20-30-16-18-31(19-17-30)27(33)21-10-4-3-5-11-21/h3-15H,2,16-20H2,1H3"
Standard Inchi Key(RDKit),DYNRGNABGLATMU-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOc1ccccc1-n1c(CN2CCN(C(=O)c3ccccc3)CC2)nc2ccccc2c1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),468.557
MW Monoisotopic(RDKit),468.216140756
MolLogP(RDKit),3.7424
XLogP(SDF),
XLogP(CDK),4.49
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),67.67
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.431312798566718
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,HIF-1a/p300
Common Target Pref Name,HIF-1a/p300
RDKit Descriptors
Ipc,135840715.45676497
qed,0.4313127985667179
Chi0,24.200095366003378
Chi1,17.15219834319041
TPSA,67.67
Chi0n,19.76179343997585
Chi0v,19.76179343997585
Chi1n,11.949871499556702
Chi1v,11.949871499556702
Chi2n,8.520854379419571
Chi2v,8.520854379419571
Chi3n,6.29644186535504
Chi3v,6.29644186535504
Chi4n,4.525025646585314
Chi4v,4.525025646585314
MolMR,136.13149999999993
MolWt,468.5570000000002
fr_SH,0
Kappa1,22.804059492581253
Kappa2,10.110867010475307
Kappa3,4.676467261980446
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,4
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1392.499258350891
MolLogP,3.7424000000000026
NOCount,7
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.4447908805523544
