DLiP-ID,T001FP
DLiP-Mol-ID,17117
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H27NO5S/c1-27-19-14-12-18(13-15-19)8-7-17-28-22(24)21-11-5-6-16-23(21)29(25,26)20-9-3-2-4-10-20/h2-4,9-10,12-15,21H,5-8,11,16-17H2,1H3"
Standard Inchi Key(RDKit),FBQIHFFQQYYTJB-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(CCCOC(=O)C2CCCCN2S(=O)(=O)c2ccccc2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),417.527
MW Monoisotopic(RDKit),417.160993964
MolLogP(RDKit),3.4144
XLogP(SDF),
XLogP(CDK),3.921
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),72.91
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.48611805658916
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,3840005.599242734
qed,0.48611805658915985
Chi0,20.692023676495605
Chi1,14.01920518133496
TPSA,72.91
Chi0n,16.61995349848523
