DLiP-ID,T001FQ
DLiP-Mol-ID,17119
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H24N4O4/c20-19(21)13-6-4-12(5-7-13)16-10-15(27-22-16)11-17(24)23-8-2-1-3-14(23)9-18(25)26/h4-7,14-15H,1-3,8-11H2,(H3,20,21)(H,25,26)"
Standard Inchi Key(RDKit),FCGAIJHNBXQCGH-UHFFFAOYSA-N
Canonical SMILES(RDKit),N=C(N)c1ccc(C2=NOC(CC(=O)N3CCCCC3CC(=O)O)C2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),372.425
MW Monoisotopic(RDKit),372.179755248
MolLogP(RDKit),1.70957
XLogP(SDF),
XLogP(CDK),1.917
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),129.07
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.516996241912364
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,1451923.1933502555
qed,0.516996241912364
Chi0,19.388540578131753
Chi1,12.935560745775549
TPSA,129.07
Chi0n,15.057585010524681
Chi0v,15.057585010524681
Chi1n,9.125467458984376
Chi1v,9.125467458984376
Chi2n,6.999273452804924
Chi2v,6.999273452804924
Chi3n,5.02213595768141
Chi3v,5.02213595768141
Chi4n,3.6052071805739607
Chi4v,3.6052071805739607
MolMR,99.70690000000003
MolWt,372.4250000000001
fr_SH,0
Kappa1,18.878174131325142
Kappa2,8.19688246961298
Kappa3,4.635910855071876
fr_ArN,1
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,759.4780849079734
MolLogP,1.7095699999999998
NOCount,8
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.5681607450728767
SMR_VSA1,19.533190346720986
SMR_VSA2,5.409283605791522
SMR_VSA3,4.899909730850478
SMR_VSA4,10.889380203912726
SMR_VSA5,50.67073695445232
SMR_VSA6,6.544756405912575
SMR_VSA7,35.392371257240434
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,1
fr_quatN,0
LabuteASA,157.02924783320384
NHOHCount,4
PEOE_VSA1,20.577693186590004
PEOE_VSA2,14.998357973935164
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,29.42118100059698
PEOE_VSA7,24.825916360475023
PEOE_VSA8,24.570870349683542
PEOE_VSA9,18.55332824862272
RingCount,3
SMR_VSA10,23.423789805831326
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,372.17975524799994
NumHDonors,3
PEOE_VSA10,11.939586173505571
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,5.733667477162185
SlogP_VSA2,52.12079055433134
SlogP_VSA3,14.426662951880278
SlogP_VSA4,5.409283605791522
SlogP_VSA5,49.651832720950054
SlogP_VSA6,29.42118100059698
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,1
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,5.969305287951849
EState_VSA2,36.730249977857056
EState_VSA3,18.52902952053558
EState_VSA4,30.537601363245727
EState_VSA5,0.0
EState_VSA6,17.032643867773697
EState_VSA7,12.13273413692322
EState_VSA8,5.15571272675054
EState_VSA9,21.087067061531044
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,68.66666666666667
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,9.589074368143644
EState_VSA11,0.0
FractionCSP3,0.47368421052631576
VSA_EState10,0.0
fr_C_O_noCOO,1
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,1
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.9
NumHAcceptors,5
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,27
HeavyAtomMolWt,348.2330000000001
MaxEStateIndex,12.673359699864028
MinEStateIndex,-0.878292826134637
NumHeteroatoms,8
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.2592592592592593
FpDensityMorgan2,2.0
FpDensityMorgan3,2.6666666666666665
MaxPartialCharge,0.3049356052852099
MinPartialCharge,-0.48117353316464573
NumAromaticRings,1
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.673359699864028
MinAbsEStateIndex,0.006556071972565247
NumAliphaticRings,2
NumRotatableBonds,6
NumSaturatedRings,1
fr_Ndealkylation1,0
fr_Ndealkylation2,1
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.48117353316464573
MinAbsPartialCharge,0.3049356052852099
NumRadicalElectrons,0
NumValenceElectrons,144
fr_para_hydroxylation,0
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,2
NumSaturatedHeterocycles,1
Mordred Descriptors
MW,372.1797552480006
MZ,0.6470588235294116
Mi,1.1369406485008149
Mm,0.6079802664550958
Mp,0.6497714218621581
Mv,0.6155487122999006
SZ,32.99999999999999
Si,57.983973073541556
Sm,31.006993589209888
Sp,33.13834251497006
Sv,31.392984327294933
nB,0
nC,19
nF,0
nH,24
nI,0
nN,4
nO,4
nP,0
nS,0
nX,0
ABC,20.891285195036247
AMW,7.297642259764718
IC0,1.6185092091727529
IC1,3.7996846556121446
IC2,4.750473381017498
IC3,5.280268479226397
IC4,5.358699851775417
IC5,5.358699851775417
MID,54.54799286277421
Mpe,0.9778546712802769
Mse,1.0123388029647402
NdO,2
NdS,0
NsF,0
NsI,0
NtN,0
SMR,99.70690000000003
SdO,23.717400547940684
SdS,0
Spe,49.87058823529412
SsF,0
SsI,0
Sse,51.629278951201755
StN,0
fMF,0.37254901960784315
nBr,0
nCl,0
AMID,2.0202960319546004
BIC0,0.27400358665454794
