DLiP-ID,T001G8
DLiP-Mol-ID,17141
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H13NO2/c1-17-14-8-7-10-11-5-3-4-6-13(11)16-9-12(10)15(14)18-2/h3-9H,1-2H3"
Standard Inchi Key(RDKit),FDKOFTWFAPBJNI-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc2c(cnc3ccccc32)c1OC
SMILES(SDF),
MW(SDF),
MW(RDKit),239.274
MW Monoisotopic(RDKit),239.094628656
MolLogP(RDKit),3.4052
XLogP(SDF),
XLogP(CDK),2.953
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),31.35
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.642104582547703
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Bcl-2 and Bcl-XL with BAX; BAK and BID
Common Target Pref Name,"BCL-like/BAX,BAK"
RDKit Descriptors
Ipc,21811.016716288133
qed,0.6421045825477028
Chi0,12.535169427003234
Chi1,8.846866552750669
TPSA,31.35
Chi0n,10.305162060755066
Chi0v,10.305162060755066
Chi1n,5.7332595651961284
Chi1v,5.7332595651961284
Chi2n,4.0376547565109195
Chi2v,4.0376547565109195
Chi3n,3.1109561291066985
Chi3v,3.1109561291066985
Chi4n,2.2619171712324504
Chi4v,2.2619171712324504
MolMR,72.35300000000004
MolWt,239.274
fr_SH,0
Kappa1,10.838380862257573
Kappa2,4.182957278177247
Kappa3,1.4780264745748666
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,722.0874087318506
MolLogP,3.4052000000000016
NOCount,3
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.4648550713833672
SMR_VSA1,9.473725907600098
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,14.219595082555067
SMR_VSA7,42.595045982382736
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,104.97135485172086
NHOHCount,0
PEOE_VSA1,9.473725907600098
PEOE_VSA2,4.9839785209472085
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,23.585325419849624
PEOE_VSA8,16.96929200054267
PEOE_VSA9,19.736295800171327
RingCount,3
SMR_VSA10,21.67537336101065
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,239.094628656
NumHDonors,0
PEOE_VSA10,0.0
PEOE_VSA11,11.49902366656781
PEOE_VSA12,0.0
