DLiP-ID,T001H7
DLiP-Mol-ID,17175
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H19N3O4/c20-18(21)12-1-3-13(4-2-12)19(25)22-15-5-6-16-14(9-15)7-11(10-26-16)8-17(23)24/h1-6,9,11H,7-8,10H2,(H3,20,21)(H,22,25)(H,23,24)"
Standard Inchi Key(RDKit),FFYHCEWZIRARDA-UHFFFAOYSA-N
Canonical SMILES(RDKit),N=C(N)c1ccc(C(=O)Nc2ccc3c(c2)CC(CC(=O)O)CO3)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),353.378
MW Monoisotopic(RDKit),353.137556088
MolLogP(RDKit),2.24877
XLogP(SDF),
XLogP(CDK),2.136
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),125.5
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.484439217682669
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,690212.9799024867
qed,0.4844392176826686
Chi0,18.681433796945203
Chi1,12.41872399336994
TPSA,125.5
Chi0n,13.989431233157825
Chi0v,13.989431233157825
Chi1n,8.154582231972041
Chi1v,8.154582231972041
Chi2n,6.246667900281423
Chi2v,6.246667900281423
Chi3n,4.222872478041977
Chi3v,4.222872478041977
Chi4n,2.9175624818364425
Chi4v,2.9175624818364425
MolMR,96.79510000000003
MolWt,353.3780000000001
fr_SH,0
Kappa1,17.47230332155244
Kappa2,7.264051997663113
Kappa3,3.9994681164563493
fr_ArN,1
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,2
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,861.5879966632374
MolLogP,2.2487700000000013
NOCount,7
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.7119200393975695
SMR_VSA1,19.4324647167844
SMR_VSA2,5.409283605791522
SMR_VSA3,0.0
SMR_VSA4,11.651573523323577
SMR_VSA5,12.841643245852019
SMR_VSA6,11.923670568519249
SMR_VSA7,59.15492395432226
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,149.843188034484
NHOHCount,5
PEOE_VSA1,20.893846429809273
PEOE_VSA2,14.998357973935164
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,42.316108456931055
PEOE_VSA8,22.73219530423895
PEOE_VSA9,13.027703587438928
RingCount,3
SMR_VSA10,23.399491077744187
fr_Al_COO,1
fr_Ar_COO,0
