DLiP-ID,T001TK
DLiP-Mol-ID,17706
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H21N3O6/c25-19-11-10-18(23(19)13-15-4-2-1-3-5-15)20(26)22-17(21(27)28)12-14-6-8-16(9-7-14)24(29)30/h1-9,17-18H,10-13H2,(H,22,26)(H,27,28)/t17-,18-/m0/s1"
Standard Inchi Key(RDKit),GHGUDSMCAKQDNU-ROUUACIJSA-N
Canonical SMILES(RDKit),O=C(O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)[C@@H]1CCC(=O)N1Cc1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),411.414
MW Monoisotopic(RDKit),411.143035392
MolLogP(RDKit),1.8979
XLogP(SDF),
XLogP(CDK),2.06
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),129.85
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.5040081176293
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,5595303.9836012535
qed,0.5040081176293001
Chi0,21.67299762850792
Chi1,14.346244348298505
TPSA,129.85
Chi0n,16.06216232465127
Chi0v,16.06216232465127
Chi1n,9.448000820440708
Chi1v,9.448000820440708
Chi2n,7.088804383824373
Chi2v,7.088804383824373
Chi3n,5.028171574204073
Chi3v,5.028171574204073
Chi4n,3.4420125464478177
Chi4v,3.4420125464478177
MolMR,106.38090000000001
MolWt,411.4140000000002
fr_SH,0
Kappa1,20.970808207377242
Kappa2,9.165435361290074
Kappa3,4.990797144556812
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,944.9738782607188
MolLogP,1.897899999999999
NOCount,9
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.6800944458026756
SMR_VSA1,24.41344999587384
SMR_VSA2,0.0
SMR_VSA3,10.216698334856808
SMR_VSA4,0.0
SMR_VSA5,37.89090293298653
SMR_VSA6,0.0
SMR_VSA7,75.83852486831407
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,1
fr_oxime,0
fr_quatN,0
LabuteASA,172.00861683023976
NHOHCount,2
PEOE_VSA1,15.323225729697516
PEOE_VSA2,19.703392636909214
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,42.46456947923127
PEOE_VSA7,17.54772460632
PEOE_VSA8,31.519133788687814
PEOE_VSA9,4.923311048817671
RingCount,3
SMR_VSA10,23.471051021338422
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,411.143035392
NumHDonors,2
PEOE_VSA10,12.083681658295921
PEOE_VSA11,0.0
PEOE_VSA12,11.814359458703011
PEOE_VSA13,5.687386274683562
PEOE_VSA14,5.969305287951849
SlogP_VSA1,5.316788604006331
SlogP_VSA2,44.79709457945964
SlogP_VSA3,27.34918958105405
SlogP_VSA4,10.114318268765572
SlogP_VSA5,23.96854622924601
SlogP_VSA6,54.59730361615449
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,28.883477724416945
EState_VSA2,30.98096565579966
EState_VSA3,11.984273114623004
EState_VSA4,5.563451491696996
EState_VSA5,29.16537800469692
EState_VSA6,0.0
EState_VSA7,30.33183534230805
EState_VSA8,5.316788604006331
EState_VSA9,0.0
SlogP_VSA10,5.687386274683562
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,84.16666666666669
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,29.604457215821743
EState_VSA11,0.0
FractionCSP3,0.2857142857142857
VSA_EState10,0.0
fr_C_O_noCOO,2
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-3.7499999999999996
NumHAcceptors,5
fr_morpholine,0
fr_nitro_arom,1
fr_phos_ester,0
HeavyAtomCount,30
HeavyAtomMolWt,390.24600000000015
MaxEStateIndex,12.782355652137397
MinEStateIndex,-1.2216336842103426
NumHeteroatoms,9
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.1333333333333333
FpDensityMorgan2,1.8
FpDensityMorgan3,2.4
MaxPartialCharge,0.3260470639431637
MinPartialCharge,-0.47970863005969433
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.782355652137397
MinAbsEStateIndex,0.029345918731741305
NumAliphaticRings,1
NumRotatableBonds,8
NumSaturatedRings,1
fr_Ndealkylation1,0
fr_Ndealkylation2,1
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.47970863005969433
MinAbsPartialCharge,0.3260470639431637
NumRadicalElectrons,0
NumValenceElectrons,156
fr_para_hydroxylation,0
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,1
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,1
Mordred Descriptors
MW,411.14303539200057
MZ,0.7058823529411763
Mi,1.1272367155613343
Mm,0.6716294377213046
Mp,0.6714177879535048
Mv,0.6519975934196193
SZ,35.99999999999999
Si,57.48907249362805
Sm,34.25310132378653
Sp,34.242307185628746
Sv,33.251877264400584
nB,0
nC,21
nF,0
nH,21
nI,0
nN,3
nO,6
nP,0
nS,0
nX,0
ABC,23.08155522381718
AMW,8.061628144941187
IC0,1.6578764348499595
IC1,3.652173999285247
IC2,4.627636861282392
IC3,5.343898136046722
IC4,5.5155625968734565
IC5,5.5155625968734565
MID,60.369436142000644
Mpe,0.995847750865052
Mse,1.0254059380489269
NdO,4
NdS,0
NsF,0
NsI,0
NtN,0
SMR,106.38090000000001
SdO,47.45649530632172
SdS,0
Spe,50.78823529411765
SsF,0
SsI,0
Sse,52.29570284049527
StN,0
fMF,0.43137254901960786
nBr,0
nCl,0
AMID,2.012314538066688
BIC0,0.2773630239955722
BIC1,0.6110093631262905
BIC2,0.7742044743610972
BIC3,0.8940351137039728
BIC4,0.9227546086956376
BIC5,0.9227546086956376
CIC0,4.014548907121536
CIC1,2.0202513426862483
CIC2,1.0447884806891032
CIC3,0.32852720592477347
CIC4,0.15686274509803866
CIC5,0.15686274509803866
GGI1,6.5
GGI2,3.555555555555557
GGI3,2.0069444444444446
GGI4,1.8183333333333338
GGI5,1.1322222222222218
GGI6,0.717687074829932
GGI7,0.6172052154195011
GGI8,0.37870055429579236
GGI9,0.23500771604938275
JGI1,0.203125
JGI2,0.08080808080808083
JGI3,0.045612373737373736
JGI4,0.044349593495934966
JGI5,0.02573232323232324
JGI6,0.016690397089068183
JGI7,0.016242242511039506
JGI8,0.011475774372599768
JGI9,0.007580894066109119
MIC0,16.04151782420667
MIC1,34.44402817557423
MIC2,42.22926835765276
MIC3,45.42796613803294
MIC4,45.601003914546304
MIC5,45.601003914546304
MPC2,44
MPC3,55
MPC4,67
MPC5,80
MPC6,80
MPC7,84
MPC8,93
MPC9,96
Mare,1.0110588235294118
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,1
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.16240642015269155
RPCG,0.11038395629804622
SIC0,0.2922694147392254
SIC1,0.6438469929717763
SIC2,0.8158127401063371
SIC3,0.94208346763175
SIC4,0.9723464416644891
SIC5,0.9723464416644891
SaaN,0
SaaO,0
SaaS,0
Sare,51.564
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,9.518686301706685
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,84.55169817734793
TIC1,186.2608739635476
TIC2,236.009479925402
TIC3,272.5388049383828
TIC4,281.2936924405463
TIC5,281.2936924405463
Vabc,372.2698258302045
WPol,44
apol,57.18465299999999
bpol,27.117347
nRot,8
ABCGG,18.896151289187706
ATS0Z,1308.0
ATS0d,173.0
ATS0i,8292.38007364423
ATS0m,5175.280038000002
ATS0p,75.392995001829
ATS0s,395.25
ATS0v,11574.900751236653
ATS1Z,1405.0
ATS1d,218.0
ATS1i,7819.21640749755
ATS1m,5371.843543999999
ATS1p,96.34734217600001
ATS1s,192.63888888888889
ATS1v,14415.209712531565
ATS2Z,2072.0
ATS2d,335.0
ATS2i,13831.613071950294
ATS2m,7766.578551999998
ATS2p,145.482916909396
ATS2s,377.74999999999994
ATS2v,21132.018121965233
ATS3Z,2265.0
ATS3d,382.0
ATS3i,20048.089948591383
ATS3m,8182.460048
ATS3p,167.56061998473496
ATS3s,440.6388888888889
ATS3v,23603.27811175203
ATS4Z,2202.0
ATS4d,363.0
ATS4i,21801.727931220077
ATS4m,7819.503257
ATS4p,159.41898000467805
ATS4s,504.05555555555554
ATS4v,22648.788155681617
ATS5Z,2255.0
ATS5d,352.0
ATS5i,20570.286027641174
ATS5m,8245.722240000001
ATS5p,153.68193474577203
ATS5s,568.0833333333333
ATS5v,22141.27019079942
ATS6Z,2213.0
ATS6d,348.0
ATS6i,19261.502995549083
ATS6m,8022.572043
ATS6p,157.311686387584
ATS6s,464.99999999999994
ATS6v,22588.152417544192
ATS7Z,2094.0
ATS7d,329.0
ATS7i,21144.09258856818
ATS7m,7411.320653999999
ATS7p,149.540896005527
ATS7s,502.4444444444444
ATS7v,21246.455296852484
ATS8Z,1826.0
ATS8d,277.0
ATS8i,18731.677005887977
ATS8m,6504.343789
ATS8p,126.78169011322498
ATS8s,506.6111111111111
ATS8v,17922.49629888021
C1SP1,0
C1SP2,3
C1SP3,1
C2SP1,0
C2SP2,10
C2SP3,5
C3SP2,2
C3SP3,0
C4SP3,0
FCSP3,0.2857142857142857
GGI10,0.1575329048056321
JGI10,0.006301316192225284
JGT10,0.45791799550475465
Kier1,24.638671875
Kier2,11.743801652892563
Kier3,6.997685950413223
MAXdO,12.782355652137397
MID_C,43.69098221495932
MID_N,6.275307598593635
MID_O,10.403146328447693
MID_X,0.0
MID_h,16.67845392704133
MINdO,10.745674247905448
MPC10,83
MWC01,32.0
MWC02,5.030437921392435
MWC03,5.860786223465865
MWC04,6.7226297948554485
MWC05,7.5740450053721995
MWC06,8.438799123988225
MWC07,9.29807648628027
MWC08,10.165274727442542
MWC09,11.02875800051622
MWC10,11.897990567387264
NaaCH,9
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,3
NaasN,0
NdCH2,0
NddsN,1
NdsCH,0
NdssC,3
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,1.897899999999999
SRW02,4.174387269895637
SRW03,0.0
SRW04,5.484796933490655
SRW05,2.3978952727983707
SRW06,6.9726062513017535
SRW07,4.727387818712341
SRW08,8.536407410340042
SRW09,6.803505257608338
SRW10,10.14033675090645
SaaCH,14.743507948653093
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,1.3183674294549887
SaasN,0
SdCH2,0
SddsN,-0.5429943086058149
SdsCH,0
SdssC,-1.89539316411451
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,2.514340120307382
SssPH,0
SssSe,0
SsssB,0
SsssN,1.4677125850340134
SsssP,0
VE1_A,4.245811538360638
VE1_D,5.390139405135439
VE2_A,0.14152705127868792
VE2_D,0.17967131350451465
VE3_A,2.544545265274189
VE3_D,2.7831835369160483
VR1_A,398.8518843839067
VR1_D,188.4613778021887
VR2_A,13.295062812796889
VR2_D,6.282045926739624
VR3_A,7.087202419556915
VR3_D,6.3375053822668
WPath,2700
Xc-3d,2.151818338230804
Xc-4d,0.0
Xc-5d,0.5813389786187642
Xc-6d,0.0
Xp-0d,21.67299762850792
Xp-1d,14.346244348298505
Xp-2d,13.099689009205264
Xp-3d,10.384979237024451
Xp-4d,8.038470748690138
Xp-5d,6.383297934128289
Xp-6d,4.113743517923891
Xp-7d,2.7103475591765878
ZMIC0,99.9684824279773
ZMIC1,54.89332891113185
ZMIC2,33.34342314661453
ZMIC3,25.27613465715372
ZMIC4,24.600456403953242
