DLiP-ID,T001VS
DLiP-Mol-ID,17808
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H15Cl2N5O5/c21-13-9-23-10-14(22)17(13)19(28)25-12-5-3-11(4-6-12)8-15(20(29)30)26-18-16(27(31)32)2-1-7-24-18/h1-7,9-10,15H,8H2,(H,24,26)(H,25,28)(H,29,30)"
Standard Inchi Key(RDKit),GLVYIGCNVOBILB-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Nc1ccc(CC(Nc2ncccc2[N+](=O)[O-])C(=O)O)cc1)c1c(Cl)cncc1Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),476.276
MW Monoisotopic(RDKit),475.04502394
MolLogP(RDKit),4.0517
XLogP(SDF),
XLogP(CDK),2.044
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),10
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),147.35
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.325912818677704
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,11038928.530083604
qed,0.3259128186777037
Chi0,23.250347897697548
Chi1,15.256927950821469
TPSA,147.34999999999997
Chi0n,16.158385962956547
Chi0v,17.67024385499346
Chi1n,9.03998942337841
Chi1v,9.795918369396865
Chi2n,6.496722551803761
Chi2v,7.311122805284973
Chi3n,4.324267824875628
Chi3v,4.897412312474561
Chi4n,2.8021646984171507
Chi4v,3.3384608135894442
MolMR,118.2941
MolWt,476.2760000000002
fr_SH,0
Kappa1,22.914760644998744
Kappa2,10.031442637568773
Kappa3,5.4781660489072515
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,3
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1153.0469928180964
MolLogP,4.051700000000002
NOCount,10
fr_Ar_N,2
fr_COO2,1
fr_urea,0
BalabanJ,1.7153549578351674
SMR_VSA1,19.61891281180202
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,12.462662452073971
SMR_VSA6,10.633577208012662
SMR_VSA7,86.2752210052511
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
