DLiP-ID,T001XK
DLiP-Mol-ID,17878
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H22N4O5/c26-18(27)8-6-13-5-7-16(12-17(13)20(29)30)24-19(28)14-3-1-4-15(11-14)25-21-22-9-2-10-23-21/h1,3-5,7,11-12H,2,6,8-10H2,(H,24,28)(H,26,27)(H,29,30)(H2,22,23,25)"
Standard Inchi Key(RDKit),GPNNVIVBATZBGX-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CCc1ccc(NC(=O)c2cccc(NC3=NCCCN3)c2)cc1C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),410.43
MW Monoisotopic(RDKit),410.159019804
MolLogP(RDKit),2.4155
XLogP(SDF),
XLogP(CDK),1.978
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),140.12
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.472062957959214
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,5106557.555750399
qed,0.47206295795921444
Chi0,21.509860921691395
Chi1,14.41872399336994
TPSA,140.12
Chi0n,16.143371448151584
Chi0v,16.143371448151584
Chi1n,9.469481843500894
Chi1v,9.469481843500894
Chi2n,6.741403654458636
Chi2v,6.741403654458636
Chi3n,4.491100255924905
Chi3v,4.491100255924905
Chi4n,3.007408670064165
Chi4v,3.007408670064165
MolMR,112.29770000000005
MolWt,410.43000000000023
fr_SH,0
Kappa1,20.84403578243213
Kappa2,9.549410214912118
Kappa3,5.568032039601745
fr_ArN,0
fr_COO,2
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1002.6412850889132
MolLogP,2.4154999999999998
NOCount,9
fr_Ar_N,0
fr_COO2,2
fr_urea,0
BalabanJ,1.7258686848808085
SMR_VSA1,24.596666341896878
SMR_VSA2,0.0
SMR_VSA3,5.316788604006331
SMR_VSA4,4.992404732635669
SMR_VSA5,19.26246486877803
SMR_VSA6,23.723090019837812
SMR_VSA7,59.15492395432226
SMR_VSA8,0.0
