DLiP-ID,T002GX
DLiP-Mol-ID,18719
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H14BrNO3/c17-13-9-5-4-8-12(13)15(19)18-14(16(20)21)10-11-6-2-1-3-7-11/h1-9,14H,10H2,(H,18,19)(H,20,21)/t14-/m0/s1"
Standard Inchi Key(RDKit),IFEXXHHSXLMJQK-AWEZNQCLSA-N
Canonical SMILES(RDKit),O=C(N[C@@H](Cc1ccccc1)C(=O)O)c1ccccc1Br
SMILES(SDF),
MW(SDF),
MW(RDKit),348.196
MW Monoisotopic(RDKit),347.015705408
MolLogP(RDKit),2.8748
XLogP(SDF),
XLogP(CDK),3.578
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),66.4
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.873289199091189
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,55647.944005418125
qed,0.873289199091189
Chi0,15.242276208189782
Chi1,10.075387400469408
TPSA,66.4
Chi0n,11.12228412251972
Chi0v,12.708280661634424
Chi1n,6.3980231466778035
Chi1v,7.191021416235156
Chi2n,4.533854221220501
Chi2v,5.388191120395022
Chi3n,3.0045547999023285
Chi3v,3.696056006008706
Chi4n,1.9312227320508755
Chi4v,2.396061529108949
MolMR,83.17800000000004
MolWt,348.196
fr_SH,0
Kappa1,15.252678254326101
Kappa2,7.036951834863657
Kappa3,4.160568745695881
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,642.9801654361154
MolLogP,2.8748000000000005
NOCount,4
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.1179988049633325
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,5.316788604006331
SMR_VSA4,0.0
SMR_VSA5,12.462662452073971
SMR_VSA6,0.0
SMR_VSA7,70.19692611538089
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,130.4829535246804
NHOHCount,2
PEOE_VSA1,10.423315998847038
PEOE_VSA2,4.794537184071822
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,42.46456947923127
PEOE_VSA7,33.626129526569564
PEOE_VSA8,10.893541138758422
PEOE_VSA9,5.563451491696996
RingCount,2
SMR_VSA10,27.806428915252702
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,347.015705408
NumHDonors,2
PEOE_VSA10,6.041840829147961
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,5.969305287951849
SlogP_VSA1,5.316788604006331
SlogP_VSA2,23.02485324129202
SlogP_VSA3,11.21535880699783
SlogP_VSA4,0.0
SlogP_VSA5,15.921440167465814
SlogP_VSA6,59.07002313198691
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,17.918325846451317
EState_VSA2,6.4208216229260096
EState_VSA3,10.03617100752941
EState_VSA4,5.563451491696996
EState_VSA5,0.0
EState_VSA6,24.26546827384644
EState_VSA7,30.33183534230805
EState_VSA8,21.24673250195568
EState_VSA9,0.0
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,15.929943897949348
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.6308795246493664
VSA_EState9,50.50336442321674
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,14.69560176298435
EState_VSA11,0.0
FractionCSP3,0.125
VSA_EState10,0.0
fr_C_O_noCOO,1
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.1399999999999992
NumHAcceptors,2
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,21
HeavyAtomMolWt,334.08399999999995
MaxEStateIndex,12.166134101788863
MinEStateIndex,-1.0562438586545724
NumHeteroatoms,5
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.0476190476190477
FpDensityMorgan2,1.6666666666666667
FpDensityMorgan3,2.2857142857142856
MaxPartialCharge,0.3260558885150127
MinPartialCharge,-0.47970852268708547
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.166134101788863
MinAbsEStateIndex,0.24242654006046904
NumAliphaticRings,0
NumRotatableBonds,5
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.47970852268708547
MinAbsPartialCharge,0.3260558885150127
NumRadicalElectrons,0
NumValenceElectrons,108
fr_para_hydroxylation,0
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,347.0157054080004
MZ,0.8380952380952381
Mi,1.110716542695513
Mm,0.8282788396350963
Mp,0.7290179982891362
Mv,0.6852544212148527
SZ,29.333333333333332
Si,38.87507899434296
Sm,28.98975938722837
Sp,25.515629940119766
Sv,23.983904742519844
nB,0
nC,16
nF,0
nH,14
nI,0
nN,1
nO,3
nP,0
nS,0
nX,1
ABC,15.87258804150912
AMW,9.914734440228582
IC0,1.6419156909172545
IC1,3.3060390875699635
IC2,3.925312574447319
IC3,4.740436146246771
IC4,5.0721401598021085
IC5,5.0721401598021085
MID,41.94239385126143
Mpe,0.9850980392156861
Mse,1.015492664655083
NdO,2
NdS,0
NsF,0
NsI,0
NtN,0
SMR,83.17800000000004
SdO,23.495276399911816
SdS,0
Spe,34.47843137254901
SsF,0
SsI,0
Sse,35.542243262927904
StN,0
fMF,0.45714285714285713
nBr,1
nCl,0
AMID,1.997256850060068
BIC0,0.30074846716865467
BIC1,0.605564703161383
BIC2,0.7189965638633821
BIC3,0.8683021379119331
BIC4,0.9290601135999101
BIC5,0.9290601135999101
CIC0,3.487367326027712
CIC1,1.823243929375003
CIC2,1.2039704424976474
CIC3,0.38884687069819535
CIC4,0.05714285714285783
CIC5,0.05714285714285783
GGI1,4.0
GGI2,2.222222222222223
GGI3,1.4375
GGI4,1.0133333333333334
GGI5,0.6597222222222222
GGI6,0.470204081632653
GGI7,0.2934027777777778
GGI8,0.11917359536407154
GGI9,0.04125
JGI1,0.1818181818181818
JGI2,0.0766283524904215
JGI3,0.049568965517241374
JGI4,0.038974358974358976
JGI5,0.025373931623931624
JGI6,0.018808163265306117
JGI7,0.013336489898989898
JGI8,0.007944906357604769
JGI9,0.004125
MIC0,25.356828330313697
MIC1,39.36518915491404
MIC2,46.16511080047498
MIC3,50.636494621998196
MIC4,50.97085226766198
MIC5,50.97085226766198
MPC2,29
MPC3,35
MPC4,41
MPC5,47
MPC6,40
MPC7,40
MPC8,38
MPC9,35
Mare,0.9955428571428574
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,1
NsCl,0
NsLi,0
NsOH,1
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.24541685549955106
RPCG,0.16680881637924017
SIC0,0.3201062771332883
SIC1,0.6445421468552658
SIC2,0.7652751001416296
SIC3,0.9241907944222202
SIC4,0.988859484463212
SIC5,0.988859484463212
SaaN,0
SaaO,0
SaaS,0
Sare,34.84400000000001
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,3.28242271880056
SsCl,0
SsLi,0
SsOH,9.273219521604938
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,57.467049182103906
TIC1,115.71136806494872
TIC2,137.38594010565618
TIC3,165.915265118637
TIC4,177.5249055930738
TIC5,177.5249055930738
Vabc,274.3386938107419
WPol,29
apol,42.61110199999999
bpol,17.730897999999996
nRot,5
ABCGG,13.655925988974367
ATS0Z,2056.0
ATS0d,116.0
ATS0i,5524.716616436986
ATS0m,9671.200099999998
ATS0p,63.289092667886
ATS0s,209.30049725651577
ATS0v,8807.337816866433
ATS1Z,1101.0
ATS1d,143.0
ATS1i,5169.37924694225
ATS1m,4356.452105
ATS1p,72.03869200600002
ATS1s,127.05246913580248
ATS1v,10418.10598232017
ATS2Z,1664.0
ATS2d,209.0
ATS2i,8526.396550911348
ATS2m,6563.770874999998
ATS2p,105.47430557484898
ATS2s,219.54320987654322
ATS2v,14671.442221836525
ATS3Z,1973.0
ATS3d,233.0
ATS3i,12280.22356391379
ATS3m,7684.1207859999995
ATS3p,120.70782647249001
ATS3s,259.20987654320993
ATS3v,16096.285582859724
ATS4Z,2012.0
ATS4d,210.0
ATS4i,12631.144509525038
ATS4m,7825.043727
ATS4p,106.40695423103699
ATS4s,279.98611111111114
ATS4v,14456.703626963745
ATS5Z,1549.0
ATS5d,192.0
ATS5i,11215.286561357738
ATS5m,5794.386877000001
ATS5p,94.377224717037
ATS5s,332.4382716049382
ATS5v,13230.86891582019
ATS6Z,1619.0
ATS6d,179.0
ATS6i,10382.31100295124
ATS6m,6235.664171
ATS6p,94.826434429641
ATS6s,270.54783950617286
ATS6v,13226.928685871906
ATS7Z,1827.0
ATS7d,155.0
ATS7i,10141.437252645688
ATS7m,7209.343323000001
ATS7p,88.28793304648998
ATS7s,264.2469135802469
ATS7v,12165.728910718208
ATS8Z,1140.0
ATS8d,120.0
ATS8i,8056.61563695804
ATS8m,4375.218393
ATS8p,72.451196261641
ATS8s,177.49074074074076
ATS8v,9383.960257777431
C1SP1,0
C1SP2,2
C1SP3,0
C2SP1,0
C2SP2,10
C2SP3,2
C3SP2,2
C3SP3,0
C4SP3,0
FCSP3,0.125
GGI10,0.02867054382205897
JGI10,0.005734108764411794
JGT10,0.42231245871044787
Kier1,17.355371900826448
Kier2,8.585017835909632
Kier3,5.289795918367347
MAXdO,12.166134101788863
MID_C,32.956296199056936
MID_N,2.01937848739163
MID_O,5.19898593686537
MID_X,1.7677332279475058
MID_h,8.986097652204505
MINdO,11.329142298122953
MPC10,30
MWC01,22.0
MWC02,4.634728988229636
MWC03,5.442417710521793
MWC04,6.282266746896006
MWC05,7.109062135687172
MWC06,7.951911381854188
MWC07,8.78523362361273
MWC08,9.629248055780836
MWC09,10.465357939808428
MWC10,11.310037869555806
NaaCH,9
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,3
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,2
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,2.8748000000000005
SRW02,3.8066624897703196
SRW03,0.0
SRW04,5.081404364984463
SRW05,0.0
SRW06,6.54965074223381
SRW07,0.0
SRW08,8.10076824307173
SRW09,0.0
SRW10,9.691222119369101
SaaCH,16.09977684080723
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,1.903230492042497
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-1.4675344860166284
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,2.5535837112622826
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.094532693374527
VE1_D,4.520652986260554
VE2_A,0.1949777473035489
VE2_D,0.21526918982193116
VE3_A,2.151589939130582
VE3_D,2.25059379412616
VR1_A,130.6965702704024
VR1_D,108.15171446814972
VR2_A,6.223646203352494
VR2_D,5.150081641340463
VR3_A,5.614815723778845
VR3_D,5.425472349690261
WPath,976
Xc-3d,1.3116114295109174
Xc-4d,0.0
Xc-5d,0.35911675639654195
Xc-6d,0.0
Xp-0d,15.242276208189782
Xp-1d,10.075387400469408
Xp-2d,8.882416386069561
Xp-3d,6.886898116118399
Xp-4d,5.334189836646604
Xp-5d,4.0936686625183905
Xp-6d,2.200869487351956
Xp-7d,1.450303267404399
ZMIC0,70.40850241443412
ZMIC1,50.204129702031
ZMIC2,36.82233076913445
ZMIC3,27.24428099951198
ZMIC4,25.971782200462968
ZMIC5,25.971782200462968
nAcid,1
nAtom,35
nBase,0
nRing,2
piPC1,3.4339872044851463
piPC2,3.9512437185814275
piPC3,4.400603020246817
piPC4,4.840242308167575
piPC5,5.270432163058501
piPC6,5.064570927761894
piPC7,5.229603473999985
piPC8,5.341586364711343
piPC9,5.4726645036732835
AATS0Z,58.74285714285714
AATS0d,3.3142857142857145
AATS0i,157.84904618391388
AATS0m,276.3200028571428
AATS0p,1.8082597905110287
AATS0s,5.980014207329022
AATS0v,251.63822333904093
AATS1Z,30.583333333333332
AATS1d,3.9722222222222223
AATS1i,143.59386797061805
AATS1m,121.01255847222222
AATS1p,2.001074777944445
AATS1s,3.529235253772291
AATS1v,289.39183284222696
AATS2Z,28.689655172413794
AATS2d,3.603448275862069
AATS2i,147.0068370846784
AATS2m,113.16846336206893
AATS2p,1.8185225099111895
AATS2s,3.7852277564921244
AATS2v,252.95590037649183
AATS3Z,24.974683544303797
AATS3d,2.949367088607595
AATS3i,155.44586789764293
AATS3m,97.26735172151898
AATS3p,1.5279471705378482
AATS3s,3.281137677762151
AATS3v,203.75045041594586
AATS4Z,25.468354430379748
AATS4d,2.6582278481012658
AATS4i,159.88790518386125
AATS4m,99.05118641772152
AATS4p,1.3469234712789493
AATS4s,3.5441279887482424
AATS4v,182.99624844257906
AATS5Z,22.12857142857143
AATS5d,2.742857142857143
AATS5i,160.2183794479677
AATS5m,82.7769553857143
AATS5p,1.3482460673862429
AATS5s,4.749118165784831
AATS5v,189.0124130831456
AATS6Z,24.53030303030303
AATS6d,2.712121212121212
AATS6i,157.3077424689582
AATS6m,94.47976016666667
AATS6p,1.4367641580248636
AATS6s,4.099209689487467
AATS6v,200.40801039199857
AATS7Z,28.546875
AATS7d,2.421875
AATS7i,158.45995707258888
AATS7m,112.64598942187502
AATS7p,1.379498953851406
AATS7s,4.1288580246913575
AATS7v,190.089514229972
AATS8Z,22.352941176470587
AATS8d,2.3529411764705883
AATS8i,157.97285562662825
AATS8m,85.78859594117647
AATS8p,1.4206116914047255
AATS8s,3.4802106027596227
AATS8v,183.99922074073393
AMID_C,1.5693474380503303
AMID_N,0.09616088035198238
AMID_O,0.24757075889835095
AMID_X,0.08417777275940504
AMID_h,0.4279094120097383
ATS0dv,287.06721536351165
ATS0pe,225.304
ATS0se,275.325497
ATS1dv,266.03703703703707
ATS1pe,234.984
ATS1se,280.29232999999994
ATS2dv,350.8148148148148
ATS2pe,373.5047
ATS2se,449.55834400000003
ATS3dv,341.5925925925926
ATS3pe,498.4052
ATS3se,611.842234
ATS4dv,332.3703703703704
ATS4pe,506.38429999999994
ATS4se,624.830794
ATS5dv,387.77777777777777
ATS5pe,453.4552
ATS5se,557.1099059999999
ATS6dv,325.55555555555554
ATS6pe,427.56199999999995
ATS6se,524.335784
ATS7dv,258.8888888888889
ATS7pe,416.08230000000003
ATS7se,512.9709740000001
ATS8dv,154.55555555555554
ATS8pe,318.0330000000001
ATS8se,395.88210399999997
ATSC0Z,1170.971428571428
ATSC0c,0.8624043533405953
ATSC0d,19.885714285714286
ATSC0i,49.83860070890869
ATSC0m,6207.187116685715
ATSC0p,11.411777992045884
ATSC0s,82.06933666470705
ATSC0v,1846.8050262697525
ATSC1Z,-10.170612244897958
ATSC1c,-0.574686021991672
ATSC1d,3.2318367346938754
ATSC1i,3.6193207303264687
ATSC1m,-45.128776962448946
ATSC1p,0.7387038606240031
ATSC1s,-6.9063142829148125
ATSC1v,102.21185316283356
ATSC2Z,7.875918367346943
ATSC2c,0.12530847448475052
ATSC2d,-6.239183673469391
ATSC2i,-10.326149555056698
ATSC2m,38.88140506367358
ATSC2p,-1.312898302918239
ATSC2s,20.21430755018056
ATSC2v,-431.08506427771374
ATSC3Z,-17.02122448979592
ATSC3c,0.22468574720613252
ATSC3d,-4.113469387755103
ATSC3i,-7.013804540125899
ATSC3m,-86.04094080489801
ATSC3p,-0.39321210596117057
ATSC3s,-8.612359606393998
ATSC3v,-284.5003755411039
ATSC4Z,-33.33551020408162
ATSC4c,-0.4118691221571129
ATSC4d,-0.5991836734693878
ATSC4i,-15.404728617753628
ATSC4m,-201.8180394620407
ATSC4p,-2.705460539394627
ATSC4s,-31.176280339296206
ATSC4v,-241.70328704560262
ATSC5Z,-105.39999999999999
ATSC5c,0.28226878204322936
ATSC5d,-0.22857142857142854
ATSC5i,2.4202018455471777
ATSC5m,-567.0147645999999
ATSC5p,-0.1670672881256856
ATSC5s,40.60279002547521
ATSC5v,147.00581631624166
ATSC6Z,-56.08897959183675
ATSC6c,-0.10173062736888339
ATSC6d,-4.327346938775512
ATSC6i,-2.0566203633961693
ATSC6m,-272.3660749787756
ATSC6p,-0.01283503358335596
ATSC6s,-14.855594818174183
ATSC6v,-22.569769898680015
ATSC7Z,-24.376326530612246
ATSC7c,0.09200847484889657
ATSC7d,-0.6767346938775499
ATSC7i,-0.9222553863136385
ATSC7m,-170.37983356816318
ATSC7p,-2.268928109632991
ATSC7s,-26.767412656420596
ATSC7v,-110.24956292920842
ATSC8Z,-64.55836734693878
ATSC8c,-0.05257692616040324
ATSC8d,-0.11918367346938646
ATSC8i,8.288775570673
ATSC8m,-302.17493599918373
ATSC8p,2.207132964183166
ATSC8s,-23.575298563869996
ATSC8v,105.09323901987817
AXp-0d,0.7258226765804658
AXp-1d,0.45797215456679125
AXp-2d,0.3062902202092952
AXp-3d,0.19676851760338282
AXp-4d,0.13010219113772203
AXp-5d,0.08709933324507214
AXp-6d,0.0550217371837989
AXp-7d,0.03625758168510997
GATS1Z,0.5000596438718635
GATS1c,1.6072385914703124
GATS1d,0.9498722860791826
GATS1i,0.9939082648954788
GATS1m,0.4953836920100701
GATS1p,0.7074993420361477
GATS1s,0.6649064043039865
GATS1v,0.7859404192287471
GATS2Z,0.6029918319680686
GATS2c,0.7636624658434187
GATS2d,1.3560245739199366
GATS2i,1.1689429155496847
GATS2m,0.6006530777643591
GATS2p,0.8859462933471698
GATS2s,0.46274837268616326
GATS2v,1.0201924623116148
GATS3Z,0.88154654981135
GATS3c,0.8228719874616615
GATS3d,1.1470609631892914
GATS3i,1.0703281863171241
GATS3m,0.8800231810539382
GATS3p,0.9423275721474791
GATS3s,0.8771601237634563
GATS3v,1.0203511703960542
GATS4Z,1.07799709426587
GATS4c,1.3453909968468871
GATS4d,1.0604903244580242
GATS4i,1.120461308777783
GATS4m,1.0800315505339784
GATS4p,1.0964905055801955
GATS4s,1.3694447704736237
GATS4v,1.0158884256321106
GATS5Z,0.8405841303923486
GATS5c,1.0963571311867246
GATS5d,1.0747126436781609
GATS5i,0.9824196313995903
GATS5m,0.833952814361512
GATS5p,0.8985921048533594
GATS5s,1.0440033463481027
GATS5v,0.8845004591418036
GATS6Z,0.8426958192110451
GATS6c,1.3676024563526878
GATS6d,1.139846743295019
GATS6i,0.997493434159636
GATS6m,0.8351260551667145
GATS6p,0.9064902028754821
GATS6s,1.373885286636966
GATS6v,0.9251895145178609
GATS7Z,1.2694054387077889
GATS7c,1.175690422767409
GATS7d,0.9617456896551724
GATS7i,0.9238641246010229
GATS7m,1.2779206726252226
GATS7p,1.1839996155022179
GATS7s,1.6343274307533138
GATS7v,1.0015085563563595
GATS8Z,1.050979243932592
GATS8c,0.9897275228803548
GATS8d,0.8548850574712643
GATS8i,0.7951141785793395
GATS8m,1.0454675947965155
GATS8p,0.8765982016077509
GATS8s,1.3647132911290012
GATS8v,0.9624908274923537
MATS1Z,-0.008444352267551568
MATS1c,-0.6478660725871035
MATS1d,0.1580060664112387
MATS1i,0.0706035882492979
MATS1m,-0.007068451296829924
MATS1p,0.06293360328605974
MATS1s,-0.08181462763531744
MATS1v,0.053807864720911106
MATS2Z,0.004058774828865095
MATS2c,0.08768181953838625
MATS2d,-0.18933313515655975
MATS2i,-0.12502953647691367
MATS2m,0.0037799596512399654
MATS2p,-0.06942530934535045
MATS2s,0.14863394215963965
MATS2v,-0.14085814966277804
MATS3Z,-0.006439993872261361
MATS3c,0.11542650265721706
MATS3d,-0.0916448421358941
MATS3i,-0.062348896519644446
MATS3m,-0.006141172069970131
MATS3p,-0.015265622514520764
MATS3s,-0.04649242350832864
MATS3v,-0.06825001469214531
MATS4Z,-0.012612516894521359
MATS4c,-0.21158712964324639
MATS4d,-0.013349337989233233
MATS4i,-0.1369396345459444
MATS4m,-0.014404762379002942
MATS4p,-0.10503374310252929
MATS4s,-0.16830008211371347
MATS4v,-0.05798323766929039
MATS5Z,-0.04500536794846771
MATS5c,0.1636522247074923
MATS5d,-0.005747126436781608
MATS5i,0.024280395227012908
MATS5m,-0.045674051220060005
MATS5p,-0.0073199499780898765
MATS5s,0.24736882053377166
MATS5v,0.039800036881307836
MATS6Z,-0.025401265238762818
MATS6c,-0.06255541238790706
MATS6d,-0.11539968652037622
MATS6i,-0.0218832791326133
MATS6m,-0.023269244538274524
MATS6p,-0.0005964414316541201
MATS6s,-0.09599160014192719
MATS6v,-0.006480823476361878
MATS7Z,-0.01138439695978919
MATS7c,0.058345177048425935
MATS7d,-0.018610811781609164
MATS7i,-0.010119834971613008
MATS7m,-0.015011062133461215
MATS7p,-0.10873152814753363
MATS7s,-0.17836660306254307
