DLiP-ID,T002LJ
DLiP-Mol-ID,18913
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H26N4O2/c1-14(2)10-17(8-9-22)11-16(12-19-20-18)23-21(17)13-15-6-4-3-5-7-15/h3-7,14,16,22H,8-13H2,1-2H3/t16-,17-/m1/s1"
Standard Inchi Key(RDKit),IOUZAKOZNDIRHM-IAGOWNOFSA-N
Canonical SMILES(RDKit),CC(C)C[C@]1(CCO)C[C@H](CN=[N+]=[N-])ON1Cc1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),318.421
MW Monoisotopic(RDKit),318.205576072
MolLogP(RDKit),3.6701
XLogP(SDF),
XLogP(CDK),3.331
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),81.46
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.450854914943084
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,ESX/Sur-2 (DRIP130)
Common Target Pref Name,ELF3/MED23
RDKit Descriptors
Ipc,156247.8429421661
qed,0.4508549149430843
Chi0,16.708896013370172
Chi1,11.092484021301749
TPSA,81.46000000000001
Chi0n,13.928408839410324
Chi0v,13.928408839410324
Chi1n,8.194909116697959
Chi1v,8.194909116697959
Chi2n,6.663112435257335
Chi2v,6.663112435257335
Chi3n,4.295910391090588
Chi3v,4.295910391090588
Chi4n,3.516321869074383
Chi4v,3.516321869074383
MolMR,89.37680000000006
MolWt,318.421
fr_SH,0
Kappa1,17.759018663777027
Kappa2,8.314980502679537
Kappa3,4.688802796476256
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,4
fr_NH1,0
fr_NH2,0
fr_N_O,2
fr_azo,0
BertzCT,530.6547216303852
MolLogP,3.6701000000000024
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.2201205329977385
SMR_VSA1,9.94411597857734
SMR_VSA2,0.0
SMR_VSA3,5.063217724965349
SMR_VSA4,11.032156171790792
SMR_VSA5,51.297587314203504
SMR_VSA6,13.151638370425493
SMR_VSA7,46.33812748004276
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,1
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,137.19530839448947
NHOHCount,1
PEOE_VSA1,5.106527394840706
PEOE_VSA2,4.8375885837366335
PEOE_VSA3,0.0
PEOE_VSA4,5.063217724965349
