DLiP-ID,T002TT
DLiP-Mol-ID,19268
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H8Br2ClNO2/c14-9-5-7(6-10(15)12(9)18)17-13(19)8-3-1-2-4-11(8)16/h1-6,18H,(H,17,19)"
Standard Inchi Key(RDKit),JIJBJFIYBIXXLL-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Nc1cc(Br)c(O)c(Br)c1)c1ccccc1Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),405.473
MW Monoisotopic(RDKit),402.861030376
MolLogP(RDKit),4.8229
XLogP(SDF),
XLogP(CDK),4.805
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),49.33
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.703884074229377
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Transthyretin tetramer
Common Target Pref Name,Transthyretin tetramer
RDKit Descriptors
Ipc,17636.57914824849
qed,0.7038840742293766
Chi0,13.991199352633217
Chi1,8.986071002992366
TPSA,49.33
Chi0n,9.453456920129259
Chi0v,13.381378944377122
Chi1n,5.2267284600646295
Chi1v,7.19068947218856
Chi2n,3.7224694182292293
Chi2v,5.838343343318877
Chi3n,2.393245719279622
Chi3v,3.9318104468481763
Chi4n,1.4814639553825184
Chi4v,2.889474962780074
MolMR,82.91200000000002
MolWt,405.47300000000007
fr_SH,0
Kappa1,14.370813794085706
Kappa2,5.943631096514014
Kappa3,3.2911954339685994
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,623.2854978673417
MolLogP,4.822900000000002
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.2725296659663936
SMR_VSA1,9.901064578912528
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,5.316788604006331
SMR_VSA7,55.92972624787281
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,131.39741891396986
NHOHCount,2
PEOE_VSA1,10.423315998847038
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,23.733674027155736
PEOE_VSA7,56.12535606974514
PEOE_VSA8,5.687386274683562
PEOE_VSA9,19.53152383710315
RingCount,2
SMR_VSA10,55.055393690166284
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,1
ExactMolWt,402.861030376
NumHDonors,2
PEOE_VSA10,5.749511833283905
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,5.316788604006331
SlogP_VSA2,11.013707124192212
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,10.357988675768818
SlogP_VSA6,45.34364144243449
SlogP_VSA7,5.022633313741326
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,3
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,11.65669156263541
EState_VSA3,25.218910111786712
EState_VSA4,0.0
EState_VSA5,0.0
EState_VSA6,36.39820241076966
EState_VSA7,0.0
EState_VSA8,37.17667639990503
EState_VSA9,11.600939890232516
SlogP_VSA10,5.687386274683562
SlogP_VSA11,5.749511833283905
SlogP_VSA12,43.46082768613121
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.9654326236667514
VSA_EState9,35.45828313527058
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,9.901064578912528
EState_VSA11,0.0
FractionCSP3,0.0
VSA_EState10,5.953750104980263
fr_C_O_noCOO,1
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-1.04
NumHAcceptors,2
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,19
HeavyAtomMolWt,397.4090000000001
MaxEStateIndex,12.053771258503403
MinEStateIndex,-0.310102040816326
NumHeteroatoms,6
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.1578947368421053
FpDensityMorgan2,1.736842105263158
FpDensityMorgan3,2.3157894736842106
MaxPartialCharge,0.2566741534830596
MinPartialCharge,-0.5055788150070158
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.053771258503403
MinAbsEStateIndex,0.0793912019540326
NumAliphaticRings,0
NumRotatableBonds,2
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.5055788150070158
MinAbsPartialCharge,0.2566741534830596
NumRadicalElectrons,0
NumValenceElectrons,98
fr_para_hydroxylation,0
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,1
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,402.8610303760002
MZ,1.2098765432098761
Mi,1.0970593639206374
Mm,1.2503045048211983
Mp,0.8433875360390333
Mv,0.778638050222011
SZ,32.66666666666666
Si,29.620602825857212
Sm,33.75822163017235
Sp,22.7714634730539
Sv,21.023227355994297
nB,0
nC,13
nF,0
nH,8
nI,0
nN,1
nO,2
nP,0
nS,0
nX,3
ABC,14.527324164357323
AMW,14.920778902814822
IC0,1.9361572675029426
IC1,3.4578671314725855
IC2,4.032303242743953
IC3,4.680813428089396
IC4,4.754887502163469
IC5,4.754887502163469
MID,37.811954791580305
Mpe,1.0130718954248368
Mse,1.0365110193952145
NdO,1
NdS,0
NsF,0
NsI,0
NtN,0
SMR,82.91200000000002
SdO,12.053771258503403
SdS,0
Spe,27.35294117647059
SsF,0
SsI,0
Sse,27.985797523670794
StN,0
fMF,0.5185185185185185
nBr,2
nCl,1
AMID,1.9901028837673844
BIC0,0.37747132710491965
BIC1,0.6741423937905678
BIC2,0.7861338961845038
BIC3,0.9125668076076094
BIC4,0.9270082166367787
BIC5,0.9270082166367787
CIC0,2.8187302346605256
CIC1,1.2970203706908827
CIC2,0.7225842594195155
CIC3,0.07407407407407263
CIC4,-8.881784197001252e-16
CIC5,-8.881784197001252e-16
GGI1,4.5
GGI2,2.666666666666668
GGI3,1.875
GGI4,1.0266666666666668
GGI5,0.5486111111111112
GGI6,0.2848979591836735
GGI7,0.3142361111111111
GGI8,0.16855631141345423
GGI9,0.061250000000000006
JGI1,0.225
JGI2,0.09523809523809526
JGI3,0.0646551724137931
JGI4,0.044637681159420295
JGI5,0.03227124183006536
JGI6,0.01582766439909297
JGI7,0.019639756944444444
JGI8,0.012965870108727247
JGI9,0.010208333333333333
MIC0,42.006768194630496
MIC1,57.11950886605169
MIC2,64.01906099853208
MIC3,71.33194445054548
MIC4,71.40661111721215
MIC5,71.40661111721215
