DLiP-ID,T002VY
DLiP-Mol-ID,19364
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H31N3O3/c29-23(30)18-22(19-4-2-1-3-5-19)27-24(31)20-6-10-25(11-7-20)12-16-28(17-13-25)21-8-14-26-15-9-21/h1-5,8-9,14-15,20,22H,6-7,10-13,16-18H2,(H,27,31)(H,29,30)/t22-/m1/s1"
Standard Inchi Key(RDKit),JNMHMFBZJMPXKX-JOCHJYFZSA-N
Canonical SMILES(RDKit),O=C(O)C[C@@H](NC(=O)C1CCC2(CC1)CCN(c1ccncc1)CC2)c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),421.541
MW Monoisotopic(RDKit),421.236541852
MolLogP(RDKit),4.1906
XLogP(SDF),
XLogP(CDK),4.006
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),82.53
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.730793677084932
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,13255486.975913359
qed,0.7307936770849319
Chi0,21.683587508058327
Chi1,15.04524385550833
TPSA,82.53
Chi0n,17.872951359192417
Chi0v,17.872951359192417
Chi1n,11.26755296401347
Chi1v,11.26755296401347
Chi2n,9.03645482491025
Chi2v,9.03645482491025
Chi3n,7.16620027284696
Chi3v,7.16620027284696
Chi4n,5.188240822534486
Chi4v,5.188240822534486
MolMR,119.65350000000005
MolWt,421.54100000000005
fr_SH,0
Kappa1,21.34616482652311
Kappa2,9.498808794567239
Kappa3,5.2408125048807275
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,869.3999341256456
MolLogP,4.190600000000003
NOCount,6
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.3082409967550617
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,10.30076712495354
SMR_VSA4,11.332896515558172
SMR_VSA5,50.987592189630035
SMR_VSA6,17.98942254267563
SMR_VSA7,60.42170811415441
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,183.2326464070965
