DLiP-ID,T002WK
DLiP-Mol-ID,19396
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H21N3O5S/c1-16(27)23-10-12-24(13-11-23)22(28)9-7-17-6-8-21(19(14-17)25(29)30)31-20-5-3-2-4-18(20)15-26/h2-9,14-15H,10-13H2,1H3/b9-7+"
Standard Inchi Key(RDKit),JOGGIPBFAFXTJX-VQHVLOKHSA-N
Canonical SMILES(RDKit),CC(=O)N1CCN(C(=O)/C=C/c2ccc(Sc3ccccc3C=O)c([N+](=O)[O-])c2)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),439.493
MW Monoisotopic(RDKit),439.120191772
MolLogP(RDKit),3.2624
XLogP(SDF),
XLogP(CDK),3.056
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),100.83
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.296380184182679
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,8332083.234551717
qed,0.2963801841826787
Chi0,22.38010440969447
Chi1,14.884249150759292
TPSA,100.83000000000001
Chi0n,16.8930603459255
Chi0v,17.709556926853228
Chi1n,9.617821548330625
Chi1v,10.434318129258347
Chi2n,6.9066965096074995
Chi2v,7.9904734660943255
Chi3n,4.90061444030436
Chi3v,6.057446856418516
Chi4n,3.1710091096966067
Chi4v,4.162659533590813
MolMR,116.91690000000007
MolWt,439.4930000000003
fr_SH,0
Kappa1,22.230272739899398
Kappa2,10.032512741864782
Kappa3,5.5756217248747575
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1045.1919350755338
MolLogP,3.262400000000002
NOCount,8
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.7332969018292677
SMR_VSA1,19.306922601033136
SMR_VSA2,0.0
SMR_VSA3,9.799819461700956
SMR_VSA4,0.0
SMR_VSA5,16.714704150726174
SMR_VSA6,26.1790256236503
SMR_VSA7,69.78181083822471
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,1
fr_oxime,0
fr_quatN,0
LabuteASA,183.2228036722167
NHOHCount,0
PEOE_VSA1,9.799819461700956
PEOE_VSA2,24.49792982098104
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
