DLiP-ID,T002WN
DLiP-Mol-ID,19399
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C28H38N4O3/c1-19(2)25(31-26(33)20(3)29-4)28(35)32-17-11-16-24(32)27(34)30-18-23(21-12-7-5-8-13-21)22-14-9-6-10-15-22/h5-10,12-15,19-20,23-25,29H,11,16-18H2,1-4H3,(H,30,34)(H,31,33)/t20-,24-,25-/m0/s1"
Standard Inchi Key(RDKit),JONNIXCNDNCDHK-OPXMRZJTSA-N
Canonical SMILES(RDKit),CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)NCC(c1ccccc1)c1ccccc1)C(C)C
SMILES(SDF),
MW(SDF),
MW(RDKit),478.637
MW Monoisotopic(RDKit),478.294391076
MolLogP(RDKit),2.6744
XLogP(SDF),
XLogP(CDK),3.156
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),90.54
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),10
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.489790049102725
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP/Caspase9 or SMAC (BIR3 domanin)
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,72908201.45326863
qed,0.48979004910272445
Chi0,25.371668241257186
Chi1,16.828606258093465
TPSA,90.54
Chi0n,21.16063962948213
Chi0v,21.16063962948213
Chi1n,12.487933148842597
Chi1v,12.487933148842597
Chi2n,9.549402099008859
Chi2v,9.549402099008859
Chi3n,6.779603645440837
Chi3v,6.779603645440837
Chi4n,4.523949447768491
Chi4v,4.523949447768491
MolMR,137.7620999999999
MolWt,478.63700000000017
fr_SH,0
Kappa1,26.415371580367033
Kappa2,12.49506063935254
Kappa3,6.6936149766779085
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,940.7116163532365
MolLogP,2.674400000000003
NOCount,7
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.7069833326424382
SMR_VSA1,14.383611552215466
SMR_VSA2,0.0
SMR_VSA3,20.850275542869472
SMR_VSA4,5.917906046161393
SMR_VSA5,57.65628337852917
SMR_VSA6,20.13718479450234
SMR_VSA7,71.7905736680101
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,208.21572652353626
NHOHCount,3
PEOE_VSA1,20.850275542869472
PEOE_VSA2,14.383611552215466
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,74.51114508399735
PEOE_VSA7,43.857861457775215
PEOE_VSA8,19.007418857986544
PEOE_VSA9,6.041840829147961
RingCount,3
SMR_VSA10,17.721539188054518
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,478.29439107599995
NumHDonors,3
PEOE_VSA10,12.083681658295921
PEOE_VSA11,0.0
PEOE_VSA12,17.721539188054518
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,15.950365812018994
SlogP_VSA2,60.88415620085121
