DLiP-ID,T0033N
DLiP-Mol-ID,19691
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C9H5Cl3N4O/c10-4-1-2-5(11)7(12)6(4)8(17)15-9-13-3-14-16-9/h1-3H,(H2,13,14,15,16,17)"
Standard Inchi Key(RDKit),KBDDCRNUQDKWIA-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Nc1nnc[nH]1)c1c(Cl)ccc(Cl)c1Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),291.525
MW Monoisotopic(RDKit),289.95289382
MolLogP(RDKit),3.0172
XLogP(SDF),
XLogP(CDK),4.807
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),70.67
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.835553962705649
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Transthyretin tetramer
Common Target Pref Name,Transthyretin tetramer
RDKit Descriptors
Ipc,9405.439680360136
qed,0.8355539627056485
Chi0,12.41384908344359
Chi1,8.092224152875016
TPSA,70.67
Chi0n,8.168619708060337
Chi0v,10.436406546115702
Chi1n,4.402235279360685
Chi1v,5.536128698388367
Chi2n,3.0098288401641886
Chi2v,4.2021935666546275
Chi3n,1.9197241532415552
Chi3v,3.0389792906748574
Chi4n,1.171816908930781
Chi4v,1.8715902314633492
MolMR,65.8079
MolWt,291.525
fr_SH,0
Kappa1,12.16469934382732
Kappa2,4.91203866901672
Kappa3,2.5156373011915254
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,555.6186513232128
MolLogP,3.0172000000000008
NOCount,5
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,2.3393942810279857
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,15.181342137549283
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,5.316788604006331
SMR_VSA7,39.091405644608734
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,111.09153235556646
NHOHCount,2
PEOE_VSA1,4.9839785209472085
PEOE_VSA2,10.111325788078153
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,10.197363616602075
PEOE_VSA6,34.802819670697545
PEOE_VSA7,12.13273413692322
PEOE_VSA8,0.0
PEOE_VSA9,20.631351432920976
RingCount,2
SMR_VSA10,46.65833868103555
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,289.95289382
NumHDonors,2
PEOE_VSA10,6.3273200747645415
PEOE_VSA11,0.0
PEOE_VSA12,5.948339280986494
PEOE_VSA13,5.907179729351506
