DLiP-ID,T0034V
DLiP-Mol-ID,19752
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H29NO5/c1-23-18(22)16(20)19-12-6-5-11-15(19)17(21)24-13-7-10-14-8-3-2-4-9-14/h14-15H,2-13H2,1H3"
Standard Inchi Key(RDKit),KDEBNKWOMWIFGB-UHFFFAOYSA-N
Canonical SMILES(RDKit),COC(=O)C(=O)N1CCCCC1C(=O)OCCCC1CCCCC1
SMILES(SDF),
MW(SDF),
MW(RDKit),339.432
MW Monoisotopic(RDKit),339.204573028
MolLogP(RDKit),2.4442
XLogP(SDF),
XLogP(CDK),4.029
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),72.91
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.436908180206251
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,279379.74065857974
qed,0.43690818020625066
Chi0,17.363596551749424
Chi1,11.6302289553358
TPSA,72.91000000000001
Chi0n,14.6284369604371
Chi0v,14.6284369604371
Chi1n,9.187245901182576
Chi1v,9.187245901182576
Chi2n,6.815469867594802
Chi2v,6.815469867594802
Chi3n,5.1215298509913385
Chi3v,5.1215298509913385
Chi4n,3.7410251332578968
Chi4v,3.7410251332578968
MolMR,88.13600000000005
MolWt,339.4320000000002
fr_SH,0
Kappa1,18.744435405775725
Kappa2,9.644280572610581
Kappa3,5.2120126506097195
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,444.69007389559226
MolLogP,2.4441999999999995
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.7578103114771306
SMR_VSA1,23.85733745981556
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,5.917906046161393
SMR_VSA5,70.25005705840807
SMR_VSA6,20.26143591170303
SMR_VSA7,0.0
