DLiP-ID,T0037U
DLiP-Mol-ID,19874
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H32N4O6/c1-2-35-23(32)16-36-21-11-13-30(14-12-21)26(34)22(15-17-3-9-20(31)10-4-17)29-25(33)19-7-5-18(6-8-19)24(27)28/h3-10,21-22,31H,2,11-16H2,1H3,(H3,27,28)(H,29,33)/t22-/m0/s1"
Standard Inchi Key(RDKit),KLVKCAIZZUINTK-QFIPXVFZSA-N
Canonical SMILES(RDKit),CCOC(=O)COC1CCN(C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)c2ccc(C(=N)N)cc2)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),496.564
MW Monoisotopic(RDKit),496.232184744
MolLogP(RDKit),1.58807
XLogP(SDF),
XLogP(CDK),2.395
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),10
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),155.04
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),10
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),36
QED Weighted(RDKit),0.221113801017327
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,85358948.83651686
qed,0.2211138010173268
Chi0,26.078775022443736
Chi1,17.26125924847104
TPSA,155.04000000000002
Chi0n,20.23626907271095
Chi0v,20.23626907271095
Chi1n,11.856936485687463
Chi1v,11.856936485687463
Chi2n,8.528314267675855
Chi2v,8.528314267675855
Chi3n,5.933550304387987
Chi3v,5.933550304387987
Chi4n,3.9623356154656286
Chi4v,3.9623356154656286
MolMR,132.71009999999998
MolWt,496.5640000000002
fr_SH,0
Kappa1,26.680699266018646
Kappa2,12.687140975176293
Kappa3,7.540730520835703
fr_ArN,1
fr_COO,0
