DLiP-ID,T0039W
DLiP-Mol-ID,19961
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H23ClN2O3/c27-22-13-11-21(12-14-22)26(32-16-4-3-15-30)24-6-2-1-5-23(24)25(31)29(26)18-20-9-7-19(17-28)8-10-20/h1-2,5-14,30H,3-4,15-16,18H2"
Standard Inchi Key(RDKit),KQQJPJXXBGQESJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),N#Cc1ccc(CN2C(=O)c3ccccc3C2(OCCCCO)c2ccc(Cl)cc2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),446.934
MW Monoisotopic(RDKit),446.139720276
MolLogP(RDKit),4.85788
XLogP(SDF),
XLogP(CDK),4.932
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),73.56
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.501405214060245
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,p53/MDM2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,23661730.589171637
qed,0.5014052140602446
Chi0,22.553830996061407
Chi1,15.595720671160281
TPSA,73.56
Chi0n,17.49983897664508
Chi0v,18.255767922663534
Chi1n,10.512819656721641
Chi1v,10.890784129730868
Chi2n,7.675694570421217
Chi2v,8.112130350893201
Chi3n,5.670446638025491
Chi3v,5.922422953364976
Chi4n,4.109182389917477
Chi4v,4.235170547587219
MolMR,121.97630000000001
MolWt,446.9340000000002
fr_SH,0
Kappa1,22.039299047751026
Kappa2,9.537945514280716
Kappa3,4.007989386126691
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1138.9836279887218
MolLogP,4.857880000000005
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.8272518261004471
SMR_VSA1,14.637927532712576
SMR_VSA2,5.261891554738487
SMR_VSA3,4.899909730850478
