DLiP-ID,T003AO
DLiP-Mol-ID,19988
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H13N3O3/c23-17-15(11-13-10-12-6-4-5-9-16(12)20-13)18(24)22(19(25)21-17)14-7-2-1-3-8-14/h1-11,20H,(H,21,23,25)/b15-11-"
Standard Inchi Key(RDKit),KRXMZJGTLCMPNC-PTNGSMBKSA-N
Canonical SMILES(RDKit),O=C1NC(=O)N(c2ccccc2)C(=O)/C1=C\c1cc2ccccc2[nH]1
SMILES(SDF),
MW(SDF),
MW(RDKit),331.331
MW Monoisotopic(RDKit),331.095691276
MolLogP(RDKit),2.8343
XLogP(SDF),
XLogP(CDK),2.566
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),82.27
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.559436189581288
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,837067.0669926426
qed,0.5594361895812878
Chi0,17.388540578131753
Chi1,12.131030293135234
TPSA,82.27000000000001
Chi0n,13.022811427977434
Chi0v,13.022811427977434
Chi1n,7.675927239037569
Chi1v,7.675927239037569
Chi2n,5.605331148711136
Chi2v,5.605331148711136
Chi3n,3.9667114027639525
Chi3v,3.9667114027639525
Chi4n,2.7980950101579123
Chi4v,2.7980950101579123
MolMR,93.74240000000002
MolWt,331.331
fr_SH,0
Kappa1,14.89297274984378
Kappa2,5.755330803688156
Kappa3,2.592506058880535
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1001.2636411659106
MolLogP,2.8343000000000007
NOCount,6
fr_Ar_N,1
fr_COO2,0
fr_urea,1
BalabanJ,1.7589445881375638
SMR_VSA1,14.383611552215466
SMR_VSA2,0.0
SMR_VSA3,10.30076712495354
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,4.899909730850478
SMR_VSA7,71.93070320953383
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,4
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,2
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,142.3028608185228
NHOHCount,2
PEOE_VSA1,4.9839785209472085
PEOE_VSA2,14.905862972149976
PEOE_VSA3,9.694446914922299
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,36.39820241076966
PEOE_VSA7,35.72771259514512
PEOE_VSA8,11.210628712464722
PEOE_VSA9,5.687386274683562
RingCount,4
SMR_VSA10,40.51180528463958
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,331.0956912760001
NumHDonors,2
PEOE_VSA10,5.573104530069267
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,11.814359458703011
PEOE_VSA14,6.031114512338072
SlogP_VSA1,10.216698334856808
SlogP_VSA2,22.82945249198829
SlogP_VSA3,9.589074368143644
SlogP_VSA4,0.0
SlogP_VSA5,5.693927994848461
SlogP_VSA6,66.23677521468537
SlogP_VSA7,0.0
SlogP_VSA8,16.978945038914937
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,17.845473971041084
EState_VSA2,5.573104530069267
EState_VSA3,11.381314269532023
EState_VSA4,15.802834662931536
EState_VSA5,6.076020106833881
EState_VSA6,30.33183534230805
EState_VSA7,30.33183534230805
EState_VSA8,10.30076712495354
EState_VSA9,0.0
SlogP_VSA10,10.481923458755384
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,63.33333333333336
fr_aldehyde,0
fr_barbitur,1
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,14.383611552215466
EState_VSA11,0.0
FractionCSP3,0.0
VSA_EState10,0.0
fr_C_O_noCOO,3
fr_Nhpyrrole,1
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-3.6699999999999986
NumHAcceptors,3
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,25
HeavyAtomMolWt,318.22700000000003
MaxEStateIndex,12.728416162761402
MinEStateIndex,-0.7546325690770133
NumHeteroatoms,6
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,0.88
FpDensityMorgan2,1.6
FpDensityMorgan3,2.36
MaxPartialCharge,0.33544911583398546
MinPartialCharge,-0.354995196561529
NumAromaticRings,3
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.728416162761402
MinAbsEStateIndex,0.10184334845049103
NumAliphaticRings,1
NumRotatableBonds,2
NumSaturatedRings,1
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.354995196561529
MinAbsPartialCharge,0.33544911583398546
NumRadicalElectrons,0
NumValenceElectrons,122
fr_para_hydroxylation,2
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,1
Mordred Descriptors
MW,331.0956912760004
MZ,0.7543859649122808
Mi,1.1105198865880455
Mm,0.7259376273503673
Mp,0.7265097541758591
Mv,0.7089518088422765
SZ,28.66666666666667
Si,42.199755690345725
Sm,27.585629839313956
Sp,27.607370658682644
Sv,26.940168736006505
nB,0
nC,19
nF,0
nH,13
nI,0
nN,3
nO,3
nP,0
nS,0
nX,0
ABC,19.884518585327584
AMW,8.713044507263168
IC0,1.6077666161912365
IC1,2.784315128855494
IC2,3.7831015060897144
IC3,4.837147500958406
IC4,5.19529593449622
IC5,5.247927513443588
MID,51.676964161761575
Mpe,0.9957688338493288
Mse,1.0197991336681111
NdO,3
NdS,0
NsF,0
NsI,0
NtN,0
SMR,93.74240000000002
SdO,36.97087563192045
SdS,0
Spe,37.83921568627449
SsF,0
SsI,0
Sse,38.75236707938822
StN,0
fMF,0.5789473684210527
nBr,0
nCl,0
AMID,2.067078566470463
BIC0,0.28204256087029156
BIC1,0.488438658511673
BIC2,0.6636508222427762
BIC3,0.8485569079109209
BIC4,0.9113851196360693
BIC5,0.9206180177193299
CIC0,3.6401608972523487
CIC1,2.463612384588091
CIC2,1.4648260073538708
CIC3,0.41078001248517904
CIC4,0.052631578947365476
CIC5,-2.6645352591003757e-15
GGI1,4.5
GGI2,2.666666666666668
GGI3,2.541666666666667
GGI4,1.648888888888889
GGI5,0.7191666666666667
GGI6,0.7944217687074832
GGI7,0.2829506802721089
GGI8,0.2958317586293776
GGI9,0.12250000000000001
JGI1,0.16071428571428567
JGI2,0.06666666666666671
JGI3,0.061991869918699184
JGI4,0.04339181286549708
JGI5,0.021151960784313726
JGI6,0.025626508667983317
JGI7,0.010105381438289603
JGI8,0.012326323276224068
JGI9,0.007656250000000001
MIC0,15.216317489076093
MIC1,27.161077088098658
MIC2,39.551671090285936
MIC3,44.764751404172216
MIC4,45.704870288336224
MIC5,45.75792291991517
MPC2,40
MPC3,55
MPC4,75
MPC5,91
MPC6,95
MPC7,108
MPC8,123
MPC9,122
Mare,1.008526315789474
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.16441627753472712
RPCG,0.15536349635699934
SIC0,0.3063621995678542
SIC1,0.530555180444648
SIC2,0.7208753353392487
SIC3,0.9217252884242615
SIC4,0.9899709782933283
SIC5,1.0000000000000004
SaaN,0
SaaO,0
SaaS,0
Sare,38.32400000000001
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,61.09513141526699
TIC1,105.80397489650878
TIC2,143.75785723140916
TIC3,183.81160503641942
TIC4,197.42124551085635
TIC5,199.42124551085635
Vabc,285.4142566325348
WPol,41
apol,46.104309
bpol,18.495690999999997
nRot,2
ABCGG,15.777245871265524
ATS0Z,1036.0
ATS0d,149.0
ATS0i,6003.096287862738
ATS0m,4110.719281000002
ATS0p,64.328679763037
ATS0s,242.72222222222223
ATS0v,9830.024661397481
ATS1Z,1166.0
ATS1d,189.0
ATS1i,5967.566964129499
ATS1m,4512.328764000001
ATS1p,80.79315201000001
ATS1s,151.66666666666669
ATS1v,12214.600535516736
ATS2Z,1761.0
ATS2d,289.0
ATS2i,9769.942874285396
ATS2m,6744.207927999998
ATS2p,120.78813205999997
ATS2s,258.22222222222223
ATS2v,17905.762527563318
ATS3Z,1901.0
ATS3d,308.0
ATS3i,13277.013355726842
ATS3m,7120.860609
ATS3p,132.31928940594298
ATS3s,326.111111111111
ATS3v,19476.762781601432
ATS4Z,1861.0
ATS4d,280.0
ATS4i,13494.91522084054
ATS4m,6971.0501939999995
ATS4p,119.505944405339
ATS4s,454.16666666666663
ATS4v,17658.95274962104
ATS5Z,1630.0
ATS5d,252.0
ATS5i,11852.778934899545
ATS5m,6083.416290000001
ATS5p,108.33701580879199
ATS5s,329.75
ATS5v,16035.007586019221
ATS6Z,1507.0
ATS6d,232.0
ATS6i,11496.594302495045
ATS6m,5551.211630999999
ATS6p,100.51879729309397
ATS6s,314.83333333333326
ATS6v,15037.775790405725
ATS7Z,1327.0
ATS7d,209.0
ATS7i,9814.81584511869
ATS7m,4951.483544
ATS7p,91.25160230279198
ATS7s,266.7777777777778
ATS7v,13391.759571756746
ATS8Z,1195.0
ATS8d,172.0
ATS8i,9275.248436474047
ATS8m,4364.0806760000005
ATS8p,80.01834967254698
ATS8s,264.0
ATS8v,11925.53452656479
C1SP1,0
C1SP2,2
C1SP3,0
C2SP1,0
C2SP2,14
C2SP3,0
C3SP2,2
C3SP3,0
C4SP3,0
