DLiP-ID,T003B1
DLiP-Mol-ID,20001
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H27NO7/c1-14-12-20(26)24(2,32-14)23(29)25-17(22(27)28)13-15-8-10-16(11-9-15)21-18(30-3)6-5-7-19(21)31-4/h5-11,14,17H,12-13H2,1-4H3,(H,25,29)(H,27,28)/t14?,17-,24+/m0/s1"
Standard Inchi Key(RDKit),KSRNGDACGBIPKZ-HMNNCEJGSA-N
Canonical SMILES(RDKit),COc1cccc(OC)c1-c1ccc(C[C@H](NC(=O)[C@]2(C)OC(C)CC2=O)C(=O)O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),441.48
MW Monoisotopic(RDKit),441.178752204
MolLogP(RDKit),2.6193
XLogP(SDF),
XLogP(CDK),2.85
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),111.16
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.605938802691967
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,11553025.33741269
qed,0.6059388026919666
Chi0,23.465890847321376
Chi1,15.188926258395405
TPSA,111.16000000000001
Chi0n,18.507069323362863
Chi0v,18.507069323362863
Chi1n,10.244238551860548
Chi1v,10.244238551860548
Chi2n,7.891883180949021
Chi2v,7.891883180949021
Chi3n,5.588807460072371
Chi3v,5.588807460072371
Chi4n,3.820706529865327
Chi4v,3.820706529865327
MolMR,116.82850000000006
MolWt,441.48000000000025
fr_SH,0
Kappa1,23.276839492872842
Kappa2,9.39801234703864
Kappa3,4.597922152006165
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,995.2578370758441
MolLogP,2.6193
NOCount,8
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.7815681877804213
SMR_VSA1,33.700727808456314
SMR_VSA2,0.0
SMR_VSA3,5.316788604006331
SMR_VSA4,0.0
SMR_VSA5,44.43597567311322
SMR_VSA6,14.219595082555067
SMR_VSA7,48.02802097092827
SMR_VSA8,0.0
SMR_VSA9,22.6259266499618
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,3
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,186.03126946924704
NHOHCount,2
PEOE_VSA1,24.633904860247185
PEOE_VSA2,9.589074368143644
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,30.33183534230805
PEOE_VSA7,37.107111519698464
PEOE_VSA8,12.841643245852019
PEOE_VSA9,25.887012962000362
RingCount,3
SMR_VSA10,17.659729963668294
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,0
ExactMolWt,441.1787522039999
NumHDonors,2
PEOE_VSA10,17.54086449571577
PEOE_VSA11,5.783244946364939
PEOE_VSA12,5.601050810983688
PEOE_VSA13,5.907179729351506
PEOE_VSA14,5.969305287951849
SlogP_VSA1,14.790514511606428
SlogP_VSA2,54.73271046894401
SlogP_VSA3,25.54129612894152
SlogP_VSA4,0.0
SlogP_VSA5,25.831747514004253
SlogP_VSA6,42.46456947923127
SlogP_VSA7,0.0
SlogP_VSA8,11.126902983393991
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,2
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,23.519376657435004
