DLiP-ID,T003CJ
DLiP-Mol-ID,20082
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H29NO6/c1-4-26-18(24)10-20-16(22)8-13(9-17(20)23)7-15(21)14-6-11(2)5-12(3)19(14)25/h11-15,21H,4-10H2,1-3H3/t11-,12-,14-,15+/m0/s1"
Standard Inchi Key(RDKit),KWCVNASRVVSXHH-NZBPQXDJSA-N
Canonical SMILES(RDKit),CCOC(=O)CN1C(=O)CC(C[C@@H](O)[C@@H]2C[C@@H](C)C[C@H](C)C2=O)CC1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),367.442
MW Monoisotopic(RDKit),367.199487648
MolLogP(RDKit),1.317
XLogP(SDF),
XLogP(CDK),1.026
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),100.98
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.56115449837552
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,389039.32125786046
qed,0.5611544983755196
Chi0,19.43035694138864
Chi1,12.222453108210818
TPSA,100.97999999999999
Chi0n,15.772167457573197
Chi0v,15.772167457573197
Chi1n,9.430073529597912
Chi1v,9.430073529597912
Chi2n,7.74245270950217
Chi2v,7.74245270950217
Chi3n,5.423903165687576
Chi3v,5.423903165687576
Chi4n,4.187808521218881
Chi4v,4.187808521218881
MolMR,92.75980000000004
MolWt,367.4420000000002
fr_SH,0
Kappa1,20.550678343685092
Kappa2,8.752443411351353
Kappa3,4.902285670060295
fr_ArN,0
fr_COO,0
fr_C_O,4
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,556.3766538893857
MolLogP,1.316999999999999
NOCount,7
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.9305930378674154
SMR_VSA1,29.021539084928037
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,23.671624184645573
SMR_VSA5,58.97928610145023
SMR_VSA6,13.151638370425493
SMR_VSA7,0.0
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,1
fr_furan,0
fr_imide,1
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,153.61024783199136
NHOHCount,1
PEOE_VSA1,9.843390348640755
PEOE_VSA2,24.07805846713776
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,13.847474399381248
PEOE_VSA7,38.02201416079144
PEOE_VSA8,24.677455338174806
PEOE_VSA9,12.71084835226122
RingCount,2
SMR_VSA10,23.5669096930198
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,0
