DLiP-ID,T003D6
DLiP-Mol-ID,20108
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H7BrO4/c15-6-1-2-7-8(3-6)14(19)10-5-12(17)11(16)4-9(10)13(7)18/h1-5,16-17H"
Standard Inchi Key(RDKit),KYLYKQAFRDSXIV-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C1c2ccc(Br)cc2C(=O)c2cc(O)c(O)cc21
SMILES(SDF),
MW(SDF),
MW(RDKit),319.11
MW Monoisotopic(RDKit),317.952770804
MolLogP(RDKit),2.6357
XLogP(SDF),
XLogP(CDK),3.255
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),74.6
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.624781111338257
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Bcl-2 and Bcl-XL with BAX; BAK and BID
Common Target Pref Name,"BCL-like/BAX,BAK"
RDKit Descriptors
Ipc,22660.0630378588
qed,0.6247811113382568
Chi0,13.731686328639373
Chi1,8.986071002992368
TPSA,74.60000000000001
Chi0n,9.475639590884999
Chi0v,11.061636129999703
Chi1n,5.437178532560273
Chi1v,6.230176802117625
Chi2n,4.234660243063281
Chi2v,5.150335771854969
Chi3n,3.0748327633460018
Chi3v,3.568084402063042
Chi4n,2.145046207423238
Chi4v,2.5061314678807176
MolMR,70.7786
MolWt,319.11
fr_SH,0
Kappa1,11.922863157563292
Kappa2,3.9279069863426064
Kappa3,1.658537555887937
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,749.3514509888895
MolLogP,2.635700000000001
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.3242674075254994
SMR_VSA1,19.802129157825057
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,57.05836082492844
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,2
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,115.99160971094591
NHOHCount,2
PEOE_VSA1,10.213054789681411
PEOE_VSA2,9.589074368143644
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,15.929943897949348
PEOE_VSA7,30.33183534230805
PEOE_VSA8,26.726525482620396
PEOE_VSA9,0.0
RingCount,3
SMR_VSA10,27.496433790679227
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,2
fr_lactam,0
fr_phenol,2
ExactMolWt,317.952770804
NumHDonors,2
PEOE_VSA10,0.0
PEOE_VSA11,23.06551355929769
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,21.77954468241129
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,31.842880334931625
SlogP_VSA6,34.80455485814046
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,11.49902366656781
EState_VSA2,28.256844367820865
EState_VSA3,10.03617100752941
EState_VSA4,12.13273413692322
EState_VSA5,0.0
EState_VSA6,18.19910120538483
EState_VSA7,0.0
EState_VSA8,15.929943897949348
EState_VSA9,0.0
SlogP_VSA10,0.0
SlogP_VSA11,11.49902366656781
SlogP_VSA12,15.929943897949348
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.6933798920802889
VSA_EState9,49.80566334404132
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,2
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,19.802129157825057
EState_VSA11,0.0
FractionCSP3,0.0
VSA_EState10,0.0
fr_C_O_noCOO,2
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.14
NumHAcceptors,4
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,19
HeavyAtomMolWt,312.05400000000003
MaxEStateIndex,12.303463718820861
MinEStateIndex,-0.4181973970143613
NumHeteroatoms,5
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,0.7368421052631579
FpDensityMorgan2,1.2105263157894737
FpDensityMorgan3,1.7894736842105263
MaxPartialCharge,0.19419604908788665
MinPartialCharge,-0.5042434175627292
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.303463718820861
MinAbsEStateIndex,0.10268518518518555
NumAliphaticRings,1
NumRotatableBonds,0
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.5042434175627292
MinAbsPartialCharge,0.19419604908788665
NumRadicalElectrons,0
NumValenceElectrons,94
fr_para_hydroxylation,0
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,2
NumAliphaticCarbocycles,1
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,317.9527708040002
MZ,1.012820512820513
Mi,1.0900081942071498
Mm,1.0218517640880476
Mp,0.7900863887609398
Mv,0.7709362679860339
SZ,26.333333333333336
Si,28.340213049385895
Sm,26.568145866289235
Sp,20.542246107784436
Sv,20.04434296763688
nB,0
nC,14
nF,0
nH,7
nI,0
nN,0
nO,4
nP,0
nS,0
nX,1
ABC,15.113110601984225
AMW,12.228952723230776
IC0,1.5868068964791813
IC1,3.11508275856903
IC2,3.484684315278138
IC3,4.085055102756477
IC4,4.161978179679553
IC5,4.315824333525707
MID,38.71080169313713
Mpe,1.022926093514329
Mse,1.0423973331839318
NdO,2
NdS,0
NsF,0
NsI,0
NtN,0
SMR,70.7786
SdO,24.571532501889642
SdS,0
Spe,26.59607843137255
SsF,0
SsI,0
Sse,27.10233066278223
StN,0
fMF,0.5384615384615384
nBr,1
nCl,0
AMID,2.03741061542827
