DLiP-ID,T003JL
DLiP-Mol-ID,20375
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H22F2N2O3/c22-19-15(16-10-13(16)11-18(26)27)5-6-17(20(19)23)28-9-7-14-4-3-12-2-1-8-24-21(12)25-14/h3-6,13,16H,1-2,7-11H2,(H,24,25)(H,26,27)"
Standard Inchi Key(RDKit),LNCJYAZJFUDHSC-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CC1CC1c1ccc(OCCc2ccc3c(n2)NCCC3)c(F)c1F
SMILES(SDF),
MW(SDF),
MW(RDKit),388.414
MW Monoisotopic(RDKit),388.159849004
MolLogP(RDKit),3.9176
XLogP(SDF),
XLogP(CDK),3.599
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),71.45
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.75237280166176
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,4149544.887707722
qed,0.75237280166176
Chi0,19.67299762850793
Chi1,13.524877143252588
TPSA,71.45
Chi0n,15.380701801389687
Chi0v,15.380701801389687
Chi1n,9.57804239805659
Chi1v,9.57804239805659
Chi2n,7.420139263563385
Chi2v,7.420139263563385
Chi3n,5.403200021873017
Chi3v,5.403200021873017
Chi4n,3.796522212799459
Chi4v,3.796522212799459
MolMR,99.70550000000007
MolWt,388.4140000000001
fr_SH,0
Kappa1,18.653494237660606
Kappa2,7.734246551249056
Kappa3,3.9297596396799728
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,903.4597003207093
MolLogP,3.917600000000003
NOCount,5
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.3638639845006901
SMR_VSA1,23.418757628062217
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,5.917906046161393
SMR_VSA5,38.02201416079144
SMR_VSA6,18.468426974431825
SMR_VSA7,52.72074093418068
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,161.2961382146223
NHOHCount,2
PEOE_VSA1,15.160178952647087
PEOE_VSA2,4.794537184071822
PEOE_VSA3,9.374393568622029
PEOE_VSA4,4.39041504767482
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,54.35791408141803
PEOE_VSA8,25.080327646613057
PEOE_VSA9,6.606881964512918
RingCount,4
SMR_VSA10,11.787168065786878
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,388.159849004
NumHDonors,2
PEOE_VSA10,5.817862777835028
PEOE_VSA11,11.5667326743298
PEOE_VSA12,5.817220841045895
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,10.05365155780638
SlogP_VSA2,29.211449574165258
SlogP_VSA3,17.63618042992384
SlogP_VSA4,17.55234772825318
SlogP_VSA5,42.00120189318187
SlogP_VSA6,24.26546827384644
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,2
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,17.603746970043638
EState_VSA2,36.17647900474261
EState_VSA3,12.841643245852019
EState_VSA4,30.898190424448085
EState_VSA5,17.696185628620217
EState_VSA6,0.0
EState_VSA7,12.13273413692322
EState_VSA8,10.30076712495354
EState_VSA9,9.843390348640755
SlogP_VSA10,14.598692873184667
SlogP_VSA11,5.749511833283905
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,28.72816365826467
VSA_EState9,43.77183634173534
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,1
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,13.575367279421462
EState_VSA11,0.0
FractionCSP3,0.42857142857142855
VSA_EState10,0.0
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.6999999999999993
NumHAcceptors,4
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,28
HeavyAtomMolWt,366.23800000000006
MaxEStateIndex,14.379427875715756
MinEStateIndex,-1.0152390756322933
NumHeteroatoms,7
fr_aryl_methyl,1
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.25
FpDensityMorgan2,2.107142857142857
FpDensityMorgan3,2.9285714285714284
MaxPartialCharge,0.3031451667502349
MinPartialCharge,-0.4899944966447546
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,14.379427875715756
MinAbsEStateIndex,0.021217875253839003
NumAliphaticRings,2
NumRotatableBonds,7
NumSaturatedRings,1
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.4899944966447546
MinAbsPartialCharge,0.3031451667502349
NumRadicalElectrons,0
NumValenceElectrons,148
fr_para_hydroxylation,0
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,1
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,1
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,388.15984900400065
MZ,0.6799999999999998
Mi,1.1374474854133547
Mm,0.6467651426192657
Mp,0.6641849820359282
Mv,0.6382707917769185
SZ,33.99999999999999
Si,56.87237427066774
Sm,32.338257130963285
Sp,33.20924910179641
Sv,31.91353958884592
nB,0
nC,21
nF,2
nH,22
nI,0
nN,2
nO,3
nP,0
nS,0
nX,2
ABC,22.11522872862841
AMW,7.763196980080013
IC0,1.6618352099639655
IC1,3.7887584397314544
IC2,4.853660689688186
IC3,5.323856189774726
IC4,5.363856189774727
IC5,5.363856189774727
MID,57.12259422739078
Mpe,0.9906666666666666
Mse,1.0199563000728333
NdO,1
NdS,0
NsF,2
NsI,0
NtN,0
SMR,99.70550000000007
SdO,10.750253185787225
SdS,0
Spe,49.53333333333333
SsF,28.72816365826467
SsI,0
Sse,50.99781500364166
StN,0
fMF,0.44
nBr,0
nCl,0
AMID,2.040092650978242
BIC0,0.2813384102965201
BIC1,0.6414133423341561
BIC2,0.8216946989498406
BIC3,0.901295885475304
BIC4,0.9080676377792555
BIC5,0.9080676377792555
