DLiP-ID,T003KD
DLiP-Mol-ID,20417
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H35N7O3/c1-13(25-5)21(32)27-20(24(2,3)4)23(34)31-11-10-14-6-9-17(19(14)31)26-22(33)15-7-8-16-18(12-15)29-30-28-16/h7-8,12-14,17,19-20,25H,6,9-11H2,1-5H3,(H,26,33)(H,27,32)(H,28,29,30)/t13-,14+,17-,19-,20+/m0/s1"
Standard Inchi Key(RDKit),LOZPZKNLDREQDD-CPHCCSARSA-N
Canonical SMILES(RDKit),CN[C@@H](C)C(=O)N[C@H](C(=O)N1CC[C@H]2CC[C@H](NC(=O)c3ccc4[nH]nnc4c3)[C@H]21)C(C)(C)C
SMILES(SDF),
MW(SDF),
MW(RDKit),469.59
MW Monoisotopic(RDKit),469.28013798
MolLogP(RDKit),1.206
XLogP(SDF),
XLogP(CDK),1.766
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),10
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),132.11
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.502761033473272
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP/Caspase9 or SMAC (BIR3 domanin)
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,43633187.74386775
qed,0.5027610334732716
Chi0,24.620591385700628
Chi1,16.09557401616448
TPSA,132.10999999999999
Chi0n,20.513614936154664
Chi0v,20.513614936154664
Chi1n,11.996465971239076
Chi1v,11.996465971239076
Chi2n,10.590005370754522
Chi2v,10.590005370754522
Chi3n,7.257923898925156
Chi3v,7.257923898925156
Chi4n,5.166587541513784
Chi4v,5.166587541513784
MolMR,127.89230000000003
MolWt,469.5900000000002
fr_SH,0
Kappa1,24.125269783672934
Kappa2,9.32466550246154
Kappa3,4.636412043310088
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,3
fr_NH1,4
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1075.9461455956643
MolLogP,1.2060000000000015
NOCount,10
fr_Ar_N,3
fr_COO2,0
