DLiP-ID,T003LA
DLiP-Mol-ID,20456
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H35FN4O4/c1-5-19(28-22(31)17-8-7-16(21(26)27)14-18(17)25)24(3,4)23(32)29-11-9-15(10-12-29)13-20(30)33-6-2/h7-8,14-15,19H,5-6,9-13H2,1-4H3,(H3,26,27)(H,28,31)"
Standard Inchi Key(RDKit),LQHWNHQINCFOIZ-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOC(=O)CC1CCN(C(=O)C(C)(C)C(CC)NC(=O)c2ccc(C(=N)N)cc2F)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),462.566
MW Monoisotopic(RDKit),462.26423382
MolLogP(RDKit),2.83617
XLogP(SDF),
XLogP(CDK),3.004
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),125.58
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.295573430551393
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,10739648.29017569
qed,0.295573430551393
Chi0,24.758784066134826
Chi1,15.504474846527897
TPSA,125.58
Chi0n,19.87202031380823
Chi0v,19.87202031380823
Chi1n,11.405035672129655
Chi1v,11.405035672129655
Chi2n,9.009006010692675
Chi2v,9.009006010692675
Chi3n,6.323059894989303
Chi3v,6.323059894989303
Chi4n,4.247932592474221
Chi4v,4.247932592474221
MolMR,123.29630000000007
MolWt,462.5660000000002
fr_SH,0
Kappa1,26.283660731264508
Kappa2,11.248363369074799
Kappa3,6.5212730391075775
fr_ArN,1
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,894.4504526620922
MolLogP,2.836170000000001
NOCount,8
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.0313183491742524
SMR_VSA1,23.510889553690333
SMR_VSA2,5.409283605791522
SMR_VSA3,10.216698334856808
SMR_VSA4,17.066563992720358
SMR_VSA5,59.42007611961449
SMR_VSA6,19.696394776338067
SMR_VSA7,35.14322502982472
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,194.09311450776005
NHOHCount,4
PEOE_VSA1,20.687228765819043
PEOE_VSA2,19.79289515800699
PEOE_VSA3,4.39041504767482
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,12.990104268152233
PEOE_VSA7,58.08431665093451
PEOE_VSA8,31.115626755596118
PEOE_VSA9,17.585323925606694
RingCount,2
SMR_VSA10,23.61928453241213
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,462.2642338200001
NumHDonors,3
PEOE_VSA10,11.652840626803165
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,5.907179729351506
PEOE_VSA14,5.969305287951849
SlogP_VSA1,11.050456081168516
SlogP_VSA2,54.25742986874863
SlogP_VSA3,14.325937321943691
SlogP_VSA4,22.55940096239559
SlogP_VSA5,69.29967545793234
SlogP_VSA6,18.19910120538483
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,1
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,23.18123186894214
EState_VSA2,34.75691383261601
EState_VSA3,32.53803802219009
EState_VSA4,18.90801031431363
EState_VSA5,12.13273413692322
EState_VSA6,25.67112132992235
EState_VSA7,6.923737199690624
EState_VSA8,5.316788604006331
EState_VSA9,15.879814036753757
SlogP_VSA10,4.39041504767482
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,14.415474674594407
VSA_EState9,71.66785865873892
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,18.774026599890284
EState_VSA11,0.0
FractionCSP3,0.5833333333333334
VSA_EState10,0.0
fr_C_O_noCOO,3
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,1
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.9699999999999998
NumHAcceptors,5
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,33
HeavyAtomMolWt,427.2860000000002
MaxEStateIndex,14.415474674594407
MinEStateIndex,-0.9085424776608937
NumHeteroatoms,9
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.2727272727272727
FpDensityMorgan2,1.9090909090909092
FpDensityMorgan3,2.4242424242424243
MaxPartialCharge,0.3055521408540042
MinPartialCharge,-0.46596161821929893
NumAromaticRings,1
fr_unbrch_alkane,0
MaxAbsEStateIndex,14.415474674594407
MinAbsEStateIndex,0.0864497490277607
NumAliphaticRings,1
NumRotatableBonds,9
NumSaturatedRings,1
fr_Ndealkylation1,0
fr_Ndealkylation2,1
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.46596161821929893
MinAbsPartialCharge,0.3055521408540042
NumRadicalElectrons,0
NumValenceElectrons,182
fr_para_hydroxylation,0
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,1
Mordred Descriptors
MW,462.26423382000104
MZ,0.6078431372549019
Mi,1.1443432770833089
Mm,0.5663514366732455
Mp,0.6303518404367735
Mv,0.5885234102800496
SZ,41.33333333333333
Si,77.815342841665
Sm,38.511897693780696
Sp,42.8639251497006
Sv,40.01959189904338
nB,0
nC,24
nF,1
nH,35
nI,0
nN,4
nO,4
nP,0
nS,0
nX,1
ABC,24.730827032268657
AMW,6.7980034385294275
IC0,1.5938745234506104
IC1,3.5818690864204825
IC2,4.833283245439395
IC3,5.248940047005433
IC4,5.278351811711315
IC5,5.278351811711315
MID,64.92387770248538
Mpe,0.9694348327566321
Mse,1.0068977336018166
NdO,3
NdS,0
NsF,1
NsI,0
NtN,0
SMR,123.29630000000007
SdO,37.8065095100832
SdS,0
Spe,65.92156862745098
SsF,14.415474674594407
SsI,0
Sse,68.46904588492353
StN,0
fMF,0.25
nBr,0
nCl,0
AMID,1.967390233408648
BIC0,0.25510451586083405
BIC1,0.5732891552780376
BIC2,0.7735818373436122
BIC3,0.840108985853526
BIC4,0.8448164291845501
BIC5,0.8448164291845501
CIC0,4.493588317799729
CIC1,2.5055937548298566
CIC2,1.2541795958109443
CIC3,0.8385227942449065
CIC4,0.8091110295390243
CIC5,0.8091110295390243
GGI1,9.0
GGI2,5.333333333333336
GGI3,3.3125
GGI4,2.355555555555556
GGI5,1.3263888888888884
GGI6,1.0359183673469388
GGI7,0.6614583333333334
GGI8,0.5379188712522045
GGI9,0.38250000000000006
JGI1,0.2647058823529411
JGI2,0.11111111111111116
JGI3,0.06134259259259259
JGI4,0.04529914529914531
JGI5,0.0282210401891253
JGI6,0.024091124822021835
JGI7,0.015382751937984496
JGI8,0.015369110607205843
JGI9,0.010928571428571428
MIC0,15.78183237470739
MIC1,34.35525507907654
MIC2,38.85092427074322
MIC3,39.5935239737806
MIC4,39.62317103260413
MIC5,39.62317103260413
MPC2,48
MPC3,60
MPC4,69
MPC5,78
MPC6,81
MPC7,89
MPC8,80
MPC9,85
Mare,0.9845882352941174
NaaN,0
NaaO,0
NaaS,0
NdNH,1
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,1
NssS,0
NtCH,0
NtsC,0
RNCG,0.1431577731655935
RPCG,0.09387503682771636
SIC0,0.2618290353495177
SIC1,0.5884009775219887
SIC2,0.7939733467755606
SIC3,0.8622541416494828
SIC4,0.8670856725307196
SIC5,0.8670856725307196
SaaN,0
SaaO,0
SaaS,0
Sare,66.95199999999998
SdNH,7.389176108814603
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,5.016105829720435
SssS,0
StCH,0
StsC,0
TIC0,108.3834675946415
TIC1,243.5670978765928
TIC2,328.6632606898788
TIC3,356.9279231963694
TIC4,358.9279231963694
TIC5,358.9279231963694
Vabc,454.8074829412901
WPol,54
apol,71.58275499999998
bpol,42.275245000000034
nRot,9
ABCGG,20.279622978731947
ATS0Z,1432.0
ATS0d,199.0
ATS0i,11405.501721298717
ATS0m,5667.496668149772
ATS0p,90.21811666971499
ATS0s,377.8125
ATS0v,13268.200503492784
ATS1Z,1558.0
ATS1d,247.0
ATS1i,10308.555859140102
ATS1m,5828.0187978352005
ATS1p,116.50655281
ATS1s,215.83333333333337
ATS1v,16833.10174469983
ATS2Z,2324.0
ATS2d,404.0
ATS2i,19650.989669381284
ATS2m,8575.6486916704
ATS2p,177.05515506897996
ATS2s,377.5555555555556
ATS2v,24787.35901427784
ATS3Z,2812.0
ATS3d,483.0
ATS3i,27932.72463862757
ATS3m,10082.0036519312
ATS3p,220.51708575446997
ATS3s,525.6111111111111
ATS3v,30363.626595541406
ATS4Z,2964.0
ATS4d,495.0
ATS4i,34294.38761130717
ATS4m,10356.701886515202
ATS4p,232.07032498150704
ATS4s,714.1111111111111
ATS4v,31500.556027441486
ATS5Z,2742.0
ATS5d,474.0
ATS5i,34532.52541937299
