DLiP-ID,T003U5
DLiP-Mol-ID,20833
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H32N4O2/c1-15-8-10-21(17(3)12-15)27-23(29)25-19-6-5-7-20(14-19)26-24(30)28-22-11-9-16(2)13-18(22)4/h8-13,19-20H,5-7,14H2,1-4H3,(H2,25,27,29)(H2,26,28,30)"
Standard Inchi Key(RDKit),MHRXAZDZTYHCPR-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc(NC(=O)NC2CCCC(NC(=O)Nc3ccc(C)cc3C)C2)c(C)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),408.546
MW Monoisotopic(RDKit),408.252526264
MolLogP(RDKit),5.17468
XLogP(SDF),
XLogP(CDK),4.244
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),82.26
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.562474850923157
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Cyclophilins
Common Target Pref Name,Cyclophilins
RDKit Descriptors
Ipc,4016431.3361188225
qed,0.5624748509231566
Chi0,21.672997628507925
Chi1,14.295734091081686
TPSA,82.26
Chi0n,18.263725859190924
Chi0v,18.263725859190924
Chi1n,10.594659464934113
Chi1v,10.594659464934113
Chi2n,8.394127541302575
Chi2v,8.394127541302575
Chi3n,5.604861231899579
Chi3v,5.604861231899579
Chi4n,4.047261780932457
Chi4v,4.047261780932457
MolMR,122.18480000000004
MolWt,408.5460000000002
fr_SH,0
Kappa1,21.68320503752856
Kappa2,9.653395657060866
Kappa3,5.987606207882117
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,4
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,851.9171021838663
MolLogP,5.174680000000005
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,2
BalabanJ,1.492519564472625
SMR_VSA1,9.589074368143644
SMR_VSA2,0.0
SMR_VSA3,10.633577208012662
SMR_VSA4,0.0
SMR_VSA5,65.46191694876245
SMR_VSA6,10.633577208012662
SMR_VSA7,58.65200837755764
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,4
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,178.38446447931082
NHOHCount,4
PEOE_VSA1,21.267154416025324
