DLiP-ID,T003XH
DLiP-Mol-ID,20980
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H17Cl2N3O5/c1-26-20(29)17(16(27)10-24-26)12-7-5-11(6-8-12)9-15(21(30)31)25-19(28)18-13(22)3-2-4-14(18)23/h2-8,10,15,27H,9H2,1H3,(H,25,28)(H,30,31)/t15-/m0/s1"
Standard Inchi Key(RDKit),MOMXOJMYNNYSSO-HNNXBMFYSA-N
Canonical SMILES(RDKit),Cn1ncc(O)c(-c2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2)c1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),462.289
MW Monoisotopic(RDKit),461.054526004
MolLogP(RDKit),2.8854
XLogP(SDF),
XLogP(CDK),2.058
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),121.52
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.518183245425094
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,6179052.782682146
qed,0.5181832454250935
Chi0,22.706377823327536
Chi1,14.684448305750035
TPSA,121.52000000000001
Chi0n,16.172787403303058
Chi0v,17.68464529533997
Chi1n,9.009781012945863
Chi1v,9.76570995896432
Chi2n,6.695560764884654
Chi2v,7.509961018365866
Chi3n,4.592829205525177
Chi3v,5.222769993873888
Chi4n,2.989426031203539
Chi4v,3.5585135059026918
MolMR,115.63480000000003
MolWt,462.28900000000016
fr_SH,0
Kappa1,22.328013243947616
Kappa2,9.196038448063945
Kappa3,4.86819183031292
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1188.3773465246004
MolLogP,2.8854000000000006
NOCount,8
fr_Ar_N,2
fr_COO2,1
fr_urea,0
BalabanJ,1.8158127243893094
