DLiP-ID,T003YI
DLiP-Mol-ID,21018
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H24N2O4/c1-8-3-9(2)15(17-21)11(4-8)12(18)5-10-6-13(19)16-14(20)7-10/h8-12,18,21H,3-7H2,1-2H3,(H,16,19,20)/b17-15-/t8-,9-,11-,12+/m0/s1"
Standard Inchi Key(RDKit),MRCRUQMZUROFCW-TZHPJOJBSA-N
Canonical SMILES(RDKit),C[C@H]1C[C@H](C)/C(=N/O)[C@H]([C@H](O)CC2CC(=O)NC(=O)C2)C1
SMILES(SDF),
MW(SDF),
MW(RDKit),296.367
MW Monoisotopic(RDKit),296.173607248
MolLogP(RDKit),1.3026
XLogP(SDF),
XLogP(CDK),0.572
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),98.99
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.415110653077805
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,38873.85115189312
qed,0.41511065307780504
Chi0,15.568549621822843
Chi1,9.901085903164898
TPSA,98.99000000000001
Chi0n,12.58042261930847
Chi0v,12.58042261930847
Chi1n,7.6285312237606675
Chi1v,7.6285312237606675
Chi2n,6.657658705106513
Chi2v,6.657658705106513
Chi3n,4.678766246741448
Chi3v,4.678766246741448
Chi4n,3.793691982244581
Chi4v,3.793691982244581
MolMR,76.77100000000003
MolWt,296.3670000000001
fr_SH,0
Kappa1,15.949462423506628
Kappa2,6.556208819479842
Kappa3,3.8124749595267526
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,432.95457132290915
MolLogP,1.3026
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.0207580792913413
SMR_VSA1,19.902854787761637
SMR_VSA2,0.0
SMR_VSA3,5.316788604006331
SMR_VSA4,28.82733691139611
SMR_VSA5,52.05554890175961
SMR_VSA6,0.0
SMR_VSA7,0.0
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,1
fr_nitro,0
fr_oxime,1
fr_quatN,0
LabuteASA,124.14751319574933
NHOHCount,3
PEOE_VSA1,10.313780419617995
PEOE_VSA2,14.905862972149976
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,19.003187126131788
PEOE_VSA7,37.016183007262214
PEOE_VSA8,18.75954929201341
PEOE_VSA9,11.815651390519005
RingCount,2
SMR_VSA10,17.526044461473713
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,296.173607248
NumHDonors,3
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,11.814359458703011
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,5.316788604006331
SlogP_VSA2,33.94379126884001
SlogP_VSA3,9.589074368143644
SlogP_VSA4,23.671624184645573
SlogP_VSA5,45.95158251401131
SlogP_VSA6,5.15571272675054
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,0
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,6.103966387748303
EState_VSA2,42.40972084303921
EState_VSA3,18.050412671858105
EState_VSA4,12.841643245852019
EState_VSA5,0.0
EState_VSA6,0.0
EState_VSA7,6.923737199690624
EState_VSA8,17.396238530447494
EState_VSA9,0.0
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,54.666666666666664
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,19.902854787761637
EState_VSA11,0.0
FractionCSP3,0.8
VSA_EState10,0.0
fr_C_O_noCOO,2
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,1
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-1.43
NumHAcceptors,5
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,21
HeavyAtomMolWt,272.175
MaxEStateIndex,11.388977518476526
MinEStateIndex,-0.6761111111111118
NumHeteroatoms,6
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,1
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.2380952380952381
FpDensityMorgan2,1.8571428571428572
FpDensityMorgan3,2.4285714285714284
MaxPartialCharge,0.22633805537914004
MinPartialCharge,-0.4108874102765696
NumAromaticRings,0
fr_unbrch_alkane,0
MaxAbsEStateIndex,11.388977518476526
MinAbsEStateIndex,0.1308040438397584
NumAliphaticRings,2
NumRotatableBonds,3
NumSaturatedRings,2
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.4108874102765696
MinAbsPartialCharge,0.22633805537914004
NumRadicalElectrons,0
NumValenceElectrons,118
fr_para_hydroxylation,0
NumAromaticCarbocycles,0
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,1
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,1
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,1
Mordred Descriptors
MW,296.1736072480007
MZ,0.5925925925925927
Mi,1.1422777013045833
Mm,0.5483251463935837
Mp,0.6182439387890887
Mv,0.5750457154488093
SZ,26.666666666666668
Si,51.40249655870625
Sm,24.674631587711264
Sp,27.820977245508992
Sv,25.877057195196418
nB,0
nC,15
nF,0
nH,24
nI,0
nN,2
nO,4
nP,0
nS,0
nX,0
ABC,15.9819778412503
AMW,6.5816357166222375
IC0,1.522020675186663
IC1,3.025329687873732
IC2,4.3580853183595885
IC3,4.747191429566853
IC4,4.8360803184557435
IC5,4.8360803184557435
MID,41.684225150718596
Mpe,0.9663616557734203
Mse,1.0067330258153278
NdO,2
NdS,0
NsF,0
NsI,0
NtN,0
SMR,76.77100000000003
SdO,22.777955036953053
SdS,0
Spe,43.48627450980391
SsF,0
SsI,0
Sse,45.302986161689745
