DLiP-ID,T004BS
DLiP-Mol-ID,17423
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H20N4O3S2/c27-22(23-15-17-10-5-2-6-11-17)19(14-16-8-3-1-4-9-16)26-31(28,29)20-13-7-12-18-21(20)25-30-24-18/h1-13,19,26H,14-15H2,(H,23,27)"
Standard Inchi Key(RDKit),NQVUMPXLNWFGQM-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(NCc1ccccc1)C(Cc1ccccc1)NS(=O)(=O)c1cccc2nsnc12
SMILES(SDF),
MW(SDF),
MW(RDKit),452.561
MW Monoisotopic(RDKit),452.0976825
MolLogP(RDKit),2.8973
XLogP(SDF),
XLogP(CDK),3.911
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),101.05
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.428115802230507
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,15839217.49891687
qed,0.42811580223050694
Chi0,21.683587508058327
Chi1,15.026806570407933
TPSA,101.05000000000001
Chi0n,16.43278597434709
Chi0v,18.065779136202543
Chi1n,9.619710608534717
Chi1v,11.833170599469332
Chi2n,6.9551044467937375
Chi2v,9.165954376058913
Chi3n,4.7446252785296625
Chi3v,6.790476033830509
Chi4n,3.1949163482254472
Chi4v,5.156725451212872
MolMR,119.95920000000004
MolWt,452.56100000000015
fr_SH,0
Kappa1,21.105774091511048
Kappa2,9.337396366875577
Kappa3,5.134457297353874
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1275.88200922983
MolLogP,2.8973000000000004
NOCount,7
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.5854460970269757
SMR_VSA1,13.212334168400758
SMR_VSA2,0.0
SMR_VSA3,18.785963431291318
SMR_VSA4,0.0
SMR_VSA5,23.90290233350432
SMR_VSA6,0.0
SMR_VSA7,89.98967487339495
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,184.07088609081694
NHOHCount,2
PEOE_VSA1,5.316788604006331
PEOE_VSA2,4.794537184071822
PEOE_VSA3,8.417796984328938
PEOE_VSA4,13.469174827284988
PEOE_VSA5,0.0
PEOE_VSA6,66.73003775307771
PEOE_VSA7,29.680458743243218
PEOE_VSA8,6.544756405912575
PEOE_VSA9,11.728187345198613
RingCount,4
SMR_VSA10,38.69205966319022
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,452.09768249999996
NumHDonors,2
PEOE_VSA10,21.970725739898256
PEOE_VSA11,0.0
PEOE_VSA12,15.930470882759089
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,10.038883468458419
SlogP_VSA2,29.113897505661303
SlogP_VSA3,27.78340636631799
SlogP_VSA4,0.0
SlogP_VSA5,11.126902983393991
SlogP_VSA6,83.75825536551872
SlogP_VSA7,0.0
SlogP_VSA8,11.033401435232523
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,3
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,21.97231171190705
EState_VSA2,11.316305098443785
EState_VSA3,17.5781578411451
EState_VSA4,22.855090328592603
EState_VSA5,6.06636706846161
EState_VSA6,12.13273413692322
EState_VSA7,60.6636706846161
EState_VSA8,18.785963431291318
EState_VSA9,0.0
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,11.728187345198613
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,34.54321174356604
VSA_EState9,43.6056559867436
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,13.212334168400758
EState_VSA11,0.0
FractionCSP3,0.13636363636363635
VSA_EState10,-3.0655343969763043
fr_C_O_noCOO,1
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,1
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-3.139999999999999
NumHAcceptors,6
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,31
HeavyAtomMolWt,432.4010000000001
MaxEStateIndex,13.169176622439608
MinEStateIndex,-4.010734586272779
NumHeteroatoms,9
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,0.8709677419354839
FpDensityMorgan2,1.5483870967741935
FpDensityMorgan3,2.2580645161290325
MaxPartialCharge,0.24307690870496063
MinPartialCharge,-0.35062910459527896
NumAromaticRings,4
fr_unbrch_alkane,0
MaxAbsEStateIndex,13.169176622439608
MinAbsEStateIndex,0.007102825825769932
NumAliphaticRings,0
NumRotatableBonds,8
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.35062910459527896
MinAbsPartialCharge,0.24307690870496063
NumRadicalElectrons,0
NumValenceElectrons,158
fr_para_hydroxylation,0
NumAromaticCarbocycles,3
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,452.09768250000053
MZ,0.7712418300653594
Mi,1.1134137755881195
Mm,0.7387786685734156
Mp,0.7359617236116005
Mv,0.6856595906019646
SZ,39.33333333333333
Si,56.78410255499409
Sm,37.677712097244196
Sp,37.534047904191624
Sv,34.968639120700196
nB,0
nC,22
nF,0
nH,20
nI,0
nN,4
nO,3
nP,0
nS,2
nX,0
ABC,24.285927704901283
AMW,8.86466044117648
IC0,1.7645636751100984
IC1,3.3622082214596287
IC2,4.108558659809977
IC3,4.973376627179275
IC4,5.397915538049927
IC5,5.5155625968734565
MID,63.477717271663366
Mpe,0.982237600922722
Mse,1.0132670693914858
NdO,3
NdS,0
NsF,0
NsI,0
NtN,0
SMR,119.95920000000004
SdO,39.3179229832684
SdS,0
Spe,50.09411764705882
SsF,0
SsI,0
Sse,51.67662053896577
StN,0
fMF,0.5490196078431373
nBr,0
nCl,0
AMID,2.047668299085915
BIC0,0.2908898335827036
BIC1,0.5542629057859109
BIC2,0.6772994149629258
BIC3,0.8198653977924718
BIC4,0.8898510009613917
BIC5,0.909245219399293
CIC0,3.907861666861397
CIC1,2.3102171205118665
CIC2,1.5638666821615184
CIC3,0.6990487147922204
CIC4,0.27450980392156854
CIC5,0.15686274509803866
GGI1,6.0
GGI2,3.555555555555557
GGI3,2.0625
GGI4,1.7233333333333336
GGI5,1.2747222222222219
GGI6,0.619546485260771
GGI7,0.5746527777777778
GGI8,0.40489575459813554
GGI9,0.1840740740740741
JGI1,0.1764705882352941
JGI2,0.07565011820330972
JGI3,0.04483695652173912
JGI4,0.0382962962962963
JGI5,0.027121749408983452
JGI6,0.013767699672461577
JGI7,0.0122266548463357
JGI8,0.008802081621698599
JGI9,0.004489611562782296
MIC0,20.57560470345025
MIC1,35.66775777673538
MIC2,42.55894006548243
MIC3,47.74866252662596
MIC4,49.03957814094043
MIC5,49.58965657231297
MPC2,47
MPC3,60
MPC4,77
MPC5,92
MPC6,89
MPC7,99
MPC8,107
MPC9,108
Mare,0.9934117647058825
NaaN,2
NaaO,0
NaaS,1
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.14649149244065818
RPCG,0.10155659831819551
SIC0,0.3110774613556766
SIC1,0.5927285100752101
SIC2,0.7243036994087639
SIC3,0.8767636993615749
SIC4,0.9516062729128559
SIC5,0.9723464416644891
SaaN,8.204858498686823
SaaO,0
SaaS,0.9452001892964746
Sare,50.66400000000001
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,89.99274743061501
TIC1,171.47261929444107
TIC2,209.53649165030882
TIC3,253.642207986143
TIC4,275.29369244054624
TIC5,281.2936924405463
Vabc,374.41702185045517
WPol,46
apol,62.68185999999999
bpol,33.46814
nRot,8
ABCGG,19.491462738737695
ATS0Z,1712.0
ATS0d,182.0
ATS0i,8103.80259751268
ATS0m,6802.507341000001
ATS0p,93.83767009697999
ATS0s,272.96956447187927
ATS0v,12755.030224416952
ATS1Z,1860.0
ATS1d,229.0
ATS1i,7763.1422661768
ATS1m,7211.452532000001
ATS1p,112.45548218000002
ATS1s,155.80401234567904
ATS1v,15828.96612596588
ATS2Z,2444.0
ATS2d,345.0
ATS2i,13445.740542816626
ATS2m,9271.727046
ATS2p,165.212805879698
ATS2s,349.0216049382716
ATS2v,22751.491449549365
ATS3Z,2676.0
ATS3d,385.0
ATS3i,18468.811873525596
ATS3m,9922.503739
ATS3p,185.473700996735
