DLiP-ID,T004DO
DLiP-Mol-ID,17804
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H18N2O2/c1-17-14(18-2)13-12-10(7-8-15-13)9-5-3-4-6-11(9)16-12/h3-6,13-16H,7-8H2,1-2H3"
Standard Inchi Key(RDKit),NVAPGAJJSRJIFL-UHFFFAOYSA-N
Canonical SMILES(RDKit),COC(OC)C1NCCc2c1[nH]c1ccccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),246.31
MW Monoisotopic(RDKit),246.136827816
MolLogP(RDKit),1.9736
XLogP(SDF),
XLogP(CDK),1.671
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),46.28
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.813956170512943
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,p53/MDM2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,25662.904317026532
qed,0.8139561705129434
Chi0,12.535169427003234
Chi1,8.846866552750667
TPSA,46.28
Chi0n,10.694811758438577
Chi0v,10.694811758438577
Chi1n,6.23304175461789
Chi1v,6.23304175461789
Chi2n,4.584402445665346
Chi2v,4.584402445665346
Chi3n,3.633677557685338
Chi3v,3.633677557685338
Chi4n,2.8111151848339633
Chi4v,2.8111151848339633
MolMR,70.55240000000003
MolWt,246.31
fr_SH,0
Kappa1,11.71480336716462
Kappa2,4.723353623894165
Kappa3,1.7334149016221676
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,545.7176094204088
MolLogP,1.9736
NOCount,4
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.098972259413831
SMR_VSA1,9.473725907600098
